Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Indianapolis Colts,2,3,0,0,2,1,0,1,26.0,26.0,6.9%,IND,3,2020
2,Tampa Bay Buccaneers,6,2,0,1,0,1,0,1,18.0,18.0,6.5%,TB,3,2020
3,New England Patriots,2,0,3,3,1,0,0,1,15.0,15.0,2.9%,NE,3,2020
4,Cleveland Browns,3,3,2,3,0,0,0,1,14.0,14.0,97.8%,CLE,3,2020
5,San Francisco 49ers,2,1,2,2,0,0,0,1,12.0,12.0,99.0%,SF,3,2020
6,Miami Dolphins,4,1,1,1,0,0,0,1,12.0,12.0,77.9%,MIA,3,2020
7,Seattle Seahawks,2,2,1,1,0,1,0,1,11.0,11.0,32.1%,SEA,3,2020
8,Carolina Panthers,2,1,3,2,0,0,0,1,11.0,11.0,1.0%,CAR,3,2020
9,Philadelphia Eagles,8,0,0,0,0,0,0,1,8.0,8.0,43.3%,PHI,3,2020
10,Cincinnati Bengals,3,2,0,1,0,0,0,1,7.0,7.0,58.3%,CIN,3,2020
11,Tennessee Titans,2,2,1,1,0,0,0,1,7.0,7.0,1.1%,TEN,3,2020
12,Detroit Lions,1,3,0,0,0,0,0,1,7.0,7.0,40.6%,DET,3,2020
13,Baltimore Ravens,0,0,1,1,0,0,1,1,7.0,7.0,97.7%,BAL,3,2020
14,Kansas City Chiefs,4,0,1,3,0,0,0,1,7.0,7.0,79.3%,KC,3,2020
15,Pittsburgh Steelers,5,1,0,0,0,0,0,1,7.0,7.0,91.3%,PIT,3,2020
16,Buffalo Bills,2,1,1,0,0,0,0,1,5.0,5.0,51.7%,BUF,3,2020
17,Atlanta Falcons,2,2,0,2,0,0,0,1,5.0,5.0,11.4%,ATL,3,2020
18,Los Angeles Chargers,2,0,0,0,0,0,0,1,4.0,4.0,9.6%,LAC,3,2020
19,Los Angeles Rams,4,1,1,1,0,0,0,1,4.0,4.0,1.4%,LAR,3,2020
20,Arizona Cardinals,4,0,0,0,0,0,0,1,4.0,4.0,0.4%,ARI,3,2020
21,Chicago Bears,2,1,0,1,0,0,0,1,4.0,4.0,46.1%,CHI,3,2020
22,Las Vegas Raiders,2,1,0,0,0,0,0,1,3.0,3.0,6.5%,LV,3,2020
23,Minnesota Vikings,2,1,0,1,0,0,0,1,3.0,3.0,33.7%,MIN,3,2020
24,Green Bay Packers,2,0,1,2,0,0,0,1,3.0,3.0,10.2%,GB,3,2020
25,Denver Broncos,2,0,0,0,0,0,0,1,3.0,3.0,7.8%,DEN,3,2020
26,Houston Texans,2,0,0,1,0,0,0,1,1.0,1.0,36.0%,HOU,3,2020
27,Washington Commanders,2,0,0,0,0,0,0,1,1.0,1.0,1.0%,WAS,3,2020
28,New York Jets,0,0,0,0,0,0,0,1,0.0,0.0,94.9%,NYJ,3,2020
29,Jacksonville Jaguars,1,0,0,0,0,0,0,1,0.0,0.0,19.9%,JAC,3,2020
30,Dallas Cowboys,4,0,0,1,0,0,0,1,0.0,0.0,98.7%,DAL,3,2020
31,New York Giants,2,0,0,0,0,0,0,1,-2.0,-2.0,3.3%,NYG,3,2020
32,New Orleans Saints,1,0,0,0,0,0,0,1,-3.0,-3.0,64.3%,NO,3,2020
