Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kansas City Chiefs,3,2,2,2,1,0,1,1,24.0,24.0,79.3%,KC,7,2020
2,Washington Commanders,6,1,0,2,0,1,0,1,17.0,17.0,1.0%,WAS,7,2020
3,San Francisco 49ers,2,4,0,1,0,0,0,1,17.0,17.0,99.0%,SF,7,2020
4,Los Angeles Rams,4,2,0,0,0,0,0,1,15.0,15.0,1.4%,LAR,7,2020
5,Buffalo Bills,6,2,0,1,0,0,0,1,14.0,14.0,51.7%,BUF,7,2020
6,Chicago Bears,1,0,1,2,1,0,0,1,11.0,11.0,46.1%,CHI,7,2020
7,Philadelphia Eagles,3,1,2,2,0,0,0,1,9.0,9.0,43.3%,PHI,7,2020
8,Los Angeles Chargers,5,0,1,0,0,0,0,1,7.0,7.0,9.6%,LAC,7,2020
9,Arizona Cardinals,2,3,0,0,0,0,0,1,7.0,7.0,0.4%,ARI,7,2020
10,Cleveland Browns,4,1,1,1,0,0,0,1,7.0,7.0,97.8%,CLE,7,2020
11,Green Bay Packers,3,0,1,2,0,0,0,1,6.0,6.0,10.2%,GB,7,2020
12,Tennessee Titans,0,3,0,2,0,0,0,1,6.0,6.0,1.1%,TEN,7,2020
13,Tampa Bay Buccaneers,3,1,0,1,0,0,0,1,6.0,6.0,6.5%,TB,7,2020
14,New England Patriots,1,2,0,0,0,0,0,1,6.0,6.0,2.9%,NE,7,2020
15,New York Giants,3,1,0,0,0,0,0,1,5.0,5.0,3.3%,NYG,7,2020
16,Jacksonville Jaguars,1,0,0,0,0,0,1,1,5.0,5.0,19.9%,JAC,7,2020
17,New York Jets,2,0,1,1,0,0,0,1,5.0,5.0,94.9%,NYJ,7,2020
18,Detroit Lions,2,0,1,2,0,0,0,1,4.0,4.0,40.6%,DET,7,2020
19,Carolina Panthers,1,0,1,1,0,0,0,1,3.0,3.0,1.0%,CAR,7,2020
20,Pittsburgh Steelers,2,0,0,0,0,0,0,1,2.0,2.0,91.3%,PIT,7,2020
21,Denver Broncos,4,0,1,1,0,0,0,1,2.0,2.0,7.8%,DEN,7,2020
22,Dallas Cowboys,2,0,0,0,0,0,0,1,2.0,2.0,98.7%,DAL,7,2020
23,Atlanta Falcons,2,0,0,0,0,0,0,1,2.0,2.0,11.4%,ATL,7,2020
24,New Orleans Saints,1,0,0,0,0,0,0,1,1.0,1.0,64.3%,NO,7,2020
25,Seattle Seahawks,0,1,1,2,0,0,0,1,0.0,0.0,32.1%,SEA,7,2020
26,Cincinnati Bengals,0,1,0,0,0,0,0,1,-2.0,-2.0,58.3%,CIN,7,2020
27,Houston Texans,0,0,0,0,0,0,0,1,-2.0,-2.0,36.0%,HOU,7,2020
28,Las Vegas Raiders,0,0,0,1,0,0,0,1,-4.0,-4.0,6.5%,LV,7,2020
