Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Atlanta Falcons,5,1,4,4,1,0,0,1,28.0,28.0,11.4%,ATL,12,2020
2,Carolina Panthers,2,0,3,2,2,0,0,1,19.0,19.0,1.0%,CAR,12,2020
3,San Francisco 49ers,2,2,2,2,1,0,0,1,17.0,17.0,99.0%,SF,12,2020
4,Houston Texans,4,1,2,3,1,0,0,1,16.0,16.0,36.0%,HOU,12,2020
5,Washington Commanders,4,1,1,1,1,0,0,1,15.0,15.0,1.0%,WAS,12,2020
6,Green Bay Packers,3,2,1,1,1,0,0,1,15.0,15.0,10.2%,GB,12,2020
7,Los Angeles Rams,2,1,2,3,1,0,0,1,15.0,15.0,1.4%,LAR,12,2020
8,Pittsburgh Steelers,3,1,1,0,1,0,0,1,14.0,14.0,91.3%,PIT,12,2020
9,New Orleans Saints,1,2,1,0,0,0,0,1,14.0,14.0,64.3%,NO,12,2020
10,Miami Dolphins,3,2,0,0,0,0,0,1,14.0,14.0,77.9%,MIA,12,2020
11,Tennessee Titans,2,1,0,0,0,0,1,1,10.0,10.0,1.1%,TEN,12,2020
12,New York Jets,4,0,2,4,0,0,0,1,9.0,9.0,94.9%,NYJ,12,2020
13,Cincinnati Bengals,0,0,1,1,0,0,1,1,9.0,9.0,58.3%,CIN,12,2020
14,Seattle Seahawks,6,1,0,0,0,0,0,1,9.0,9.0,32.1%,SEA,12,2020
15,Los Angeles Chargers,3,1,2,1,0,0,0,1,9.0,9.0,9.6%,LAC,12,2020
16,New York Giants,2,1,2,2,0,0,0,1,9.0,9.0,3.3%,NYG,12,2020
17,Baltimore Ravens,0,1,1,2,0,0,0,1,8.0,8.0,97.7%,BAL,12,2020
18,Arizona Cardinals,3,2,0,0,0,0,0,1,8.0,8.0,0.4%,ARI,12,2020
19,Buffalo Bills,3,1,0,1,0,0,0,1,6.0,6.0,51.7%,BUF,12,2020
20,New England Patriots,2,1,0,0,0,0,0,1,5.0,5.0,2.9%,NE,12,2020
21,Minnesota Vikings,0,1,0,0,0,0,0,1,5.0,5.0,33.7%,MIN,12,2020
22,Kansas City Chiefs,1,2,0,0,0,0,0,1,5.0,5.0,79.3%,KC,12,2020
23,Denver Broncos,3,1,0,2,0,0,0,1,4.0,4.0,7.8%,DEN,12,2020
24,Jacksonville Jaguars,2,0,1,1,0,0,0,1,4.0,4.0,19.9%,JAC,12,2020
25,Tampa Bay Buccaneers,2,0,1,1,0,0,0,1,4.0,4.0,6.5%,TB,12,2020
26,Philadelphia Eagles,2,0,0,0,0,0,0,1,2.0,2.0,43.3%,PHI,12,2020
27,Dallas Cowboys,3,1,0,0,0,0,0,1,1.0,1.0,98.7%,DAL,12,2020
28,Cleveland Browns,0,0,0,1,0,0,0,1,0.0,0.0,97.8%,CLE,12,2020
29,Detroit Lions,2,0,1,1,0,0,0,1,0.0,0.0,40.6%,DET,12,2020
30,Las Vegas Raiders,1,1,0,0,0,0,0,1,-1.0,-1.0,6.5%,LV,12,2020
31,Indianapolis Colts,1,0,0,0,0,0,0,1,-3.0,-3.0,6.9%,IND,12,2020
32,Chicago Bears,0,0,0,0,0,0,0,1,-4.0,-4.0,46.1%,CHI,12,2020
