RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
47,Calais Campbell (ATL),3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,3.6%,5.0
48,Dylan Horton (HOU),2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,0.0%,5.0
49,Michael Hoecht (LAR),3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,8.5%,5.0
50,Johnathan Hankins (DAL),2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,0.1%,5.0
51,Kobie Turner (LAR),4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,0.6%,5.0
52,Jonathan Bullard (MIN),1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,2.1%,5.0
53,Sheldon Rankins (HOU),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,1.0%,5.0
54,Raekwon Davis (MIA),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,0.1%,5.0
55,Derrick Brown (CAR),2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,10.9%,5.0
56,Jonathan Harris (DEN),3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.6%,5.0
57,Chase Young (SF),1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,5.8,5.8,11.3%,5.0
58,Larrell Murchison (LAR),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,0.0%,5.0
59,Travon Walker (JAC),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.5,5.5,3.8%,5.0
60,Larry Ogunjobi (PIT),1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5,5.5,0.8%,5.0
61,Quinton Jefferson (NYJ),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.5,5.5,2.8%,5.0
62,Maliek Collins (HOU),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,0.2%,5.0
63,Andrew Billings (CHI),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,1.1%,5.0
64,Travis Jones (BAL),1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,0.0%,5.0
65,Harrison Phillips (MIN),1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,17.5%,5.0
66,Davon Godchaux (NE),2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,0.9%,5.0
67,Jonathon Cooper (DEN),3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,9.6%,5.0
68,Bobby Brown III (LAR),3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,0.0%,5.0
69,DeForest Buckner (IND),1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,25.6%,5.0
70,Grady Jarrett (ATL),1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,1.5%,5.0
71,Christian Wilkins (MIA),0.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,31.8%,5.0
72,John Franklin-Myers (NYJ),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.8,0.2%,5.0
73,Mike Purcell (DEN),2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,0.1%,5.0
74,Bilal Nichols (LV),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,0.4%,5.0
75,Jonah Williams (LAR),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,0.1%,5.0
76,Lawrence Guy Sr. (NE),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,2.2%,5.0
77,Tanoh Kpassagnon (NO),1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,4.3,4.3,0.0%,5.0
78,Folorunso Fatukasi (JAC),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.1%,5.0
