RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
1,Danielle Hunter (MIN),5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,29.3,29.3,41.2%,2.0
2,Jonathon Cooper (DEN),3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,22.8,22.8,9.6%,2.0
3,Joey Bosa (LAC),3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,18.3,16.7%,2.0
4,Daron Payne (WAS),5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,11.9%,2.0
5,Harrison Phillips (MIN),7.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,17.5%,2.0
6,Randy Gregory (SF),3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.5,16.5,0.8%,2.0
7,Kwity Paye (IND),3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,16.5,16.5,6.5%,2.0
8,Larry Ogunjobi (PIT),3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.8,15.8,0.8%,2.0
9,DeForest Buckner (IND),4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,25.6%,2.0
10,Christian Wilkins (MIA),4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,31.8%,2.0
11,Tuli Tuipulotu (LAC),3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,1.0%,2.0
12,Carl Granderson (NO),2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,13.5,13.5,16.3%,2.0
13,Jadeveon Clowney (BAL),3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.3,13.3,2.2%,2.0
14,Quinnen Williams (NYJ),5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.3,13.3,13.6%,2.0
15,Montez Sweat (CHI),2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,17.0%,2.0
16,Vita Vea (TB),2.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,12.3,12.3,2.7%,2.0
17,Chris Jones (KC),1.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,12.3,12.3,14.4%,2.0
18,George Karlaftis III (KC),1.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,12.3,12.3,3.2%,2.0
19,Chase Young (SF),2.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,12.3,12.3,11.3%,2.0
20,Nik Bonitto (DEN),2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,1.1%,2.0
21,Jeffery Simmons (TEN),2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.8,11.8,13.3%,2.0
22,Denico Autry (TEN),3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,4.5%,2.0
23,DeMarvin Leal (PIT),2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,0.1%,2.0
24,Byron Young (LAR),3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,9.6%,2.0
25,Maxx Crosby (LV),6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,64.7%,2.0
26,Josh Sweat (PHI),1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.5,9.5,10.0%,2.0
27,Osa Odighizuwa (DAL),2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,2.1%,2.0
28,Solomon Thomas (NYJ),2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,0.6%,2.0
29,Nathan Shepherd (NO),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,0.1%,2.0
30,Jordan Davis (PHI),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,1.1%,2.0
31,Dre'Mont Jones (SEA),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,5.4%,2.0
32,K'Lavon Chaisson (JAC),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,0.1%,2.0
33,Raekwon Davis (MIA),3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,8.5,0.1%,2.0
34,Justin Houston (CAR),1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,0.2%,2.0
35,Felix Anudike-Uzomah (KC),1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,8.3,8.3,0.3%,2.0
