Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Younghoe Koo,4,4,100.0,54,0,1,0,1,2,2,2,1,19.0,19.0,79.8%,ATL,9,2023
2,Chase McLaughlin,3,3,100.0,55,0,0,1,1,1,4,4,1,16.0,16.0,3.7%,TB,9,2023
3,Justin Tucker,3,3,100.0,45,0,0,2,1,0,4,4,1,14.0,14.0,99.8%,BAL,9,2023
4,Daniel Carlson,3,3,100.0,46,0,1,0,2,0,3,3,1,14.0,14.0,9.8%,LV,9,2023
5,Matt Gay,2,2,100.0,57,0,1,0,0,1,3,3,1,11.0,11.0,30.7%,IND,9,2023
6,Nick Folk,3,3,100.0,48,0,0,2,1,0,1,1,1,11.0,11.0,2.5%,TEN,9,2023
7,Greg Joseph,3,3,100.0,32,1,0,2,0,0,2,2,1,11.0,11.0,0.1%,FA,9,2023
8,Cameron Dicker,2,2,100.0,55,0,0,1,0,1,3,3,1,11.0,11.0,51.9%,LAC,9,2023
9,Dustin Hopkins,2,3,66.7,45,0,0,1,1,0,3,3,1,10.0,10.0,20.7%,CLE,9,2023
10,Anders Carlson,2,3,66.7,34,0,1,1,0,0,2,2,1,8.0,8.0,0.4%,FA,9,2023
11,Greg Zuerlein,2,2,100.0,47,0,0,0,2,0,0,0,1,8.0,8.0,52.1%,NYJ,9,2023
12,Chris Boswell,2,2,100.0,30,0,1,1,0,0,2,2,1,8.0,8.0,4.4%,PIT,9,2023
13,Joey Slye,2,2,100.0,37,0,0,2,0,0,2,2,1,8.0,8.0,0.2%,NE,9,2023
14,Eddy Pineiro,2,2,100.0,49,0,0,1,1,0,1,1,1,8.0,8.0,2.8%,CAR,9,2023
15,Blake Grupe,1,2,50.0,55,0,0,0,0,1,3,3,1,8.0,8.0,1.9%,NO,9,2023
16,Brandon Aubrey,1,1,100.0,51,0,0,0,0,1,2,2,1,7.0,7.0,99.0%,DAL,9,2023
17,Evan McPherson,1,1,100.0,20,0,1,0,0,0,3,3,1,6.0,6.0,88.7%,CIN,9,2023
18,Chad Ryland,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,6.0,0.1%,FA,9,2023
19,Ka'imi Fairbairn,1,1,100.0,50,0,0,0,0,1,1,1,1,6.0,6.0,89.8%,HOU,9,2023
20,Cairo Santos,1,2,50.0,31,0,0,1,0,0,2,2,1,5.0,5.0,28.4%,CHI,9,2023
21,Lucas Havrisik,1,2,50.0,52,0,0,0,0,1,0,0,1,5.0,5.0,0.1%,FA,9,2023
22,Jake Elliott,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,95.3%,PHI,9,2023
23,Tyler Bass,1,1,100.0,34,0,0,1,0,0,1,1,1,4.0,4.0,40.1%,BUF,9,2023
24,Jason Myers,1,1,100.0,33,0,0,1,0,0,0,0,1,3.0,3.0,8.8%,SEA,9,2023
25,Harrison Butker,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,98.8%,KC,9,2023
26,Jason Sanders,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,49.7%,MIA,9,2023
27,Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5%,DEN,9,2023
28,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.1%,DET,9,2023
29,Jude McAtamney,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,9,2023
30,Spencer Shrader,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,9,2023
31,Jake Bates,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0%,DET,9,2023
32,Brayden Narveson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%,GB,9,2023
33,Joshua Karty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,LAR,9,2023
34,Cam Little,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6%,JAC,9,2023
35,Charlie Smyth,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,9,2023
36,Will Reichard,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.6%,MIN,9,2023
37,Cade York,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WAS,9,2023
38,Jake Moody,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,81.0%,SF,9,2023
