Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Brandon Aubrey,5,5,100.0,55,0,2,2,0,1,1,1,1,18.0,18.0,99.0%,DAL,2,2023
2,Jake Moody,3,3,100.0,57,0,2,0,0,1,3,3,1,14.0,14.0,81.0%,SF,2,2023
3,Brett Maher,3,3,100.0,48,0,0,1,2,0,2,2,1,13.0,13.0,0.0%,FA,2,2023
4,Eddy Pineiro,3,3,100.0,54,0,0,1,0,2,0,0,1,13.0,13.0,2.8%,CAR,2,2023
5,Younghoe Koo,4,4,100.0,39,0,2,2,0,0,1,2,1,13.0,13.0,79.8%,ATL,2,2023
6,Jake Elliott,2,3,66.7,61,0,1,0,0,1,4,4,1,12.0,12.0,95.3%,PHI,2,2023
7,Chris Boswell,2,2,100.0,52,0,0,0,0,2,2,2,1,12.0,12.0,4.4%,PIT,2,2023
8,Joey Slye,2,4,50.0,49,0,0,0,2,0,3,3,1,11.0,11.0,0.2%,NE,2,2023
9,Justin Tucker,2,3,66.7,44,0,0,0,2,0,3,3,1,11.0,11.0,99.8%,BAL,2,2023
10,Cameron Dicker,3,3,100.0,33,0,1,2,0,0,1,1,1,10.0,10.0,51.9%,LAC,2,2023
11,Brandon McManus,3,3,100.0,49,0,1,1,1,0,0,0,1,10.0,10.0,0.1%,FA,2,2023
12,Nick Folk,2,2,100.0,41,0,0,1,1,0,3,3,1,10.0,10.0,2.5%,TEN,2,2023
13,Chase McLaughlin,2,3,66.7,26,0,2,0,0,0,3,3,1,9.0,9.0,3.7%,TB,2,2023
14,Wil Lutz,2,2,100.0,32,0,0,2,0,0,3,3,1,9.0,9.0,1.5%,DEN,2,2023
15,Dustin Hopkins,2,3,66.7,55,0,0,0,1,1,0,0,1,9.0,9.0,20.7%,CLE,2,2023
16,Matt Prater,2,3,66.7,44,0,0,1,1,0,2,2,1,9.0,9.0,3.7%,ARI,2,2023
17,Tyler Bass,1,1,100.0,29,0,1,0,0,0,5,5,1,8.0,8.0,40.1%,BUF,2,2023
18,Matt Gay,1,1,100.0,42,0,0,0,1,0,4,4,1,8.0,8.0,30.7%,IND,2,2023
19,Ka'imi Fairbairn,2,3,66.7,36,0,1,1,0,0,2,2,1,8.0,8.0,89.8%,HOU,2,2023
20,Blake Grupe,2,2,100.0,28,0,2,0,0,0,2,2,1,8.0,8.0,1.9%,NO,2,2023
21,Cairo Santos,1,1,100.0,52,0,0,0,0,1,2,2,1,7.0,7.0,28.4%,CHI,2,2023
22,Riley Patterson,1,1,100.0,38,0,0,1,0,0,4,4,1,7.0,7.0,0.1%,FA,2,2023
23,Graham Gano,1,1,100.0,34,0,0,1,0,0,4,4,1,7.0,7.0,1.0%,NYG,2,2023
24,Jason Myers,1,3,33.3,25,0,1,0,0,0,4,4,1,7.0,7.0,8.8%,SEA,2,2023
25,Chad Ryland,1,1,100.0,49,0,0,0,1,0,2,2,1,6.0,6.0,0.1%,FA,2,2023
26,Anders Carlson,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,0.4%,FA,2,2023
27,Jason Sanders,1,3,33.3,23,0,1,0,0,0,3,3,1,6.0,6.0,49.7%,MIA,2,2023
28,Evan McPherson,1,1,100.0,27,0,1,0,0,0,3,3,1,6.0,6.0,88.7%,CIN,2,2023
29,Harrison Butker,1,1,100.0,38,0,0,1,0,0,2,2,1,5.0,5.0,98.8%,KC,2,2023
30,Daniel Carlson,1,1,100.0,47,0,0,0,1,0,1,1,1,5.0,5.0,9.8%,LV,2,2023
31,Austin Seibert,1,1,100.0,34,0,0,1,0,0,1,1,1,4.0,4.0,0.1%,FA,2,2023
32,Greg Joseph,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,2,2023
33,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.1%,DET,2,2023
34,Jake Bates,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0%,DET,2,2023
35,Jude McAtamney,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,2,2023
36,Spencer Shrader,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,2,2023
37,Will Reichard,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.6%,MIN,2,2023
38,Brayden Narveson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%,GB,2,2023
39,Joshua Karty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,LAR,2,2023
40,Cam Little,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6%,JAC,2,2023
41,Charlie Smyth,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,2,2023
42,Cade York,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WAS,2,2023
43,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,2,2023
44,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,2,2023
45,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,2,2023
46,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,2,2023
47,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,2,2023
48,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CLE,2,2023
49,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,2,2023
50,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DAL,2,2023
51,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,2,2023
52,Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,2,2023
53,MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,2,2023
54,Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,2,2023
55,Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DAL,2,2023
56,Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,2,2023
57,Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0%,LAR,2,2023
