Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dustin Hopkins,4,4,100.0,58,0,0,0,1,3,3,3,1,22.0,22.0,20.7%,CLE,7,2023
2,Wil Lutz,4,4,100.0,52,0,1,2,0,1,1,1,1,15.0,15.0,1.5%,DEN,7,2023
3,Younghoe Koo,3,3,100.0,51,0,1,0,1,1,1,1,1,13.0,13.0,79.8%,ATL,7,2023
4,Greg Joseph,3,4,75.0,54,0,2,0,0,1,1,2,1,12.0,12.0,0.1%,FA,7,2023
5,Chad Ryland,3,3,100.0,49,0,1,1,1,0,2,2,1,12.0,12.0,0.1%,FA,7,2023
6,Blake Grupe,3,4,75.0,42,0,1,1,1,0,1,1,1,11.0,11.0,1.9%,NO,7,2023
7,Jason Myers,2,2,100.0,48,0,1,0,1,0,2,2,1,9.0,9.0,8.8%,SEA,7,2023
8,Justin Tucker,1,1,100.0,32,0,0,1,0,0,5,5,1,8.0,8.0,99.8%,BAL,7,2023
9,Cairo Santos,1,1,100.0,54,0,0,0,0,1,3,4,1,8.0,8.0,28.4%,CHI,7,2023
10,Chris Boswell,1,1,100.0,53,0,0,0,0,1,3,3,1,8.0,8.0,4.4%,PIT,7,2023
11,Matt Gay,1,2,50.0,27,0,1,0,0,0,5,5,1,8.0,8.0,30.7%,IND,7,2023
12,Brandon McManus,1,1,100.0,43,0,0,0,1,0,4,4,1,8.0,8.0,0.1%,FA,7,2023
13,Cameron Dicker,1,1,100.0,55,0,0,0,0,1,2,2,1,7.0,7.0,51.9%,LAC,7,2023
14,Chase McLaughlin,2,2,100.0,36,0,1,1,0,0,1,1,1,7.0,7.0,3.7%,TB,7,2023
15,Daniel Carlson,2,3,66.7,40,0,1,0,1,0,0,0,1,7.0,7.0,9.8%,LV,7,2023
16,Harrison Butker,1,1,100.0,35,0,0,1,0,0,4,4,1,7.0,7.0,98.8%,KC,7,2023
17,Jake Elliott,1,1,100.0,24,0,1,0,0,0,4,4,1,7.0,7.0,95.3%,PHI,7,2023
18,Jake Moody,1,2,50.0,55,0,0,0,0,1,2,2,1,7.0,7.0,81.0%,SF,7,2023
19,Jason Sanders,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,6.0,49.7%,MIA,7,2023
20,Anders Carlson,1,2,50.0,29,0,1,0,0,0,2,2,1,5.0,5.0,0.4%,FA,7,2023
21,Matt Prater,1,2,50.0,44,0,0,0,1,0,1,1,1,5.0,5.0,3.7%,ARI,7,2023
22,Tyler Bass,1,2,50.0,36,0,0,1,0,0,2,2,1,5.0,5.0,40.1%,BUF,7,2023
23,Brett Maher,1,3,33.3,41,0,0,0,1,0,0,1,1,4.0,4.0,0.0%,FA,7,2023
24,Graham Gano,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,1.0%,NYG,7,2023
25,Joey Slye,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.2%,NE,7,2023
26,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.8%,CAR,7,2023
27,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.1%,DET,7,2023
28,Brandon Aubrey,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,99.0%,DAL,7,2023
29,Jude McAtamney,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,7,2023
30,Spencer Shrader,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,7,2023
31,Jake Bates,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0%,DET,7,2023
32,Brayden Narveson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%,GB,7,2023
33,Joshua Karty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,LAR,7,2023
34,Cam Little,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6%,JAC,7,2023
35,Charlie Smyth,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,7,2023
36,Will Reichard,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.6%,MIN,7,2023
37,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,88.7%,CIN,7,2023
38,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,7,2023
39,Cade York,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WAS,7,2023
40,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8%,HOU,7,2023
41,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,7,2023
42,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,7,2023
43,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,7,2023
44,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,7,2023
45,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,7,2023
46,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CLE,7,2023
47,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,7,2023
48,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DAL,7,2023
49,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,7,2023
50,Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5%,TEN,7,2023
51,Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,7,2023
52,MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,7,2023
53,Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,7,2023
54,Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DAL,7,2023
55,Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,7,2023
56,Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0%,LAR,7,2023
57,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,52.1%,NYJ,7,2023
58,Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,7,2023
59,Alex Hale,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,7,2023
