Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Blake Grupe,5,6,83.3,52,0,1,1,2,1,0,0,1,19.0,19.0,1.9%,NO,12,2023
2,Brandon McManus,3,4,75.0,53,0,0,0,2,1,1,1,1,14.0,14.0,0.1%,FA,12,2023
3,Cairo Santos,4,5,80.0,55,0,1,2,0,1,0,0,1,14.0,14.0,28.4%,CHI,12,2023
4,Jason Sanders,2,2,100.0,54,0,0,1,0,1,4,4,1,12.0,12.0,49.7%,MIA,12,2023
5,Tyler Bass,2,4,50.0,48,0,0,0,2,0,4,4,1,12.0,12.0,40.1%,BUF,12,2023
6,Chris Boswell,3,3,100.0,41,0,0,2,1,0,1,1,1,11.0,11.0,4.4%,PIT,12,2023
7,Justin Tucker,2,3,66.7,48,0,0,0,2,0,2,2,1,10.0,10.0,99.8%,BAL,12,2023
8,Matt Gay,2,3,66.7,46,0,0,1,1,0,3,3,1,10.0,10.0,30.7%,IND,12,2023
9,Jason Myers,2,3,66.7,51,0,0,1,0,1,1,1,1,9.0,9.0,8.8%,SEA,12,2023
10,Brandon Aubrey,1,1,100.0,52,0,0,0,0,1,4,5,1,9.0,9.0,99.0%,DAL,12,2023
11,Wil Lutz,2,2,100.0,34,0,1,1,0,0,3,3,1,9.0,9.0,1.5%,DEN,12,2023
12,Jake Elliott,1,1,100.0,59,0,0,0,0,1,4,4,1,9.0,9.0,95.3%,PHI,12,2023
13,Chase McLaughlin,2,2,100.0,24,0,2,0,0,0,2,2,1,8.0,8.0,3.7%,TB,12,2023
14,Lucas Havrisik,1,2,50.0,24,0,1,0,0,0,4,5,1,7.0,7.0,0.1%,FA,12,2023
15,Nick Folk,1,1,100.0,53,0,0,0,0,1,2,2,1,7.0,7.0,2.5%,TEN,12,2023
16,Harrison Butker,1,1,100.0,32,0,0,1,0,0,4,4,1,7.0,7.0,98.8%,KC,12,2023
17,Jake Moody,1,1,100.0,32,0,0,1,0,0,4,4,1,7.0,7.0,81.0%,SF,12,2023
18,Dustin Hopkins,2,2,100.0,36,0,1,1,0,0,0,0,1,6.0,6.0,20.7%,CLE,12,2023
19,Eddy Pineiro,1,1,100.0,50,0,0,0,0,1,1,1,1,6.0,6.0,2.8%,CAR,12,2023
20,Younghoe Koo,1,1,100.0,39,0,0,1,0,0,3,3,1,6.0,6.0,79.8%,ATL,12,2023
21,Anders Carlson,1,2,50.0,43,0,0,0,1,0,2,3,1,6.0,6.0,0.4%,FA,12,2023
22,Evan McPherson,1,1,100.0,47,0,0,0,1,0,1,1,1,5.0,5.0,88.7%,CIN,12,2023
23,Randy Bullock,1,1,100.0,42,0,0,0,1,0,1,1,1,5.0,5.0,0.0%,FA,12,2023
24,Daniel Carlson,1,2,50.0,34,0,0,1,0,0,2,2,1,5.0,5.0,9.8%,LV,12,2023
25,Joey Slye,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,0.2%,NE,12,2023
26,Greg Joseph,1,1,100.0,34,0,0,1,0,0,1,1,1,4.0,4.0,0.1%,FA,12,2023
27,Cameron Dicker,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,51.9%,LAC,12,2023
28,Matt Ammendola,0,2,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,2.0%,FA,12,2023
29,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,52.1%,NYJ,12,2023
30,Chad Ryland,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,12,2023
31,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.1%,DET,12,2023
32,Jude McAtamney,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,12,2023
33,Spencer Shrader,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,12,2023
34,Jake Bates,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,25.0%,DET,12,2023
35,Brayden Narveson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%,GB,12,2023
36,Joshua Karty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,LAR,12,2023
37,Cam Little,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6%,JAC,12,2023
38,Charlie Smyth,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,12,2023
39,Will Reichard,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.6%,MIN,12,2023
40,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.1%,FA,12,2023
