Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New England Patriots,5,1,2,1,1,0,0,1,21.0,21.0,2.9%,NE,8,2019
2,San Francisco 49ers,7,3,0,0,0,0,0,1,17.0,17.0,99.0%,SF,8,2019
3,Jacksonville Jaguars,8,3,0,1,0,0,0,1,15.0,15.0,19.9%,JAC,8,2019
4,Pittsburgh Steelers,4,2,2,3,0,0,0,1,13.0,13.0,91.3%,PIT,8,2019
5,Minnesota Vikings,4,1,1,2,0,0,0,1,12.0,12.0,33.7%,MIN,8,2019
6,Philadelphia Eagles,4,0,1,3,0,0,0,1,12.0,12.0,43.3%,PHI,8,2019
7,Tennessee Titans,3,2,2,2,0,0,0,1,11.0,11.0,1.1%,TEN,8,2019
8,Detroit Lions,3,0,1,2,1,0,0,1,11.0,11.0,40.6%,DET,8,2019
9,Los Angeles Rams,5,0,0,0,0,0,0,1,9.0,9.0,1.4%,LAR,8,2019
10,Seattle Seahawks,2,1,2,2,0,0,0,1,9.0,9.0,32.1%,SEA,8,2019
11,Los Angeles Chargers,4,1,1,0,0,0,0,1,9.0,9.0,9.6%,LAC,8,2019
12,New Orleans Saints,4,0,0,0,0,0,0,1,8.0,8.0,64.3%,NO,8,2019
13,New York Giants,4,1,1,1,0,0,0,1,8.0,8.0,3.3%,NYG,8,2019
14,Denver Broncos,4,0,1,2,0,0,0,1,7.0,7.0,7.8%,DEN,8,2019
15,Indianapolis Colts,3,0,0,1,0,0,0,1,7.0,7.0,6.9%,IND,8,2019
16,Washington Commanders,3,0,1,1,0,0,0,1,6.0,6.0,1.0%,WAS,8,2019
17,Cleveland Browns,3,0,0,0,0,0,0,1,5.0,5.0,97.8%,CLE,8,2019
18,Tampa Bay Buccaneers,3,0,1,2,0,0,0,1,5.0,5.0,6.5%,TB,8,2019
19,Miami Dolphins,2,1,0,1,0,0,0,1,4.0,4.0,77.9%,MIA,8,2019
20,Kansas City Chiefs,5,0,0,0,0,0,0,1,4.0,4.0,79.3%,KC,8,2019
21,Green Bay Packers,2,0,1,1,0,0,0,1,4.0,4.0,10.2%,GB,8,2019
22,Chicago Bears,1,1,0,0,0,0,0,1,4.0,4.0,46.1%,CHI,8,2019
23,Buffalo Bills,3,0,1,1,0,0,0,1,4.0,4.0,51.7%,BUF,8,2019
24,New York Jets,2,0,1,1,0,0,0,1,3.0,3.0,94.9%,NYJ,8,2019
25,Las Vegas Raiders,3,0,0,1,0,0,0,1,3.0,3.0,6.5%,LV,8,2019
26,Carolina Panthers,3,1,0,0,0,1,0,1,3.0,3.0,1.0%,CAR,8,2019
27,Atlanta Falcons,2,0,0,0,0,0,0,1,2.0,2.0,11.4%,ATL,8,2019
28,Arizona Cardinals,0,1,0,0,0,0,0,1,1.0,1.0,0.4%,ARI,8,2019
29,Houston Texans,0,0,0,0,0,0,0,1,0.0,0.0,36.0%,HOU,8,2019
30,Cincinnati Bengals,0,0,0,0,0,0,0,1,0.0,0.0,58.3%,CIN,8,2019
