Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New Orleans Saints,2,2,1,0,1,0,0,1,18.0,18.0,64.3%,NO,18,2019
2,Baltimore Ravens,2,0,2,2,1,0,0,1,16.0,16.0,97.7%,BAL,18,2019
3,Atlanta Falcons,1,2,1,2,1,0,0,1,14.0,14.0,11.4%,ATL,18,2019
4,Jacksonville Jaguars,3,0,2,2,1,0,0,1,14.0,14.0,19.9%,JAC,18,2019
5,New York Jets,1,2,1,1,0,0,0,1,14.0,14.0,94.9%,NYJ,18,2019
6,Tampa Bay Buccaneers,6,0,1,1,1,0,0,1,14.0,14.0,6.5%,TB,18,2019
7,Kansas City Chiefs,3,2,0,0,0,0,1,1,13.0,13.0,79.3%,KC,18,2019
8,Cincinnati Bengals,6,3,0,1,0,0,0,1,12.0,12.0,58.3%,CIN,18,2019
9,Miami Dolphins,1,1,1,1,1,0,0,1,11.0,11.0,77.9%,MIA,18,2019
10,Los Angeles Rams,1,2,3,1,0,0,0,1,11.0,11.0,1.4%,LAR,18,2019
11,Philadelphia Eagles,4,1,1,2,0,0,0,1,9.0,9.0,43.3%,PHI,18,2019
12,Chicago Bears,0,2,1,0,0,1,0,1,9.0,9.0,46.1%,CHI,18,2019
13,Buffalo Bills,2,1,0,0,0,0,0,1,8.0,8.0,51.7%,BUF,18,2019
14,Dallas Cowboys,2,1,1,1,0,0,0,1,7.0,7.0,98.7%,DAL,18,2019
15,Pittsburgh Steelers,3,1,1,1,0,0,0,1,7.0,7.0,91.3%,PIT,18,2019
16,Tennessee Titans,4,1,0,0,0,0,0,1,7.0,7.0,1.1%,TEN,18,2019
17,Minnesota Vikings,4,0,1,2,0,0,0,1,6.0,6.0,33.7%,MIN,18,2019
18,Las Vegas Raiders,2,0,1,2,0,0,0,1,5.0,5.0,6.5%,LV,18,2019
19,Denver Broncos,2,0,1,1,0,0,0,1,5.0,5.0,7.8%,DEN,18,2019
20,Indianapolis Colts,3,1,0,1,0,0,0,1,4.0,4.0,6.9%,IND,18,2019
21,Green Bay Packers,1,1,0,0,0,0,0,1,4.0,4.0,10.2%,GB,18,2019
22,Detroit Lions,1,1,0,1,0,0,0,1,3.0,3.0,40.6%,DET,18,2019
23,New England Patriots,2,0,0,0,0,0,0,1,2.0,2.0,2.9%,NE,18,2019
24,Seattle Seahawks,2,0,0,1,0,0,0,1,2.0,2.0,32.1%,SEA,18,2019
25,Cleveland Browns,1,1,0,0,0,0,0,1,2.0,2.0,97.8%,CLE,18,2019
26,San Francisco 49ers,1,0,0,1,0,0,0,1,1.0,1.0,99.0%,SF,18,2019
27,Washington Commanders,3,0,1,1,0,0,0,1,1.0,1.0,1.0%,WAS,18,2019
28,Los Angeles Chargers,0,1,0,0,0,0,0,1,1.0,1.0,9.6%,LAC,18,2019
29,New York Giants,1,0,0,0,0,0,0,1,0.0,0.0,3.3%,NYG,18,2019
30,Arizona Cardinals,1,0,0,0,0,0,0,1,0.0,0.0,0.4%,ARI,18,2019
31,Carolina Panthers,1,0,0,0,0,0,0,1,-3.0,-3.0,1.0%,CAR,18,2019
32,Houston Texans,0,0,0,0,0,0,0,1,-4.0,-4.0,36.0%,HOU,18,2019
