Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Harrison Smith,8,6,3,0,0,1,0,0,1,37.5,37.5,5.9%,MIN,4,2023
2,Devon Witherspoon,6,1,2,1,1,0,0,1,1,35.3,35.3,36.5%,SEA,4,2023
3,Antoine Winfield Jr.,6,3,1,1,0,1,1,0,1,29.8,29.8,66.8%,TB,4,2023
4,DaRon Bland,3,1,0,3,2,0,0,1,1,25.8,25.8,7.9%,DAL,4,2023
5,Jerry Jacobs,5,0,0,4,2,0,0,0,1,23.5,23.5,0.1%,FA,4,2023
6,Kyle Dugger,12,3,0,0,0,0,0,0,1,22.8,22.8,17.4%,NE,4,2023
7,Darious Williams,4,1,0,3,1,0,0,1,1,22.3,22.3,2.2%,LAR,4,2023
8,Kamren Curl,9,3,1,0,0,0,0,0,1,22.3,22.3,13.3%,LAR,4,2023
9,Myles Bryant,6,4,0,0,0,2,0,0,1,20.0,20.0,0.7%,HOU,4,2023
10,Camryn Bynum,9,3,0,0,0,1,0,0,1,19.8,19.8,48.3%,MIN,4,2023
11,Kenny Moore II,5,3,0,2,1,0,0,0,1,17.8,17.8,15.8%,IND,4,2023
12,Rudy Ford,7,1,0,1,1,0,0,0,1,17.8,17.8,0.1%,FA,4,2023
13,Nick Scott,9,2,0,0,0,0,0,0,1,17.5,17.5,0.1%,CAR,4,2023
14,Kareem Jackson,6,2,0,1,1,0,0,0,1,17.0,17.0,0.1%,BUF,4,2023
15,Tre'von Moehrig,6,0,0,2,1,0,0,0,1,17.0,17.0,1.1%,LV,4,2023
16,Jessie Bates III,5,3,0,0,0,1,0,0,1,16.3,16.3,67.6%,ATL,4,2023
17,Isaac Yiadom,5,1,0,2,1,0,0,0,1,16.3,16.3,0.1%,SF,4,2023
18,Darius Slay Jr.,10,1,0,0,0,0,0,0,1,15.8,15.8,2.7%,PHI,4,2023
19,Jeremy Chinn,6,0,1,0,0,0,0,0,1,15.5,15.5,4.1%,WAS,4,2023
20,Asante Samuel Jr.,6,0,0,1,1,0,0,0,1,15.5,15.5,1.0%,LAC,4,2023
21,Richie Grant,9,2,0,0,0,0,0,0,1,15.0,15.0,1.7%,ATL,4,2023
22,Delarrin Turner-Yell,9,0,0,1,0,0,0,0,1,15.0,15.0,0.1%,DEN,4,2023
23,Andre Cisco,4,0,0,1,1,0,0,0,1,15.0,15.0,1.0%,JAC,4,2023
24,Emmanuel Forbes Jr.,7,2,0,2,0,0,0,0,1,15.0,15.0,0.7%,WAS,4,2023
25,Dax Hill,3,5,0,1,1,0,0,0,1,14.8,14.8,4.2%,CIN,4,2023
26,Mike Edwards,4,0,1,1,0,0,0,0,1,14.0,14.0,0.3%,BUF,4,2023
27,Kyle Hamilton,5,0,0,1,1,0,0,0,1,14.0,14.0,37.1%,BAL,4,2023
28,Julian Love,6,3,0,0,0,0,0,0,1,13.8,13.8,31.7%,SEA,4,2023
29,Reed Blankenship,4,4,0,3,0,0,0,0,1,13.5,13.5,27.8%,PHI,4,2023
30,Minkah Fitzpatrick,7,4,0,0,0,0,0,0,1,13.5,13.5,22.8%,PIT,4,2023
31,Micah Hyde,4,1,0,1,1,0,0,0,1,13.3,13.3,4.1%,FA,4,2023
32,Kevin Byard III,6,0,0,0,0,0,1,0,1,13.0,13.0,20.7%,CHI,4,2023
33,JuJu Brents,8,1,0,0,0,0,0,0,1,12.8,12.8,1.3%,IND,4,2023
34,Jabrill Peppers,5,3,0,0,0,0,0,0,1,12.3,12.3,4.0%,NE,4,2023
35,Julian Blackmon,7,2,0,0,0,0,0,0,1,12.0,12.0,6.1%,IND,4,2023
36,Michael Davis,8,0,0,0,0,0,0,0,1,12.0,12.0,0.1%,WAS,4,2023
37,Steven Nelson,3,1,0,1,1,0,0,0,1,11.8,11.8,0.2%,FA,4,2023
38,Cam Taylor-Britt,4,2,0,0,0,1,0,0,1,11.5,11.5,6.3%,CIN,4,2023
39,Tyson Campbell,5,1,0,2,0,0,0,0,1,11.3,11.3,8.1%,JAC,4,2023
40,Dee Delaney,3,0,0,1,1,0,0,0,1,11.0,11.0,0.0%,BUF,4,2023
41,Quandre Diggs,3,0,0,1,1,0,0,0,1,11.0,11.0,0.7%,TEN,4,2023
42,Taron Johnson,3,1,0,1,0,1,0,0,1,10.8,10.8,17.2%,BUF,4,2023
43,Benjamin St-Juste,4,1,0,0,0,1,0,0,1,10.8,10.8,3.0%,WAS,4,2023
44,Terell Smith,4,1,0,1,0,0,0,0,1,10.8,10.8,1.1%,CHI,4,2023
45,Dallis Flowers,3,1,0,2,0,0,0,0,1,10.8,10.8,0.3%,IND,4,2023
46,Grayland Arnold,5,1,0,0,0,0,0,0,1,10.8,10.8,1.6%,FA,4,2023
47,Amani Hooker,4,1,0,1,0,0,0,0,1,10.8,10.8,19.7%,TEN,4,2023
48,Joshua Metellus,2,5,0,1,0,0,0,0,1,10.8,10.8,38.3%,MIN,4,2023
49,Brian Branch,5,2,0,1,0,0,0,0,1,10.5,10.5,46.4%,DET,4,2023
50,Geno Stone,2,1,0,1,1,0,0,0,1,10.3,10.3,1.5%,CIN,4,2023
51,Roger McCreary,4,2,0,0,0,0,0,0,1,10.0,10.0,4.4%,TEN,4,2023
52,Kei'Trel Clark,5,0,0,0,0,0,0,0,1,10.0,10.0,0.1%,ARI,4,2023
53,Arthur Maulet,3,2,0,1,0,0,0,0,1,10.0,10.0,0.1%,BAL,4,2023
54,Riq Woolen,4,3,0,1,0,0,0,0,1,9.8,9.8,1.0%,SEA,4,2023
55,Ezekiel Turner,4,5,0,0,0,0,0,0,1,9.8,9.8,20.0%,HOU,4,2023
56,D.J. Reed Jr.,5,3,0,0,0,0,0,0,1,9.8,9.8,3.4%,NYJ,4,2023
57,Brandon Stephens,2,0,0,1,1,0,0,0,1,9.5,9.5,0.9%,BAL,4,2023
58,Greg Newsome II,3,1,0,1,0,0,0,0,1,9.3,9.3,0.9%,CLE,4,2023
59,Levi Wallace,4,0,0,2,0,0,0,0,1,9.0,9.0,0.2%,DEN,4,2023
60,Shaun Wade,6,0,0,0,0,0,0,0,1,9.0,9.0,0.0%,FA,4,2023
61,K'Von Wallace,4,4,0,0,0,0,0,0,1,9.0,9.0,0.2%,SEA,4,2023
62,Tracy Walker III,2,2,0,0,0,1,0,0,1,8.5,8.5,0.2%,SF,4,2023
63,Rasul Douglas,4,0,0,0,0,0,0,0,1,8.5,8.5,2.9%,BUF,4,2023
64,Dean Marlowe,4,0,0,0,0,0,0,0,1,8.5,8.5,0.0%,FA,4,2023
65,Taylor Rapp,5,1,0,0,0,0,0,0,1,8.3,8.3,5.6%,BUF,4,2023
66,Russ Yeast,4,1,0,1,0,0,0,0,1,8.3,8.3,0.1%,LAR,4,2023
67,Trent McDuffie,5,1,0,0,0,0,0,0,1,8.3,8.3,17.3%,KC,4,2023
68,Juan Thornhill,4,3,0,0,0,0,0,0,1,8.3,8.3,0.8%,CLE,4,2023
69,Vonn Bell,4,3,0,0,0,0,0,0,1,8.3,8.3,1.2%,CIN,4,2023
70,Damarri Mathis,5,1,0,0,0,0,0,0,1,8.3,8.3,0.1%,DEN,4,2023
71,Ashtyn Davis,1,0,0,1,1,0,0,0,1,8.0,8.0,0.1%,NYJ,4,2023
72,Dee Alford,3,1,0,0,0,0,0,0,1,7.8,7.8,0.1%,ATL,4,2023
73,C.J. Henderson,5,0,0,0,0,0,0,0,1,7.5,7.5,0.1%,FA,4,2023
74,Pat Surtain II,3,0,0,2,0,0,0,0,1,7.5,7.5,4.8%,DEN,4,2023
75,Carlton Davis III,4,0,0,1,0,0,0,0,1,7.5,7.5,1.1%,DET,4,2023
76,Patrick Peterson,3,2,0,1,0,0,0,0,1,7.5,7.5,0.6%,FA,4,2023
77,Jevon Holland,4,2,0,0,0,0,0,0,1,7.5,7.5,9.3%,MIA,4,2023
78,Zyon McCollum,4,0,0,1,0,0,0,0,1,7.5,7.5,1.1%,TB,4,2023
79,Shaq Griffin,2,0,0,3,0,0,0,0,1,7.5,7.5,0.1%,MIN,4,2023
80,Marshon Lattimore,5,0,0,0,0,0,0,0,1,7.5,7.5,1.4%,NO,4,2023
81,Darrick Forrest,3,4,0,0,0,0,0,0,1,7.5,7.5,1.1%,WAS,4,2023
82,Christian Izien,4,2,0,0,0,0,0,0,1,7.5,7.5,2.1%,TB,4,2023
83,Ja'Sir Taylor,5,0,0,0,0,0,0,0,1,7.5,7.5,0.1%,LAC,4,2023
84,Kendall Sheffield,3,0,0,0,0,0,0,0,1,7.0,7.0,0.0%,NYJ,4,2023
85,Jordan Fuller,1,2,0,0,0,1,0,0,1,7.0,7.0,4.7%,CAR,4,2023
86,Derion Kendrick,3,0,0,0,0,0,0,0,1,7.0,7.0,0.1%,LAR,4,2023
87,Ahkello Witherspoon,1,0,0,1,0,0,1,0,1,7.0,7.0,0.1%,FA,4,2023
88,Jalen Pitre,2,0,0,0,0,1,0,0,1,7.0,7.0,12.7%,HOU,4,2023
89,Keanu Neal,2,2,0,0,0,0,0,0,1,7.0,7.0,0.1%,FA,4,2023
90,Talanoa Hufanga,4,1,0,0,0,0,0,0,1,6.8,6.8,4.1%,SF,4,2023
91,Martin Emerson Jr.,3,1,0,1,0,0,0,0,1,6.8,6.8,0.6%,CLE,4,2023
92,Marcus Peters,3,1,0,1,0,0,0,0,1,6.8,6.8,2.0%,FA,4,2023
93,Ja'Quan McMillian,3,3,0,0,0,0,0,0,1,6.8,6.8,0.2%,DEN,4,2023
94,Jourdan Lewis,4,1,0,0,0,0,0,0,1,6.8,6.8,0.4%,DAL,4,2023
95,Deonte Banks,4,1,0,0,0,0,0,0,1,6.8,6.8,2.5%,NYG,4,2023
96,Deommodore Lenoir,4,1,0,0,0,0,0,0,1,6.8,6.8,4.5%,SF,4,2023
97,Tre Herndon,3,1,0,1,0,0,0,0,1,6.8,6.8,0.1%,FA,4,2023
98,Donovan Wilson,3,3,0,0,0,0,0,0,1,6.8,6.8,11.1%,DAL,4,2023
99,Dane Jackson,4,0,0,0,0,0,0,0,1,6.0,6.0,0.3%,CAR,4,2023
100,Justin Bethel,2,2,0,1,0,0,0,0,1,6.0,6.0,0.0%,FA,4,2023
101,Jayron Kearse,2,0,0,2,0,0,0,0,1,6.0,6.0,0.1%,FA,4,2023
102,David Long Jr.,3,0,0,1,0,0,0,0,1,6.0,6.0,0.0%,FA,4,2023
103,Mike Hughes,3,2,0,0,0,0,0,0,1,6.0,6.0,0.1%,ATL,4,2023
104,Isaiah Oliver,4,0,0,0,0,0,0,0,1,6.0,6.0,0.1%,NYJ,4,2023
105,Tyrann Mathieu,3,2,0,0,0,0,0,0,1,6.0,6.0,3.1%,NO,4,2023
106,James Bradberry IV,3,2,0,0,0,0,0,0,1,6.0,6.0,0.2%,PHI,4,2023
107,Tre'Davious White,3,0,0,1,0,0,0,0,1,6.0,6.0,0.5%,LAR,4,2023
108,Sean Murphy-Bunting,3,2,0,0,0,0,0,0,1,6.0,6.0,1.6%,ARI,4,2023
109,Grant Delpit,3,2,0,0,0,0,0,0,1,6.0,6.0,11.3%,CLE,4,2023
110,Darnell Savage Jr.,3,2,0,0,0,0,0,0,1,6.0,6.0,0.9%,JAC,4,2023
111,Chidobe Awuzie,4,0,0,0,0,0,0,0,1,6.0,6.0,0.4%,TEN,4,2023
112,Joshua Williams,2,0,0,0,0,0,0,0,1,5.5,5.5,0.2%,KC,4,2023
113,Will Harris,2,0,0,0,0,0,0,0,1,5.5,5.5,0.0%,NO,4,2023
114,Amik Robertson,2,0,0,0,0,0,0,0,1,5.5,5.5,0.1%,DET,4,2023
115,Marco Wilson,3,1,0,0,0,0,0,0,1,5.3,5.3,0.1%,NE,4,2023
116,Rodney Thomas II,2,1,0,1,0,0,0,0,1,5.3,5.3,0.1%,IND,4,2023
117,Xavien Howard,2,1,0,1,0,0,0,0,1,5.3,5.3,0.6%,FA,4,2023
118,Jalen Mills,2,3,0,0,0,0,0,0,1,5.3,5.3,0.1%,FA,4,2023
119,Marcus Epps,3,1,0,0,0,0,0,0,1,5.3,5.3,0.8%,LV,4,2023
120,Adoree' Jackson,3,1,0,0,0,0,0,0,1,5.3,5.3,0.3%,NYG,4,2023
121,Jaquan Brisker,3,1,0,0,0,0,0,0,1,5.3,5.3,25.3%,CHI,4,2023
122,Alontae Taylor,3,1,0,0,0,0,0,0,1,5.3,5.3,0.4%,NO,4,2023
123,Cameron Sutton,1,1,0,0,0,0,0,0,1,4.8,4.8,0.0%,PIT,4,2023
124,Jalen Thompson,3,0,0,0,0,0,0,0,1,4.5,4.5,8.1%,ARI,4,2023
125,L'Jarius Sneed,2,2,0,0,0,0,0,0,1,4.5,4.5,14.1%,TEN,4,2023
126,Adrian Amos,3,0,0,0,0,0,0,0,1,4.5,4.5,0.1%,FA,4,2023
127,Ronald Darby,2,0,0,1,0,0,0,0,1,4.5,4.5,0.4%,JAC,4,2023
128,Damontae Kazee,3,0,0,0,0,0,0,0,1,4.5,4.5,0.6%,PIT,4,2023
129,Johnathan Abram,1,4,0,0,0,0,0,0,1,4.5,4.5,0.1%,NO,4,2023
130,Jordan Whitehead,2,2,0,0,0,0,0,0,1,4.5,4.5,6.6%,TB,4,2023
131,Michael Carter II,2,2,0,0,0,0,0,0,1,4.5,4.5,0.0%,NYJ,4,2023
132,Tyrique Stevenson,3,0,0,0,0,0,0,0,1,4.5,4.5,9.3%,CHI,4,2023
133,Tashaun Gipson Sr.,1,4,0,0,0,0,0,0,1,4.5,4.5,0.0%,JAC,4,2023
134,Michael Jackson Sr.,3,0,0,0,0,0,0,0,1,4.5,4.5,0.1%,CAR,4,2023
135,A.J. Terrell,3,0,0,0,0,0,0,0,1,4.5,4.5,0.9%,ATL,4,2023
136,Kristian Fulton,2,0,0,1,0,0,0,0,1,4.5,4.5,0.2%,LAC,4,2023
137,Elijah Hicks,3,0,0,0,0,0,0,0,1,4.5,4.5,0.1%,CHI,4,2023
138,Kendall Fuller,3,0,0,0,0,0,0,0,1,4.5,4.5,2.0%,MIA,4,2023
139,Josh Jobe,2,0,0,1,0,0,0,0,1,4.5,4.5,0.0%,SEA,4,2023
