Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Justin Fields,12,20,60.0,167,8.4,2,1,3,13,147,2,0,1,40.4,40.4,6.0%,PIT,10,2022
2,Patrick Mahomes II,26,35,74.3,331,9.5,4,1,0,7,39,0,0,1,32.1,32.1,99.9%,KC,10,2022
3,Tua Tagovailoa,25,32,78.1,285,8.9,3,0,0,1,0,0,0,1,23.4,23.4,80.1%,MIA,10,2022
4,Jalen Hurts,17,26,65.4,175,6.7,2,1,1,6,28,1,0,1,22.8,22.8,99.9%,PHI,10,2022
5,Matt Ryan,21,28,75.0,222,7.9,1,0,1,4,38,1,0,1,22.7,22.7,0.1%,FA,10,2022
6,Josh Allen,29,43,67.4,330,7.7,1,2,2,6,84,0,1,1,21.6,21.6,100.0%,BUF,10,2022
7,Dak Prescott,27,46,58.7,265,5.8,3,2,2,4,6,0,0,1,21.2,21.2,96.3%,DAL,10,2022
8,Trevor Lawrence,29,40,72.5,259,6.5,2,0,5,4,26,0,0,1,21.0,21.0,66.9%,JAC,10,2022
9,Aaron Rodgers,14,20,70.0,224,11.2,3,0,2,2,4,0,1,1,19.4,19.4,72.2%,NYJ,10,2022
10,Ryan Tannehill,19,36,52.8,255,7.1,2,0,1,2,12,0,0,1,19.4,19.4,0.1%,FA,10,2022
11,Geno Smith,23,33,69.7,275,8.3,2,0,3,4,22,0,1,1,19.2,19.2,21.9%,SEA,10,2022
12,Kenny Pickett,18,30,60.0,199,6.6,0,0,6,8,51,1,0,1,19.1,19.1,0.2%,PHI,10,2022
13,Marcus Mariota,19,30,63.3,186,6.2,2,1,5,3,43,0,0,1,18.7,18.7,0.1%,WAS,10,2022
14,Daniel Jones,13,17,76.5,197,11.6,2,0,3,5,24,0,0,1,18.3,18.3,7.4%,NYG,10,2022
15,Derek Carr,24,38,63.2,248,6.5,2,0,2,0,0,0,0,1,17.9,17.9,7.1%,NO,10,2022
16,Kirk Cousins,30,50,60.0,357,7.1,1,2,4,6,12,0,0,1,17.5,17.5,64.2%,ATL,10,2022
17,Tom Brady,22,29,75.9,258,8.9,2,1,0,6,-3,0,0,1,17.0,17.0,2.7%,FA,10,2022
18,Jacoby Brissett,22,35,62.9,212,6.1,1,0,3,7,40,0,0,1,16.5,16.5,0.9%,NE,10,2022
19,Jimmy Garoppolo,19,28,67.9,240,8.6,0,0,1,5,3,1,0,1,15.9,15.9,0.1%,LAR,10,2022
20,Davis Mills,22,37,59.5,319,8.6,1,1,4,0,0,0,0,1,15.8,15.8,0.1%,HOU,10,2022
21,Russell Wilson,21,42,50.0,286,6.8,1,1,6,7,8,0,0,1,15.2,15.2,6.9%,PIT,10,2022
22,Jared Goff,19,26,73.1,236,9.1,1,0,2,4,14,0,0,1,14.8,14.8,73.4%,DET,10,2022
23,Colt McCoy,26,37,70.3,238,6.4,1,0,2,4,4,0,0,1,13.9,13.9,0.0%,FA,10,2022
24,Justin Herbert,21,35,60.0,196,5.6,1,1,2,5,22,0,0,1,13.0,13.0,65.1%,LAC,10,2022
25,John Wolford,24,36,66.7,212,5.9,1,1,3,3,3,0,1,1,9.8,9.8,0.0%,CAR,10,2022
26,Andy Dalton,17,27,63.0,174,6.4,1,2,2,3,1,0,0,1,9.1,9.1,0.1%,CAR,10,2022
27,Taylor Heinicke,17,29,58.6,211,7.3,0,1,3,5,10,0,1,1,6.4,6.4,0.0%,LAC,10,2022
28,P.J. Walker,10,16,62.5,108,6.8,0,0,1,3,14,0,0,1,5.7,5.7,0.0%,FA,10,2022
29,Skylar Thompson,1,1,100.0,17,17.0,0,0,0,3,0,0,0,1,0.7,0.7,0.1%,MIA,10,2022
30,Bryce Perkins,1,1,100.0,-3,-3.0,0,0,0,3,4,0,0,1,0.3,0.3,0.0%,FA,10,2022
31,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,DAL,10,2022
32,Chase Daniel,0,2,0.0,0,0.0,0,0,1,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
33,Taysom Hill,0,1,0.0,0,0.0,0,0,0,3,1,0,0,1,0.0,0.0,45.9%,NO,10,2022
34,Kyle Allen,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,PIT,10,2022
35,Malik Willis,0,0,0.0,0,0.0,0,0,0,1,-4,0,1,1,-2.4,-2.4,0.1%,GB,10,2022
