Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Deon Jackson,12,42,3.5,11,0,1,10,10,79,7.9,0,0,1,28.1,28.1,0.0%,FA,6,2022
2,Rhamondre Stevenson,19,76,4.0,31,1,2,4,5,15,3.8,0,0,1,25.1,25.1,95.2%,NE,6,2022
3,Austin Ekeler,14,36,2.6,11,0,1,10,16,47,4.7,0,0,1,24.3,24.3,87.4%,WAS,6,2022
4,Christian McCaffrey,13,69,5.3,17,0,0,7,8,89,12.7,0,0,1,22.8,22.8,100.0%,SF,6,2022
5,Leonard Fournette,21,63,3.0,13,0,0,6,6,38,6.3,1,0,1,22.1,22.1,2.1%,FA,6,2022
6,Breece Hall,20,116,5.8,34,1,1,2,2,5,2.5,0,0,1,20.1,20.1,100.0%,NYJ,6,2022
7,Kenyan Drake,10,119,11.9,30,3,1,1,2,8,8.0,0,0,1,19.7,19.7,0.0%,FA,6,2022
8,Kenneth Walker III,21,97,4.6,34,2,1,2,3,13,6.5,0,0,1,19.0,19.0,98.0%,SEA,6,2022
9,Saquon Barkley,22,83,3.8,8,0,1,3,3,12,4.0,0,0,1,18.5,18.5,100.0%,PHI,6,2022
10,Alvin Kamara,19,99,5.2,24,1,0,6,9,25,4.2,0,0,1,18.4,18.4,98.5%,NO,6,2022
11,Joe Mixon,8,45,5.6,10,0,0,4,6,23,5.8,1,0,1,16.8,16.8,99.1%,HOU,6,2022
12,Ezekiel Elliott,13,81,6.2,14,0,1,1,1,5,5.0,0,0,1,15.6,15.6,81.8%,DAL,6,2022
13,Dalvin Cook,13,77,5.9,53,1,1,1,1,6,6.0,0,0,1,15.3,15.3,12.7%,DAL,6,2022
14,Devin Singletary,17,85,5.0,14,0,0,4,5,22,5.5,0,0,1,14.7,14.7,87.8%,NYG,6,2022
15,Miles Sanders,18,71,3.9,13,0,1,1,1,1,1.0,0,0,1,14.2,14.2,8.5%,CAR,6,2022
16,Darrell Henderson Jr.,12,43,3.6,16,0,1,2,3,9,4.5,0,0,1,13.2,13.2,5.0%,FA,6,2022
17,Najee Harris,14,42,3.0,14,0,0,2,3,7,3.5,1,0,1,12.9,12.9,93.3%,PIT,6,2022
18,Travis Etienne Jr.,10,86,8.6,48,2,0,2,2,22,11.0,0,0,1,12.8,12.8,99.9%,JAC,6,2022
19,JaMycal Hasty,3,57,19.0,61,1,1,1,1,-5,-5.0,0,0,1,12.2,12.2,0.2%,NE,6,2022
20,Brian Robinson Jr.,17,60,3.5,16,0,1,0,0,0,0.0,0,0,1,12.0,12.0,90.8%,WAS,6,2022
21,Eno Benjamin,15,37,2.5,6,0,0,3,3,28,9.3,0,0,1,9.5,9.5,0.0%,FA,6,2022
22,AJ Dillon,10,41,4.1,19,0,0,4,6,11,2.8,0,0,1,9.2,9.2,1.9%,GB,6,2022
23,David Montgomery,15,67,4.5,13,0,0,1,1,13,13.0,0,0,1,9.0,9.0,95.7%,DET,6,2022
24,Antonio Gibson,5,35,7.0,18,0,0,3,4,18,6.0,0,0,1,8.3,8.3,34.1%,NE,6,2022
25,Nick Chubb,12,56,4.7,18,0,0,1,2,14,14.0,0,0,1,8.0,8.0,83.5%,CLE,6,2022
26,Aaron Jones,9,19,2.1,7,0,0,3,4,25,8.3,0,0,1,7.4,7.4,96.1%,MIN,6,2022
27,Latavius Murray,15,66,4.4,14,0,0,1,1,-2,-2.0,0,0,1,7.4,7.4,0.0%,FA,6,2022
28,Khalil Herbert,7,74,10.6,63,1,0,0,0,0,0.0,0,0,1,7.4,7.4,26.2%,CHI,6,2022
29,Kyle Juszczyk,0,0,0.0,0,0,0,4,4,33,8.3,0,0,1,7.3,7.3,0.6%,SF,6,2022
30,Sony Michel,8,28,3.5,7,0,0,3,3,14,4.7,0,0,1,7.2,7.2,0.0%,FA,6,2022
31,Tony Pollard,11,44,4.0,15,0,0,2,3,8,4.0,0,0,1,7.2,7.2,90.8%,TEN,6,2022
32,Mark Ingram II,9,46,5.1,14,0,0,1,2,11,11.0,0,0,1,6.7,6.7,0.1%,FA,6,2022
33,James Robinson,12,54,4.5,14,0,0,1,1,1,1.0,0,0,1,6.5,6.5,0.0%,FA,6,2022
34,Phillip Lindsay,3,7,2.3,3,0,0,3,3,5,1.7,0,0,1,6.2,6.2,0.0%,FA,6,2022
35,Jerick McKinnon,2,1,0.5,1,0,0,3,3,29,9.7,0,0,1,6.0,6.0,0.1%,FA,6,2022
36,Caleb Huntley,16,59,3.7,16,0,0,0,0,0,0.0,0,0,1,5.9,5.9,0.0%,FA,6,2022
37,Raheem Mostert,14,49,3.5,16,0,0,1,2,-1,-1.0,0,0,1,5.8,5.8,92.7%,MIA,6,2022
38,Michael Carter,6,41,6.8,25,1,0,1,1,6,6.0,0,0,1,5.7,5.7,0.3%,ARI,6,2022
39,Rachaad White,4,12,3.0,8,0,0,3,4,11,3.7,0,0,1,5.3,5.3,99.0%,TB,6,2022
40,Chase Edmonds,2,3,1.5,2,0,0,2,2,28,14.0,0,0,1,5.1,5.1,0.3%,TB,6,2022
41,Tyler Allgeier,15,51,3.4,8,0,0,0,0,0,0.0,0,0,1,5.1,5.1,48.2%,ATL,6,2022
42,Reggie Gilliam,0,0,0.0,0,0,0,3,3,18,6.0,0,0,1,4.8,4.8,0.0%,BUF,6,2022
43,Malcolm Brown,7,15,2.1,10,0,0,1,1,13,13.0,0,0,1,3.8,3.8,0.0%,FA,6,2022
44,Isiah Pacheco,2,9,4.5,5,0,0,2,2,9,4.5,0,0,1,3.8,3.8,99.9%,KC,6,2022
45,Samaje Perine,2,5,2.5,5,0,0,2,2,11,5.5,0,0,1,3.6,3.6,2.1%,KC,6,2022
46,Clyde Edwards-Helaire,9,33,3.7,11,0,0,0,0,0,0.0,0,0,1,3.3,3.3,7.3%,KC,6,2022
47,Alec Ingold,1,2,2.0,2,0,0,2,2,10,5.0,0,0,1,3.2,3.2,0.1%,MIA,6,2022
48,Matt Breida,3,-6,-2.0,1,0,0,2,2,17,8.5,0,0,1,3.1,3.1,0.0%,FA,6,2022
49,D'Ernest Johnson,0,0,0.0,0,0,0,2,2,9,4.5,0,0,1,2.9,2.9,0.4%,JAC,6,2022
50,Kenneth Gainwell,5,25,5.0,9,0,0,0,0,0,0.0,0,0,1,2.5,2.5,3.0%,PHI,6,2022
51,Ronnie Rivers,1,0,0.0,0,0,0,1,1,14,14.0,0,0,1,2.4,2.4,0.1%,LAR,6,2022
52,J.D. McKissic,2,20,10.0,16,0,0,0,3,0,0.0,0,0,1,2.0,2.0,0.0%,FA,6,2022
53,Keith Smith,1,2,2.0,2,0,0,1,1,8,8.0,0,0,1,2.0,2.0,0.0%,FA,6,2022
54,D'Onta Foreman,5,19,3.8,8,0,0,0,0,0,0.0,0,0,1,1.9,1.9,2.4%,CLE,6,2022
55,Avery Williams,2,6,3.0,3,0,0,1,1,2,2.0,0,0,1,1.8,1.8,0.0%,ATL,6,2022
56,Chuba Hubbard,2,6,3.0,4,0,0,1,1,1,1.0,0,0,1,1.7,1.7,61.7%,CAR,6,2022
57,Boston Scott,6,16,2.7,8,0,0,0,0,0,0.0,0,0,1,1.6,1.6,0.0%,PIT,6,2022
58,J.K. Dobbins,7,15,2.1,6,0,0,0,0,0,0.0,0,0,1,1.5,1.5,61.0%,LAC,6,2022
59,Mike Boone,1,1,1.0,1,0,0,1,4,3,3.0,0,0,1,1.4,1.4,0.0%,CAR,6,2022
60,Kareem Hunt,4,12,3.0,9,0,0,0,1,0,0.0,0,0,1,1.2,1.2,0.2%,FA,6,2022
61,Zander Horvath,0,0,0.0,0,0,0,1,1,0,0.0,0,0,1,1.0,1.0,0.0%,FA,6,2022
62,James Cook,2,8,4.0,4,0,0,0,0,0,0.0,0,0,1,0.8,0.8,99.1%,BUF,6,2022
63,Melvin Gordon III,3,8,2.7,4,0,0,0,0,0,0.0,0,0,1,0.8,0.8,0.0%,FA,6,2022
64,Keaontay Ingram,3,7,2.3,7,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.1%,KC,6,2022
65,Pierre Strong Jr.,1,5,5.0,5,0,0,0,0,0,0.0,0,0,1,0.5,0.5,0.8%,CLE,6,2022
66,Jeff Wilson Jr.,7,25,3.6,9,0,0,0,1,0,0.0,0,1,1,0.5,0.5,0.1%,MIA,6,2022
67,Kevin Harris,3,5,1.7,3,0,0,0,0,0,0.0,0,0,1,0.5,0.5,0.0%,NE,6,2022
68,C.J. Ham,1,3,3.0,3,0,0,0,0,0,0.0,0,0,1,0.3,0.3,0.1%,MIN,6,2022
69,Tevin Coleman,4,3,0.8,5,0,0,0,0,0,0.0,0,0,1,0.3,0.3,0.0%,FA,6,2022
70,Alexander Mattison,1,3,3.0,3,0,0,0,0,0,0.0,0,0,1,0.3,0.3,7.9%,LV,6,2022
71,Jaylen Warren,2,2,1.0,1,0,0,0,0,0,0.0,0,0,1,0.2,0.2,87.9%,PIT,6,2022
72,DeeJay Dallas,2,1,0.5,2,0,0,0,0,0,0.0,0,0,1,0.1,0.1,0.1%,ARI,6,2022
73,Ke'Shawn Vaughn,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,SF,6,2022
74,Travis Homer,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,CHI,6,2022
75,Khari Blasingame,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,CHI,6,2022
76,Andrew Beck,0,0,0.0,0,0,0,1,1,7,7.0,0,0,1,0.0,0.0,0.0%,GB,6,2022
77,Cullen Gillaspia,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,6,2022
78,Raheem Blackshear,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.2%,CAR,6,2022
79,John Lovett,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,6,2022
80,Chris Evans,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,CIN,6,2022
81,Gary Brightwell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,CLE,6,2022
82,Kene Nwangwu,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,FA,6,2022
83,Nick Bellore,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,7.0%,WAS,6,2022
84,Patrick Ricard,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.1%,BAL,6,2022
85,Derek Watt,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,6,2022
86,Michael Burton,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0%,DEN,6,2022
