Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Josh Jacobs,33,229,6.9,86,2,2,6,7,74,12.3,0,0,1,48.3,48.3,99.4%,GB,12,2022
2,Miles Sanders,21,143,6.8,28,2,2,3,3,17,5.7,0,0,1,31.0,31.0,8.5%,CAR,12,2022
3,Austin Ekeler,5,20,4.0,9,0,0,11,15,60,5.5,1,0,1,25.0,25.0,87.4%,WAS,12,2022
4,James Conner,25,120,4.8,20,1,0,3,3,20,6.7,1,1,1,21.0,21.0,94.4%,ARI,12,2022
5,JaMycal Hasty,12,28,2.3,13,0,0,5,5,67,13.4,1,0,1,20.5,20.5,0.2%,NE,12,2022
6,Brian Robinson Jr.,18,105,5.8,21,1,0,2,3,20,10.0,1,0,1,20.5,20.5,90.8%,WAS,12,2022
7,Nick Chubb,26,116,4.5,28,1,1,1,1,16,16.0,0,0,1,20.2,20.2,83.5%,CLE,12,2022
8,Rhamondre Stevenson,7,36,5.1,14,0,0,9,10,76,8.4,0,0,1,20.2,20.2,95.2%,NE,12,2022
9,Rachaad White,14,64,4.6,35,1,0,9,9,45,5.0,0,0,1,19.9,19.9,99.0%,TB,12,2022
10,Samaje Perine,17,58,3.4,9,0,1,4,7,35,8.8,0,0,1,19.3,19.3,2.1%,KC,12,2022
11,Aaron Jones,12,43,3.6,10,0,0,3,4,56,18.7,1,0,1,18.9,18.9,96.1%,MIN,12,2022
12,Jonathan Taylor,20,86,4.3,13,0,1,3,4,12,4.0,0,0,1,18.8,18.8,99.9%,IND,12,2022
13,AJ Dillon,8,64,8.0,20,1,1,3,4,24,8.0,0,0,1,17.8,17.8,1.9%,GB,12,2022
14,Kenneth Walker III,14,26,1.9,14,0,2,1,1,13,13.0,0,0,1,16.9,16.9,98.0%,SEA,12,2022
