Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Christian McCaffrey,17,66,3.9,30,1,0,8,10,80,10.0,1,0,1,28.6,28.6,100.0%,SF,13,2022
2,Tony Pollard,12,91,7.6,30,2,2,2,3,15,7.5,0,0,1,24.6,24.6,90.8%,TEN,13,2022
3,Samaje Perine,21,106,5.0,10,0,0,6,7,49,8.2,0,0,1,21.5,21.5,2.1%,KC,13,2022
4,D'Andre Swift,14,62,4.4,10,0,1,4,6,49,12.3,0,0,1,21.1,21.1,94.7%,CHI,13,2022
5,Josh Jacobs,26,144,5.5,20,1,1,2,2,6,3.0,0,1,1,21.0,21.0,99.4%,GB,13,2022
6,AJ Dillon,18,93,5.2,21,1,1,3,3,26,8.7,0,0,1,20.9,20.9,1.9%,GB,13,2022
7,Saquon Barkley,18,63,3.5,21,1,1,5,5,18,3.6,0,0,1,19.1,19.1,100.0%,PHI,13,2022
8,Cam Akers,17,60,3.5,13,0,2,1,1,0,0.0,0,0,1,19.0,19.0,1.5%,HOU,13,2022
9,Ezekiel Elliott,17,77,4.5,22,1,1,3,3,14,4.7,0,0,1,18.1,18.1,81.8%,DAL,13,2022
10,Rachaad White,9,28,3.1,6,0,0,6,8,41,6.8,1,1,1,16.9,16.9,99.0%,TB,13,2022
11,Zonovan Knight,15,90,6.0,48,1,0,5,5,28,5.6,0,0,1,16.8,16.8,0.0%,FA,13,2022
12,David Montgomery,14,61,4.4,9,0,1,4,5,6,1.5,0,0,1,16.7,16.7,95.7%,DET,13,2022
13,James Cook,14,64,4.6,28,1,0,6,6,41,6.8,0,0,1,16.5,16.5,99.1%,BUF,13,2022
14,Dalvin Cook,20,86,4.3,21,1,1,2,3,-3,-1.5,0,0,1,16.3,16.3,12.7%,DAL,13,2022
15,Isiah Pacheco,14,66,4.7,16,0,1,2,2,16,8.0,0,0,1,16.2,16.2,99.9%,KC,13,2022
16,Leonard Fournette,10,49,4.9,10,0,0,6,7,32,5.3,0,0,1,14.1,14.1,2.1%,FA,13,2022
17,Jerick McKinnon,8,51,6.4,14,0,0,2,2,9,4.5,1,0,1,14.0,14.0,0.1%,FA,13,2022
18,Rhamondre Stevenson,10,54,5.4,16,0,0,6,8,24,4.0,0,0,1,13.8,13.8,95.2%,NE,13,2022
19,Jonathan Taylor,21,82,3.9,19,0,0,3,4,21,7.0,0,0,1,13.3,13.3,99.9%,IND,13,2022
20,Austin Ekeler,10,35,3.5,8,0,0,5,6,67,13.4,0,1,1,13.2,13.2,87.4%,WAS,13,2022
21,Brian Robinson Jr.,21,96,4.6,16,0,0,2,2,15,7.5,0,0,1,13.1,13.1,90.8%,WAS,13,2022
22,Dameon Pierce,18,73,4.1,11,0,0,3,3,22,7.3,0,0,1,12.5,12.5,6.1%,HOU,13,2022
23,Miles Sanders,10,24,2.4,5,0,1,2,2,14,7.0,0,0,1,11.8,11.8,8.5%,CAR,13,2022
24,Devin Singletary,13,51,3.9,11,0,1,0,2,0,0.0,0,0,1,11.1,11.1,87.8%,NYG,13,2022
25,Najee Harris,17,86,5.1,14,0,0,1,1,6,6.0,0,0,1,10.2,10.2,93.3%,PIT,13,2022
26,Kyle Juszczyk,1,0,0.0,0,0,0,3,3,12,4.0,1,0,1,10.2,10.2,0.6%,SF,13,2022
27,Latavius Murray,17,47,2.8,7,0,0,4,4,14,3.5,0,0,1,10.1,10.1,0.0%,FA,13,2022
28,Ty Johnson,1,3,3.0,3,0,0,6,7,38,6.3,0,0,1,10.1,10.1,0.9%,BUF,13,2022
29,Aaron Jones,9,26,2.9,11,0,0,5,5,24,4.8,0,0,1,10.0,10.0,96.1%,MIN,13,2022
30,Mark Ingram II,7,27,3.9,7,0,0,5,5,22,4.4,0,0,1,9.9,9.9,0.1%,FA,13,2022
31,Alexander Mattison,3,14,4.7,14,0,1,2,2,4,2.0,0,0,1,9.8,9.8,7.9%,LV,13,2022
32,Jamaal Williams,11,35,3.2,12,0,1,0,0,0,0.0,0,0,1,9.5,9.5,5.0%,NO,13,2022
33,Kareem Hunt,9,56,6.2,15,0,0,2,3,18,9.0,0,0,1,9.4,9.4,0.2%,FA,13,2022
34,Malik Davis,3,29,9.7,23,1,1,0,0,0,0.0,0,0,1,8.9,8.9,0.0%,DAL,13,2022
35,Kenneth Gainwell,3,15,5.0,13,0,0,3,4,38,12.7,0,0,1,8.3,8.3,3.0%,PHI,13,2022
36,Nick Chubb,17,80,4.7,21,1,0,0,1,0,0.0,0,0,1,8.0,8.0,83.5%,CLE,13,2022
37,Antonio Gibson,9,39,4.3,7,0,0,2,4,20,10.0,0,0,1,7.9,7.9,34.1%,NE,13,2022
38,Chris Evans,0,0,0.0,0,0,0,1,1,8,8.0,1,0,1,7.8,7.8,0.0%,CIN,13,2022
39,Travis Etienne Jr.,13,54,4.2,13,0,0,3,3,12,4.0,0,1,1,7.6,7.6,99.9%,JAC,13,2022
40,Kenyan Drake,7,29,4.1,12,0,0,2,3,17,8.5,0,0,1,6.6,6.6,0.0%,FA,13,2022
41,Cordarrelle Patterson,11,60,5.5,22,1,0,0,0,0,0.0,0,0,1,6.0,6.0,1.7%,PIT,13,2022
42,Derrick Henry,11,30,2.7,6,0,0,2,3,8,4.0,0,0,1,5.8,5.8,99.9%,BAL,13,2022
43,Alvin Kamara,12,26,2.2,5,0,0,2,3,11,5.5,0,0,1,5.7,5.7,98.5%,NO,13,2022
44,Justin Jackson,1,4,4.0,4,0,0,3,5,19,6.3,0,0,1,5.3,5.3,0.0%,FA,13,2022
45,Tyler Allgeier,10,52,5.2,20,1,0,0,0,0,0.0,0,0,1,5.2,5.2,48.2%,ATL,13,2022
46,Tony Jones Jr.,7,14,2.0,7,0,0,2,4,18,9.0,0,0,1,5.2,5.2,0.0%,FA,13,2022
47,Jordan Mason,8,51,6.4,19,0,0,0,0,0,0.0,0,0,1,5.1,5.1,21.4%,SF,13,2022
48,Benny Snell Jr.,6,24,4.0,6,0,0,1,1,11,11.0,0,0,1,4.5,4.5,0.0%,FA,13,2022
49,Alec Ingold,0,0,0.0,0,0,0,3,4,15,5.0,0,0,1,4.5,4.5,0.1%,MIA,13,2022
50,Dare Ogunbowale,2,8,4.0,6,0,0,2,3,13,6.5,0,0,1,4.1,4.1,0.2%,HOU,13,2022
51,Jaylen Warren,1,5,5.0,5,0,0,2,2,14,7.0,0,0,1,3.9,3.9,87.9%,PIT,13,2022
52,DeeJay Dallas,10,37,3.7,7,0,0,0,1,0,0.0,0,0,1,3.7,3.7,0.1%,ARI,13,2022
53,Kenneth Walker III,3,36,12.0,30,1,0,0,1,0,0.0,0,0,1,3.6,3.6,98.0%,SEA,13,2022
54,Mike Boone,6,18,3.0,10,0,0,1,1,8,8.0,0,0,1,3.6,3.6,0.0%,CAR,13,2022
55,Dontrell Hilliard,1,2,2.0,2,0,0,2,2,14,7.0,0,0,1,3.6,3.6,0.0%,FA,13,2022
56,Boston Scott,6,16,2.7,5,0,0,1,1,5,5.0,0,0,1,3.1,3.1,0.0%,PIT,13,2022
57,Joshua Kelley,7,30,4.3,7,0,0,0,1,0,0.0,0,0,1,3.0,3.0,0.0%,FA,13,2022
58,Raheem Mostert,7,30,4.3,8,0,0,0,0,0,0.0,0,0,1,3.0,3.0,92.7%,MIA,13,2022
59,Nyheim Hines,2,-3,-1.5,0,0,0,1,2,21,21.0,0,0,1,2.8,2.8,0.3%,CLE,13,2022
60,Justice Hill,1,2,2.0,2,0,0,2,2,4,2.0,0,0,1,2.6,2.6,3.1%,BAL,13,2022
61,Darrynton Evans,3,21,7.0,21,1,0,0,0,0,0.0,0,0,1,2.1,2.1,0.0%,BUF,13,2022
62,Marlon Mack,2,3,1.5,4,0,0,1,1,6,6.0,0,0,1,1.9,1.9,0.0%,FA,13,2022
63,Zack Moss,3,18,6.0,9,0,0,0,0,0,0.0,0,0,1,1.8,1.8,85.3%,CIN,13,2022
64,Caleb Huntley,4,17,4.3,6,0,0,0,0,0,0.0,0,0,1,1.7,1.7,0.0%,FA,13,2022
65,Derek Watt,1,4,4.0,4,0,0,1,1,3,3.0,0,0,1,1.7,1.7,0.0%,FA,13,2022
66,Matt Breida,0,0,0.0,0,0,0,1,1,4,4.0,0,0,1,1.4,1.4,0.0%,FA,13,2022
67,Julius Chestnut,5,13,2.6,5,0,0,0,0,0,0.0,0,0,1,1.3,1.3,0.2%,TEN,13,2022
68,Gus Edwards,6,12,2.0,4,0,0,0,0,0,0.0,0,0,1,1.2,1.2,78.0%,LAC,13,2022
69,James Robinson,4,10,2.5,4,0,0,0,0,0,0.0,0,0,1,1.0,1.0,0.0%,FA,13,2022
70,Patrick Ricard,0,0,0.0,0,0,0,1,1,0,0.0,0,0,1,1.0,1.0,0.1%,BAL,13,2022
71,Kyren Williams,3,9,3.0,4,0,0,0,1,0,0.0,0,0,1,0.9,0.9,99.9%,LAR,13,2022
