Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Austin Ekeler,9,31,3.4,13,0,1,12,12,96,8.0,1,0,1,36.7,36.7,87.4%,WAS,7,2022
2,Josh Jacobs,20,143,7.2,15,0,3,3,4,12,4.0,0,0,1,36.5,36.5,99.4%,GB,7,2022
3,Kenneth Walker III,23,167,7.3,74,1,2,0,0,0,0.0,0,0,1,28.7,28.7,98.0%,SEA,7,2022
4,Aaron Jones,8,23,2.9,8,0,0,9,10,53,5.9,2,0,1,28.6,28.6,96.1%,MIN,7,2022
5,Rhamondre Stevenson,11,39,3.5,7,0,1,8,8,59,7.4,0,0,1,23.8,23.8,95.2%,NE,7,2022
6,Eno Benjamin,12,92,7.7,45,1,1,4,5,21,5.3,0,0,1,23.3,23.3,0.0%,FA,7,2022
7,Raheem Mostert,16,79,4.9,12,0,0,4,5,30,7.5,1,0,1,20.9,20.9,92.7%,MIA,7,2022
8,Travis Etienne Jr.,14,114,8.1,49,1,1,1,5,5,5.0,0,1,1,18.9,18.9,99.9%,JAC,7,2022
9,Nick Chubb,16,91,5.7,22,1,1,2,3,16,8.0,0,0,1,18.7,18.7,83.5%,CLE,7,2022
10,Gus Edwards,16,66,4.1,12,0,2,0,1,0,0.0,0,0,1,18.6,18.6,78.0%,LAC,7,2022
11,Joe Mixon,17,58,3.4,11,0,1,3,3,33,11.0,0,0,1,18.1,18.1,99.1%,HOU,7,2022
12,Ezekiel Elliott,15,57,3.8,18,0,2,0,0,0,0.0,0,0,1,17.7,17.7,81.8%,DAL,7,2022
13,Alvin Kamara,11,49,4.5,17,0,0,7,9,56,8.0,0,0,1,17.5,17.5,98.5%,NO,7,2022
14,Saquon Barkley,24,110,4.6,20,1,0,4,4,25,6.3,0,0,1,17.5,17.5,100.0%,PHI,7,2022
15,Derrick Henry,30,128,4.3,23,2,0,3,3,10,3.3,0,0,1,16.8,16.8,99.9%,BAL,7,2022
16,Antonio Gibson,10,59,5.9,20,1,0,3,4,18,6.0,1,0,1,16.7,16.7,34.1%,NE,7,2022
17,D'Onta Foreman,15,118,7.9,60,2,0,2,2,27,13.5,0,0,1,16.5,16.5,2.4%,CLE,7,2022
18,Dameon Pierce,20,92,4.6,22,1,0,4,4,25,6.3,0,0,1,15.7,15.7,6.1%,HOU,7,2022
19,Khalil Herbert,12,62,5.2,13,0,0,1,2,25,25.0,1,0,1,15.7,15.7,26.2%,CHI,7,2022
20,Jonathan Taylor,10,58,5.8,14,0,0,7,8,27,3.9,0,0,1,15.5,15.5,99.9%,IND,7,2022
21,Chuba Hubbard,9,63,7.0,17,0,1,2,3,10,5.0,0,0,1,15.3,15.3,61.7%,CAR,7,2022
22,Breece Hall,4,72,18.0,62,1,1,0,0,0,0.0,0,0,1,13.2,13.2,100.0%,NYJ,7,2022
23,Tony Pollard,12,83,6.9,28,2,0,2,2,26,13.0,0,0,1,12.9,12.9,90.8%,TEN,7,2022
24,David Montgomery,15,62,4.1,12,0,1,0,0,0,0.0,0,0,1,12.2,12.2,95.7%,DET,7,2022
25,Keaontay Ingram,9,14,1.6,11,0,1,2,2,23,11.5,0,0,1,11.7,11.7,0.1%,KC,7,2022
26,Dare Ogunbowale,1,8,8.0,8,0,0,5,7,54,10.8,0,0,1,11.2,11.2,0.2%,HOU,7,2022
27,Tyler Allgeier,16,50,3.1,9,0,1,0,0,0,0.0,0,0,1,11.0,11.0,48.2%,ATL,7,2022
28,Najee Harris,17,65,3.8,16,0,0,3,4,15,5.0,0,0,1,11.0,11.0,93.3%,PIT,7,2022
