Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Nick Chubb,17,87,5.1,22,1,3,3,3,26,8.7,0,0,1,32.3,32.3,83.5%,CLE,2,2022
2,Aaron Jones,15,132,8.8,36,1,1,3,3,38,12.7,1,0,1,32.0,32.0,96.1%,MIN,2,2022
3,Tony Pollard,9,43,4.8,17,0,1,4,7,55,13.8,0,0,1,19.8,19.8,90.8%,TEN,2,2022
4,Austin Ekeler,14,39,2.8,8,0,0,9,10,55,6.1,0,0,1,18.4,18.4,87.4%,WAS,2,2022
5,Christian McCaffrey,15,102,6.8,49,1,0,4,5,26,6.5,0,0,1,16.8,16.8,100.0%,SF,2,2022
6,D'Andre Swift,5,56,11.2,50,1,0,2,5,31,15.5,1,0,1,16.7,16.7,94.7%,CHI,2,2022
7,Damien Harris,15,71,4.7,16,0,1,2,2,16,8.0,0,0,1,16.7,16.7,9.0%,FA,2,2022
8,James Robinson,23,64,2.8,37,1,1,2,2,14,7.0,0,0,1,15.8,15.8,0.0%,FA,2,2022
9,Clyde Edwards-Helaire,8,74,9.3,52,1,0,4,4,44,11.0,0,0,1,15.8,15.8,7.3%,KC,2,2022
10,David Montgomery,15,122,8.1,28,1,0,2,2,14,7.0,0,0,1,15.6,15.6,95.7%,DET,2,2022
11,Darrel Williams,8,59,7.4,30,1,1,2,3,3,1.5,0,0,1,14.2,14.2,0.0%,FA,2,2022
12,Najee Harris,15,49,3.3,8,0,0,5,6,40,8.0,0,0,1,13.9,13.9,93.3%,PIT,2,2022
13,J.D. McKissic,3,9,3.0,4,0,0,7,7,54,7.7,0,0,1,13.3,13.3,0.0%,FA,2,2022
14,Breece Hall,7,50,7.1,23,1,0,1,1,10,10.0,1,0,1,13.0,13.0,100.0%,NYJ,2,2022
15,Jeff Wilson Jr.,18,84,4.7,16,0,0,2,2,19,9.5,0,0,1,12.3,12.3,0.1%,MIA,2,2022
16,Antonio Gibson,14,28,2.0,8,0,1,2,4,13,6.5,0,0,1,12.1,12.1,34.1%,NE,2,2022
17,Saquon Barkley,21,72,3.4,16,0,0,3,4,16,5.3,0,0,1,11.8,11.8,100.0%,PHI,2,2022
18,Miles Sanders,17,80,4.7,12,0,0,3,3,6,2.0,0,0,1,11.6,11.6,8.5%,CAR,2,2022
19,Joe Mixon,19,57,3.0,10,0,0,3,4,26,8.7,0,0,1,11.3,11.3,99.1%,HOU,2,2022
20,Raheem Mostert,11,51,4.6,11,0,0,3,3,28,9.3,0,0,1,10.9,10.9,92.7%,MIA,2,2022
21,Darrell Henderson Jr.,10,47,4.7,13,0,1,0,0,0,0.0,0,0,1,10.7,10.7,5.0%,FA,2,2022
22,Michael Carter,7,23,3.3,8,0,0,5,5,27,5.4,0,0,1,10.0,10.0,0.3%,ARI,2,2022
23,Reggie Gilliam,0,0,0.0,0,0,0,2,3,17,8.5,1,0,1,9.7,9.7,0.0%,BUF,2,2022
24,Jerick McKinnon,4,12,3.0,5,0,0,2,2,4,2.0,1,0,1,9.6,9.6,0.1%,FA,2,2022
25,Javonte Williams,15,75,5.0,17,0,0,1,4,10,10.0,0,0,1,9.5,9.5,90.5%,DEN,2,2022
26,Kareem Hunt,13,58,4.5,13,0,0,2,2,16,8.0,0,0,1,9.4,9.4,0.2%,FA,2,2022
27,Leonard Fournette,24,65,2.7,13,0,0,2,4,9,4.5,0,0,1,9.4,9.4,2.1%,FA,2,2022
28,Josh Jacobs,19,69,3.6,13,0,0,1,1,12,12.0,0,0,1,9.1,9.1,99.4%,GB,2,2022
29,Dameon Pierce,15,69,4.6,12,0,0,1,1,8,8.0,0,0,1,8.7,8.7,6.1%,HOU,2,2022
30,Derrick Henry,13,25,1.9,9,0,1,0,0,0,0.0,0,0,1,8.5,8.5,99.9%,BAL,2,2022
31,Travis Etienne Jr.,9,20,2.2,6,0,0,3,3,33,11.0,0,0,1,8.3,8.3,99.9%,JAC,2,2022
32,Cam Akers,15,44,2.9,8,0,0,2,3,18,9.0,0,0,1,8.2,8.2,1.5%,HOU,2,2022
33,Travis Homer,2,9,4.5,5,0,0,4,4,33,8.3,0,0,1,8.2,8.2,0.0%,CHI,2,2022
34,Eno Benjamin,8,31,3.9,7,0,0,3,4,20,6.7,0,0,1,8.1,8.1,0.0%,FA,2,2022
35,AJ Dillon,18,61,3.4,11,0,0,1,3,6,6.0,0,0,1,7.7,7.7,1.9%,GB,2,2022
36,Nyheim Hines,1,0,0.0,0,0,0,4,5,37,9.3,0,0,1,7.7,7.7,0.3%,CLE,2,2022
