Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jerick McKinnon,10,52,5.2,26,1,1,8,8,70,8.8,1,0,1,34.2,34.2,0.1%,FA,15,2022
2,Dalvin Cook,17,95,5.6,40,1,0,4,4,95,23.8,1,1,1,27.0,27.0,12.7%,DAL,15,2022
3,Derrick Henry,21,104,5.0,13,0,1,4,4,59,14.8,0,0,1,26.3,26.3,99.9%,BAL,15,2022
4,Christian McCaffrey,26,108,4.2,23,1,1,6,8,30,5.0,0,0,1,25.8,25.8,100.0%,SF,15,2022
5,Rhamondre Stevenson,19,172,9.1,34,3,1,2,3,-4,-2.0,0,0,1,24.8,24.8,95.2%,NE,15,2022
6,David Montgomery,12,53,4.4,9,0,1,3,3,38,12.7,1,0,1,24.1,24.1,95.7%,DET,15,2022
7,Saquon Barkley,18,87,4.8,15,0,1,5,8,33,6.6,0,0,1,23.0,23.0,100.0%,PHI,15,2022
8,Tyler Allgeier,17,139,8.2,43,1,1,1,1,-3,-3.0,0,0,1,22.6,22.6,48.2%,ATL,15,2022
9,AJ Dillon,11,36,3.3,8,0,2,3,3,35,11.7,0,0,1,22.1,22.1,1.9%,GB,15,2022
10,Latavius Murray,24,130,5.4,35,2,1,1,1,12,12.0,0,0,1,21.2,21.2,0.0%,FA,15,2022
11,Aaron Jones,17,90,5.3,14,0,0,4,5,36,9.0,1,1,1,20.6,20.6,96.1%,MIN,15,2022
12,James Conner,16,63,3.9,14,0,1,3,5,28,9.3,0,0,1,18.1,18.1,94.4%,ARI,15,2022
13,Raheem Mostert,17,136,8.0,67,1,0,1,2,20,20.0,0,0,1,16.6,16.6,92.7%,MIA,15,2022
14,Marlon Mack,5,37,7.4,17,0,1,4,4,26,6.5,0,0,1,16.3,16.3,0.0%,FA,15,2022
15,Ezekiel Elliott,16,58,3.6,10,0,1,2,2,13,6.5,0,0,1,15.1,15.1,81.8%,DAL,15,2022
16,Austin Ekeler,12,58,4.8,12,0,1,2,3,12,6.0,0,0,1,15.0,15.0,87.4%,WAS,15,2022
17,Tony Pollard,19,75,3.9,21,1,0,4,5,31,7.8,0,0,1,14.6,14.6,90.8%,TEN,15,2022
18,Najee Harris,24,86,3.6,10,0,1,0,0,0,0.0,0,0,1,14.6,14.6,93.3%,PIT,15,2022
19,J.K. Dobbins,13,125,9.6,37,2,0,1,1,3,3.0,0,0,1,13.8,13.8,61.0%,LAC,15,2022
20,Josh Jacobs,22,93,4.2,18,0,0,2,3,17,8.5,0,0,1,13.0,13.0,99.4%,GB,15,2022
21,Cam Akers,12,65,5.4,19,0,0,3,3,35,11.7,0,0,1,13.0,13.0,1.5%,HOU,15,2022
22,Travis Etienne Jr.,19,103,5.4,16,0,0,2,3,24,12.0,0,1,1,12.7,12.7,99.9%,JAC,15,2022
23,D'Andre Swift,8,52,6.5,16,0,0,5,9,23,4.6,0,0,1,12.5,12.5,94.7%,CHI,15,2022
24,Alvin Kamara,21,91,4.3,13,0,0,2,2,13,6.5,0,0,1,12.4,12.4,98.5%,NO,15,2022
25,Cordarrelle Patterson,14,52,3.7,11,0,1,1,3,0,0.0,0,0,1,12.2,12.2,1.7%,PIT,15,2022
26,Kenneth Walker III,12,47,3.9,15,0,0,4,5,32,8.0,0,0,1,11.9,11.9,98.0%,SEA,15,2022
27,James Cook,5,34,6.8,16,0,0,2,3,5,2.5,1,0,1,11.9,11.9,99.1%,BUF,15,2022
28,Jaylen Warren,11,38,3.5,9,0,1,1,1,11,11.0,0,0,1,11.9,11.9,87.9%,PIT,15,2022
29,Brian Robinson Jr.,12,89,7.4,19,0,0,1,1,18,18.0,0,0,1,11.7,11.7,90.8%,WAS,15,2022
30,Leonard Fournette,10,44,4.4,8,0,0,4,4,30,7.5,0,0,1,11.4,11.4,2.1%,FA,15,2022
31,Deon Jackson,13,55,4.2,16,0,0,1,1,1,1.0,1,1,1,10.6,10.6,0.0%,FA,15,2022
32,Joe Mixon,11,21,1.9,5,0,0,5,6,33,6.6,0,0,1,10.4,10.4,99.1%,HOU,15,2022
33,Salvon Ahmed,6,43,7.2,11,0,1,0,0,0,0.0,0,0,1,10.3,10.3,0.0%,FA,15,2022
34,Joshua Kelley,10,24,2.4,4,0,1,1,2,7,7.0,0,0,1,10.1,10.1,0.0%,FA,15,2022
