RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Sam Howell (WAS),39.0,52.0,75.0,397.0,7.6,4.0,1.0,1.0,3.0,11.0,0.0,0.0,1.0,32.0,32.0,75.6%,8.0
2,Josh Allen (BUF),31.0,40.0,77.5,324.0,8.1,2.0,1.0,2.0,7.0,41.0,1.0,0.0,1.0,30.1,30.1,100.0%,8.0
3,Dak Prescott (DAL),25.0,31.0,80.6,304.0,9.8,4.0,1.0,3.0,4.0,19.0,0.0,0.0,1.0,29.1,29.1,96.3%,8.0
4,Joe Burrow (CIN),28.0,32.0,87.5,283.0,8.8,3.0,0.0,3.0,6.0,43.0,0.0,0.0,1.0,27.6,27.6,65.9%,8.0
5,Jalen Hurts (PHI),29.0,38.0,76.3,319.0,8.4,4.0,0.0,2.0,4.0,6.0,0.0,1.0,1.0,27.4,27.4,100.0%,8.0
6,Will Levis (TEN),19.0,29.0,65.5,238.0,8.2,4.0,0.0,2.0,7.0,11.0,0.0,0.0,1.0,26.6,26.6,24.4%,8.0
7,Joshua Dobbs (MIN),25.0,37.0,67.6,208.0,5.6,2.0,2.0,2.0,6.0,26.0,1.0,0.0,1.0,24.9,24.9,67.9%,8.0
8,Justin Herbert (LAC),31.0,40.0,77.5,298.0,7.5,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,24.0,98.8%,8.0
9,Tua Tagovailoa (MIA),30.0,45.0,66.7,324.0,7.2,3.0,1.0,2.0,6.0,8.0,0.0,1.0,1.0,22.8,22.8,96.8%,8.0
10,Baker Mayfield (TB),25.0,42.0,59.5,237.0,5.6,2.0,0.0,3.0,3.0,19.0,0.0,0.0,1.0,21.4,21.4,51.1%,8.0
11,Brock Purdy (SF),22.0,31.0,71.0,365.0,11.8,1.0,2.0,2.0,6.0,57.0,0.0,1.0,1.0,20.3,20.3,86.4%,8.0
12,Kirk Cousins (MIN),23.0,31.0,74.2,274.0,8.8,2.0,0.0,2.0,2.0,9.0,0.0,0.0,1.0,19.9,19.9,23.6%,8.0
13,Derek Carr (NO),19.0,27.0,70.4,310.0,11.5,2.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,18.3,18.3,31.7%,8.0
14,Russell Wilson (DEN),12.0,19.0,63.2,114.0,6.0,3.0,0.0,6.0,8.0,30.0,0.0,1.0,1.0,17.6,17.6,56.2%,8.0
15,Geno Smith (SEA),23.0,37.0,62.2,254.0,6.9,2.0,2.0,1.0,2.0,-3.0,0.0,0.0,1.0,15.9,15.9,65.1%,8.0
16,Gardner Minshew II (IND),23.0,41.0,56.1,213.0,5.2,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,15.8,15.8,10.9%,8.0
17,Trevor Lawrence (JAC),24.0,32.0,75.0,292.0,9.1,1.0,1.0,3.0,1.0,10.0,0.0,0.0,1.0,15.7,15.7,89.5%,8.0
18,Jordan Love (GB),24.0,41.0,58.5,229.0,5.6,1.0,1.0,4.0,4.0,34.0,0.0,0.0,1.0,15.6,15.6,48.7%,8.0
19,Bryce Young (CAR),22.0,31.0,71.0,235.0,7.6,1.0,0.0,6.0,4.0,11.0,0.0,0.0,1.0,14.5,14.5,13.3%,8.0
20,Jared Goff (DET),26.0,37.0,70.3,272.0,7.4,1.0,1.0,0.0,2.0,-2.0,0.0,0.0,1.0,13.7,13.7,83.7%,8.0
21,Tyson Bagent (CHI),25.0,37.0,67.6,232.0,6.3,0.0,2.0,1.0,4.0,-1.0,1.0,0.0,1.0,13.2,13.2,2.0%,8.0
22,Mac Jones (NE),19.0,29.0,65.5,161.0,5.6,2.0,1.0,3.0,1.0,-2.0,0.0,0.0,1.0,13.2,13.2,5.9%,8.0
23,C.J. Stroud (HOU),16.0,24.0,66.7,140.0,5.8,0.0,0.0,2.0,2.0,13.0,1.0,0.0,1.0,12.9,12.9,93.3%,8.0
24,P.J. Walker (CLE),15.0,31.0,48.4,248.0,8.0,1.0,2.0,3.0,6.0,27.0,0.0,1.0,1.0,12.6,12.6,0.7%,8.0
25,Matthew Stafford (LAR),13.0,22.0,59.1,162.0,7.4,1.0,1.0,1.0,1.0,9.0,0.0,0.0,1.0,12.4,12.4,39.7%,8.0
26,Taylor Heinicke (ATL),12.0,21.0,57.1,175.0,8.3,1.0,0.0,1.0,2.0,14.0,0.0,0.0,1.0,12.4,12.4,6.7%,8.0
27,Zach Wilson (NYJ),17.0,36.0,47.2,240.0,6.7,1.0,0.0,4.0,4.0,25.0,0.0,2.0,1.0,12.1,12.1,5.7%,8.0
28,Lamar Jackson (BAL),18.0,27.0,66.7,157.0,5.8,1.0,0.0,4.0,5.0,17.0,0.0,0.0,1.0,12.0,12.0,99.8%,8.0
29,Mitch Trubisky (PIT),15.0,27.0,55.6,138.0,5.1,1.0,2.0,2.0,3.0,18.0,0.0,0.0,1.0,9.3,9.3,0.2%,8.0
