RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Daniel Jones (NYG),26.0,37.0,70.3,321.0,8.7,2.0,1.0,3.0,9.0,59.0,1.0,0.0,1.0,31.7,31.7,21.4%,2.0
2,Kirk Cousins (MIN),31.0,44.0,70.5,364.0,8.3,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,28.6,28.6,23.6%,2.0
3,Russell Wilson (DEN),18.0,32.0,56.3,308.0,9.6,3.0,1.0,7.0,6.0,56.0,0.0,1.0,1.0,26.9,26.9,56.2%,2.0
4,Jalen Hurts (PHI),18.0,23.0,78.3,193.0,8.4,1.0,1.0,4.0,12.0,35.0,2.0,0.0,1.0,26.2,26.2,100.0%,2.0
5,Joshua Dobbs (MIN),21.0,31.0,67.7,228.0,7.4,1.0,0.0,0.0,3.0,41.0,1.0,0.0,1.0,25.2,25.2,67.9%,2.0
6,Jared Goff (DET),28.0,35.0,80.0,323.0,9.2,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,23.9,23.9,83.7%,2.0
7,Josh Allen (BUF),31.0,37.0,83.8,274.0,7.4,3.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0,23.7,23.7,100.0%,2.0
8,Geno Smith (SEA),32.0,41.0,78.0,328.0,8.0,2.0,0.0,1.0,3.0,20.0,0.0,0.0,1.0,23.1,23.1,65.1%,2.0
9,Lamar Jackson (BAL),24.0,33.0,72.7,237.0,7.2,2.0,0.0,0.0,12.0,54.0,0.0,0.0,1.0,22.9,22.9,99.8%,2.0
10,Desmond Ridder (ATL),19.0,32.0,59.4,237.0,7.4,1.0,1.0,1.0,10.0,39.0,1.0,0.0,1.0,22.4,22.4,4.3%,2.0
11,Justin Herbert (LAC),27.0,41.0,65.9,305.0,7.4,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,22.2,22.2,98.8%,2.0
12,Patrick Mahomes II (KC),29.0,41.0,70.7,305.0,7.4,2.0,1.0,1.0,7.0,30.0,0.0,0.0,1.0,22.2,22.2,100.0%,2.0
13,C.J. Stroud (HOU),30.0,47.0,63.8,384.0,8.2,2.0,0.0,6.0,3.0,1.0,0.0,1.0,1.0,21.5,21.5,93.3%,2.0
14,Sam Howell (WAS),27.0,39.0,69.2,299.0,7.7,2.0,0.0,4.0,2.0,13.0,0.0,0.0,1.0,21.3,21.3,75.6%,2.0
15,Ryan Tannehill (TEN),20.0,24.0,83.3,246.0,10.3,1.0,0.0,5.0,1.0,12.0,1.0,0.0,1.0,21.0,21.0,1.8%,2.0
16,Jordan Love (GB),14.0,25.0,56.0,151.0,6.0,3.0,0.0,1.0,2.0,23.0,0.0,0.0,1.0,20.3,20.3,48.7%,2.0
17,Dak Prescott (DAL),31.0,38.0,81.6,255.0,6.7,2.0,0.0,1.0,6.0,14.0,0.0,0.0,1.0,19.6,19.6,96.3%,2.0
18,Baker Mayfield (TB),26.0,34.0,76.5,317.0,9.3,1.0,0.0,0.0,6.0,17.0,0.0,0.0,1.0,18.4,18.4,51.1%,2.0
19,Anthony Richardson (IND),6.0,10.0,60.0,56.0,5.6,0.0,0.0,0.0,3.0,35.0,2.0,0.0,1.0,17.7,17.7,23.7%,2.0
20,Justin Fields (CHI),16.0,29.0,55.2,211.0,7.3,1.0,2.0,6.0,4.0,3.0,1.0,0.0,1.0,16.7,16.7,87.7%,2.0
21,Joe Burrow (CIN),27.0,41.0,65.9,222.0,5.4,2.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,16.4,16.4,65.9%,2.0
22,Matthew Stafford (LAR),34.0,55.0,61.8,307.0,5.6,1.0,2.0,1.0,4.0,17.0,0.0,0.0,1.0,16.0,16.0,39.7%,2.0
23,Mac Jones (NE),31.0,42.0,73.8,231.0,5.5,1.0,1.0,4.0,5.0,25.0,0.0,0.0,1.0,14.7,14.7,5.9%,2.0
24,Brock Purdy (SF),17.0,25.0,68.0,206.0,8.2,0.0,0.0,1.0,3.0,5.0,1.0,0.0,1.0,14.7,14.7,86.4%,2.0
25,Bryce Young (CAR),22.0,33.0,66.7,153.0,4.6,1.0,0.0,4.0,2.0,34.0,0.0,1.0,1.0,13.5,13.5,13.3%,2.0
26,Tua Tagovailoa (MIA),21.0,30.0,70.0,249.0,8.3,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,13.3,13.3,96.8%,2.0
27,Deshaun Watson (CLE),22.0,40.0,55.0,235.0,5.9,1.0,1.0,6.0,6.0,22.0,0.0,2.0,1.0,12.6,12.6,32.2%,2.0
28,Zach Wilson (NYJ),12.0,27.0,44.4,170.0,6.3,1.0,3.0,3.0,5.0,36.0,0.0,0.0,1.0,11.4,11.4,5.7%,2.0
29,Kenny Pickett (PIT),15.0,30.0,50.0,222.0,7.4,1.0,1.0,2.0,4.0,-6.0,0.0,0.0,1.0,11.3,11.3,15.9%,2.0
30,Gardner Minshew II (IND),19.0,23.0,82.6,171.0,7.4,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,11.1,11.1,10.9%,2.0
