RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,C.J. Stroud (HOU),30.0,42.0,71.4,470.0,11.2,5.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,41.8,41.8,93.3%,9.0
2,Dak Prescott (DAL),29.0,44.0,65.9,374.0,8.5,3.0,0.0,5.0,6.0,14.0,0.0,0.0,1.0,28.4,28.4,96.3%,9.0
3,Jalen Hurts (PHI),17.0,23.0,73.9,207.0,9.0,2.0,0.0,3.0,10.0,36.0,1.0,0.0,1.0,25.9,25.9,100.0%,9.0
4,Josh Allen (BUF),26.0,38.0,68.4,258.0,6.8,1.0,1.0,1.0,8.0,44.0,1.0,0.0,1.0,25.7,25.7,100.0%,9.0
5,Joshua Dobbs (MIN),20.0,30.0,66.7,158.0,5.3,2.0,0.0,3.0,7.0,66.0,1.0,2.0,1.0,24.9,24.9,67.9%,9.0
6,Joe Burrow (CIN),31.0,44.0,70.5,348.0,7.9,2.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,22.3,22.3,65.9%,9.0
7,Deshaun Watson (CLE),19.0,30.0,63.3,219.0,7.3,2.0,0.0,1.0,3.0,22.0,0.0,0.0,1.0,19.0,19.0,32.2%,9.0
8,Baker Mayfield (TB),21.0,30.0,70.0,265.0,8.8,2.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,19.0,19.0,51.1%,9.0
9,Tyson Bagent (CHI),18.0,30.0,60.0,220.0,7.3,2.0,3.0,2.0,8.0,70.0,0.0,1.0,1.0,18.8,18.8,2.0%,9.0
10,Sam Howell (WAS),29.0,45.0,64.4,325.0,7.2,1.0,1.0,3.0,5.0,27.0,0.0,0.0,1.0,18.7,18.7,75.6%,9.0
11,Derek Carr (NO),25.0,34.0,73.5,211.0,6.2,2.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,16.7,16.7,31.7%,9.0
12,Patrick Mahomes II (KC),20.0,30.0,66.7,185.0,6.2,2.0,0.0,2.0,6.0,24.0,0.0,1.0,1.0,15.8,15.8,100.0%,9.0
13,Taylor Heinicke (ATL),21.0,38.0,55.3,268.0,7.1,1.0,1.0,1.0,3.0,20.0,0.0,0.0,1.0,15.7,15.7,6.7%,9.0
14,Jordan Love (GB),20.0,26.0,76.9,228.0,8.8,1.0,0.0,4.0,4.0,7.0,0.0,0.0,1.0,13.8,13.8,48.7%,9.0
15,Tua Tagovailoa (MIA),21.0,34.0,61.8,193.0,5.7,1.0,0.0,3.0,2.0,7.0,0.0,0.0,1.0,12.4,12.4,96.8%,9.0
16,Mac Jones (NE),24.0,44.0,54.5,220.0,5.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,12.1,12.1,5.9%,9.0
17,Bryce Young (CAR),24.0,39.0,61.5,173.0,4.4,1.0,3.0,4.0,5.0,41.0,0.0,0.0,1.0,12.0,12.0,13.3%,9.0
18,Lamar Jackson (BAL),21.0,26.0,80.8,187.0,7.2,0.0,0.0,1.0,10.0,60.0,0.0,1.0,1.0,11.5,11.5,99.8%,9.0
19,Tommy DeVito (NYG),15.0,20.0,75.0,175.0,8.8,1.0,2.0,6.0,4.0,17.0,0.0,0.0,1.0,10.7,10.7,3.2%,9.0
20,Kenny Pickett (PIT),19.0,30.0,63.3,160.0,5.3,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,10.3,10.3,15.9%,9.0
21,Will Levis (TEN),22.0,39.0,56.4,262.0,6.7,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,9.7,9.7,24.4%,9.0
22,Gardner Minshew II (IND),17.0,26.0,65.4,127.0,4.9,1.0,0.0,1.0,5.0,5.0,0.0,0.0,1.0,9.6,9.6,10.9%,9.0
23,Aidan O'Connell (LV),16.0,25.0,64.0,209.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.4,8.4,3.8%,9.0
24,Zach Wilson (NYJ),33.0,49.0,67.3,263.0,5.4,0.0,0.0,8.0,2.0,7.0,0.0,2.0,1.0,7.2,7.2,5.7%,9.0
25,Justin Herbert (LAC),16.0,30.0,53.3,136.0,4.5,0.0,0.0,5.0,3.0,17.0,0.0,0.0,1.0,7.1,7.1,98.8%,9.0
26,Tyler Huntley (BAL),5.0,7.0,71.4,38.0,5.4,1.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,6.3,6.3,0.1%,9.0
27,Jaren Hall (MIN),5.0,6.0,83.3,78.0,13.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,1.0,4.2,4.2,0.8%,9.0
28,Brett Rypien (SEA),13.0,28.0,46.4,130.0,4.6,0.0,1.0,1.0,3.0,19.0,0.0,1.0,1.0,4.1,4.1,0.6%,9.0
29,Geno Smith (SEA),13.0,28.0,46.4,157.0,5.6,0.0,1.0,4.0,2.0,4.0,0.0,1.0,1.0,3.7,3.7,65.1%,9.0
30,Daniel Jones (NYG),4.0,9.0,44.4,25.0,2.8,0.0,0.0,2.0,2.0,9.0,0.0,0.0,1.0,1.9,1.9,21.4%,9.0
31,Clayton Tune (ARI),11.0,20.0,55.0,58.0,2.9,0.0,2.0,7.0,5.0,28.0,0.0,1.0,1.0,1.1,1.1,0.6%,9.0
32,Jake Fromm (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,9.0
