RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Justin Herbert (LAC),40.0,47.0,85.1,405.0,8.6,3.0,0.0,1.0,2.0,11.0,0.0,0.0,1.0,29.3,29.3,98.8%,3.0
2,Tua Tagovailoa (MIA),23.0,26.0,88.5,309.0,11.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.4,28.4,96.8%,3.0
3,Lamar Jackson (BAL),22.0,31.0,71.0,202.0,6.5,0.0,0.0,4.0,14.0,101.0,2.0,1.0,1.0,28.2,28.2,99.8%,3.0
4,Kirk Cousins (MIN),32.0,50.0,64.0,367.0,7.3,3.0,1.0,4.0,1.0,10.0,0.0,0.0,1.0,26.7,26.7,23.6%,3.0
5,Patrick Mahomes II (KC),24.0,33.0,72.7,272.0,8.2,3.0,0.0,0.0,3.0,28.0,0.0,0.0,1.0,25.7,25.7,100.0%,3.0
6,Jordan Love (GB),22.0,44.0,50.0,259.0,5.9,1.0,1.0,1.0,9.0,39.0,1.0,0.0,1.0,25.3,25.3,48.7%,3.0
7,Andy Dalton (CAR),34.0,58.0,58.6,361.0,6.2,2.0,0.0,3.0,2.0,11.0,0.0,0.0,1.0,23.5,23.5,0.1%,3.0
8,Josh Allen (BUF),20.0,32.0,62.5,218.0,6.8,1.0,1.0,0.0,3.0,46.0,1.0,0.0,1.0,22.3,22.3,100.0%,3.0
9,Jalen Hurts (PHI),23.0,37.0,62.2,277.0,7.5,1.0,2.0,1.0,10.0,28.0,1.0,0.0,1.0,21.9,21.9,100.0%,3.0
10,Deshaun Watson (CLE),27.0,33.0,81.8,289.0,8.8,2.0,0.0,3.0,4.0,16.0,0.0,0.0,1.0,21.2,21.2,32.2%,3.0
11,Jimmy Garoppolo (LV),28.0,44.0,63.6,324.0,7.4,2.0,3.0,4.0,2.0,7.0,0.0,0.0,1.0,20.7,20.7,3.6%,3.0
12,C.J. Stroud (HOU),20.0,30.0,66.7,280.0,9.3,2.0,0.0,0.0,3.0,14.0,0.0,0.0,1.0,20.6,20.6,93.3%,3.0
13,Brock Purdy (SF),25.0,37.0,67.6,310.0,8.4,2.0,0.0,2.0,4.0,-1.0,0.0,0.0,1.0,20.3,20.3,86.4%,3.0
14,Jared Goff (DET),22.0,33.0,66.7,243.0,7.4,1.0,1.0,0.0,5.0,3.0,1.0,0.0,1.0,19.0,19.0,83.7%,3.0
15,Kenny Pickett (PIT),16.0,28.0,57.1,235.0,8.4,2.0,0.0,1.0,3.0,11.0,0.0,0.0,1.0,18.5,18.5,15.9%,3.0
16,Joshua Dobbs (MIN),17.0,21.0,81.0,189.0,9.0,1.0,0.0,2.0,6.0,55.0,0.0,0.0,1.0,17.1,17.1,67.9%,3.0
17,Geno Smith (SEA),23.0,36.0,63.9,296.0,8.2,1.0,1.0,2.0,4.0,-4.0,0.0,0.0,1.0,16.4,16.4,65.1%,3.0
18,Trevor Lawrence (JAC),27.0,40.0,67.5,279.0,7.0,1.0,1.0,0.0,3.0,12.0,0.0,0.0,1.0,15.4,15.4,89.5%,3.0
19,Dak Prescott (DAL),25.0,40.0,62.5,249.0,6.2,1.0,1.0,2.0,3.0,24.0,0.0,0.0,1.0,15.4,15.4,96.3%,3.0
20,Russell Wilson (DEN),23.0,38.0,60.5,306.0,8.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.2,15.2,56.2%,3.0
21,Matthew Stafford (LAR),18.0,33.0,54.5,269.0,8.2,1.0,2.0,6.0,1.0,7.0,0.0,0.0,1.0,13.5,13.5,39.7%,3.0
22,Mac Jones (NE),15.0,29.0,51.7,201.0,6.9,1.0,0.0,0.0,4.0,13.0,0.0,0.0,1.0,13.3,13.3,5.9%,3.0
23,Gardner Minshew II (IND),27.0,44.0,61.4,227.0,5.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,13.1,13.1,10.9%,3.0
24,Justin Fields (CHI),11.0,22.0,50.0,99.0,4.5,1.0,1.0,3.0,11.0,47.0,0.0,0.0,1.0,11.7,11.7,87.7%,3.0
25,Baker Mayfield (TB),15.0,25.0,60.0,146.0,5.8,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,11.0,11.0,51.1%,3.0
26,Joe Burrow (CIN),26.0,49.0,53.1,259.0,5.3,0.0,1.0,2.0,3.0,-2.0,0.0,0.0,1.0,9.2,9.2,65.9%,3.0
27,Derek Carr (NO),13.0,18.0,72.2,103.0,5.7,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.1,8.1,31.7%,3.0
28,Mike White (MIA),2.0,2.0,100.0,67.0,33.5,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,6.6,6.6,0.1%,3.0
29,Zach Wilson (NYJ),18.0,36.0,50.0,157.0,4.4,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,6.4,6.4,5.7%,3.0
30,Desmond Ridder (ATL),21.0,38.0,55.3,201.0,5.3,0.0,0.0,7.0,2.0,3.0,0.0,1.0,1.0,6.3,6.3,4.3%,3.0
31,Daniel Jones (NYG),22.0,32.0,68.8,137.0,4.3,0.0,1.0,2.0,2.0,5.0,0.0,0.0,1.0,5.0,5.0,21.4%,3.0
32,Sam Howell (WAS),19.0,29.0,65.5,170.0,5.9,0.0,4.0,9.0,1.0,18.0,0.0,0.0,1.0,4.6,4.6,75.6%,3.0
33,Ryan Tannehill (TEN),13.0,25.0,52.0,104.0,4.2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,1.8%,3.0
34,Jameis Winston (NO),10.0,16.0,62.5,101.0,6.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.7%,3.0
35,C.J. Beathard (JAC),2.0,2.0,100.0,9.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0%,3.0
36,Tyrod Taylor (NYG),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.2,0.2,0.8%,3.0
37,David Blough (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
38,Tyler Huntley (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,3.0
39,Kyle Trask (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,3.0
40,Jake Fromm (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
41,Sam Ehlinger (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
42,Ben DiNucci (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
43,Jacob Eason (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
44,Sean Clifford (GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,3.0
45,Jake Luton (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
46,Kellen Mond (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
47,Shane Buechele (BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
48,Davis Mills (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
49,Feleipe Franks (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
50,Trey Lance (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%,3.0
51,Dorian Thompson-Robinson (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.2%,3.0
52,Aaron Rodgers (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7%,3.0
53,Chris Oladokun (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
54,Jake Haener (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
55,Tanner McKee (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
56,Aidan O'Connell (LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8%,3.0
57,Hendon Hooker (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,3.0
58,Anthony Richardson (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7%,3.0
59,Drew Plitt (CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
60,Tommy DeVito (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2%,3.0
61,Tyson Bagent (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0%,3.0
62,Clayton Tune (ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,3.0
63,Nathan Rourke (JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
64,Cephus Johnson III (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
65,Malik Cunningham (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,3.0
66,Will Levis (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4%,3.0
67,Bryce Young (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3%,3.0
68,Jaren Hall (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8%,3.0
69,Stetson Bennett (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,3.0
70,Bailey Zappe (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,3.0
71,Skylar Thompson (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
72,Max Duggan (LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
73,Malik Willis (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1%,3.0
74,Brett Rypien (SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,3.0
75,Jarrett Stidham (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,3.0
76,Ben Chappell (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
