RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Dak Prescott (DAL),26.0,35.0,74.3,404.0,11.5,4.0,1.0,0.0,2.0,17.0,1.0,0.0,1.0,38.9,38.9,96.3%,10.0
2,Justin Herbert (LAC),27.0,40.0,67.5,323.0,8.1,4.0,1.0,0.0,4.0,15.0,0.0,0.0,1.0,29.4,29.4,98.8%,10.0
3,Joshua Dobbs (MIN),23.0,34.0,67.6,268.0,7.9,1.0,0.0,1.0,8.0,44.0,1.0,0.0,1.0,25.1,25.1,67.9%,10.0
4,Sam Howell (WAS),29.0,44.0,65.9,312.0,7.1,3.0,0.0,3.0,2.0,17.0,0.0,1.0,1.0,24.2,24.2,75.6%,10.0
5,Geno Smith (SEA),31.0,47.0,66.0,369.0,7.9,2.0,0.0,1.0,1.0,13.0,0.0,0.0,1.0,24.1,24.1,65.1%,10.0
6,Brock Purdy (SF),19.0,26.0,73.1,296.0,11.4,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,23.8,23.8,86.4%,10.0
7,Joe Burrow (CIN),27.0,40.0,67.5,347.0,8.7,2.0,2.0,4.0,5.0,20.0,0.0,0.0,1.0,21.9,21.9,65.9%,10.0
8,Jared Goff (DET),23.0,33.0,69.7,333.0,10.1,2.0,0.0,0.0,3.0,-2.0,0.0,0.0,1.0,21.1,21.1,83.7%,10.0
9,C.J. Stroud (HOU),23.0,39.0,59.0,356.0,9.1,1.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,20.0,20.0,93.3%,10.0
10,Baker Mayfield (TB),18.0,29.0,62.1,278.0,9.6,2.0,1.0,3.0,3.0,12.0,0.0,0.0,1.0,19.3,19.3,51.1%,10.0
11,Russell Wilson (DEN),24.0,29.0,82.8,193.0,6.7,2.0,0.0,4.0,9.0,30.0,0.0,0.0,1.0,18.7,18.7,56.2%,10.0
12,Jordan Love (GB),21.0,40.0,52.5,289.0,7.2,2.0,2.0,1.0,2.0,11.0,0.0,0.0,1.0,18.7,18.7,48.7%,10.0
13,Kyler Murray (ARI),19.0,32.0,59.4,249.0,7.8,0.0,1.0,2.0,6.0,33.0,1.0,0.0,1.0,18.3,18.3,73.3%,10.0
14,Deshaun Watson (CLE),20.0,34.0,58.8,213.0,6.3,1.0,1.0,4.0,8.0,37.0,0.0,0.0,1.0,17.2,17.2,32.2%,10.0
15,Josh Allen (BUF),15.0,26.0,57.7,177.0,6.8,1.0,2.0,0.0,4.0,13.0,1.0,1.0,1.0,16.4,16.4,100.0%,10.0
16,Lamar Jackson (BAL),13.0,23.0,56.5,223.0,9.7,1.0,2.0,3.0,8.0,41.0,0.0,0.0,1.0,15.0,15.0,99.8%,10.0
17,Zach Wilson (NYJ),23.0,39.0,59.0,263.0,6.7,0.0,1.0,2.0,4.0,54.0,0.0,0.0,1.0,14.9,14.9,5.7%,10.0
18,Tommy DeVito (NYG),14.0,27.0,51.9,86.0,3.2,2.0,1.0,5.0,7.0,41.0,0.0,0.0,1.0,14.5,14.5,3.2%,10.0
19,Jameis Winston (NO),13.0,25.0,52.0,122.0,4.9,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,10.9,10.9,0.7%,10.0
20,Taylor Heinicke (ATL),8.0,15.0,53.3,55.0,3.7,1.0,0.0,3.0,4.0,34.0,0.0,0.0,1.0,9.6,9.6,6.7%,10.0
21,Aidan O'Connell (LV),16.0,27.0,59.3,153.0,5.7,1.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,9.4,9.4,3.8%,10.0
22,Bryce Young (CAR),21.0,38.0,55.3,185.0,4.9,0.0,0.0,3.0,3.0,18.0,0.0,0.0,1.0,9.2,9.2,13.3%,10.0
23,Desmond Ridder (ATL),4.0,6.0,66.7,39.0,6.5,0.0,0.0,0.0,3.0,11.0,1.0,0.0,1.0,8.7,8.7,4.3%,10.0
24,Mac Jones (NE),15.0,20.0,75.0,170.0,8.5,0.0,1.0,5.0,3.0,25.0,0.0,0.0,1.0,8.3,8.3,5.9%,10.0
25,Tyson Bagent (CHI),20.0,33.0,60.6,162.0,4.9,0.0,0.0,0.0,6.0,12.0,0.0,0.0,1.0,7.7,7.7,2.0%,10.0
26,Will Levis (TEN),19.0,39.0,48.7,199.0,5.1,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,24.4%,10.0
27,Gardner Minshew II (IND),18.0,28.0,64.3,194.0,6.9,0.0,1.0,0.0,2.0,-1.0,0.0,0.0,1.0,6.7,6.7,10.9%,10.0
28,Kenny Pickett (PIT),14.0,23.0,60.9,126.0,5.5,0.0,0.0,1.0,4.0,16.0,0.0,0.0,1.0,6.6,6.6,15.9%,10.0
29,Clayton Tune (ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6.1,6.1,0.6%,10.0
30,Derek Carr (NO),13.0,18.0,72.2,110.0,6.1,0.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,5.4,5.4,31.7%,10.0
31,Trevor Lawrence (JAC),17.0,29.0,58.6,185.0,6.4,0.0,2.0,5.0,2.0,7.0,0.0,1.0,1.0,4.1,4.1,89.5%,10.0
32,Cooper Rush (DAL),7.0,9.0,77.8,68.0,7.6,0.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,2.2,2.2,0.1%,10.0
33,C.J. Beathard (JAC),1.0,2.0,50.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0%,10.0
34,Shane Buechele (BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
35,David Blough (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
36,Jarrett Stidham (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,10.0
37,Sam Ehlinger (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
38,Jake Fromm (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
39,Justin Fields (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7%,10.0
40,Jacob Eason (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
41,Ben DiNucci (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
42,Jalen Hurts (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0%,10.0
43,Sean Clifford (GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,10.0
44,Jake Luton (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
45,Tyler Huntley (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,10.0
46,Kellen Mond (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
47,Feleipe Franks (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
48,Tua Tagovailoa (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8%,10.0
49,Trey Lance (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%,10.0
50,Dorian Thompson-Robinson (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2%,10.0
51,Aaron Rodgers (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7%,10.0
52,Davis Mills (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
53,Jake Haener (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
54,Chris Oladokun (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
55,Tanner McKee (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
56,Drew Plitt (CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
57,Hendon Hooker (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,10.0
58,Anthony Richardson (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7%,10.0
59,Nathan Rourke (JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
60,Cephus Johnson III (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
61,Skylar Thompson (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
62,Malik Cunningham (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,10.0
63,Stetson Bennett (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,10.0
64,Bailey Zappe (NE),3.0,7.0,42.9,25.0,3.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,10.0
65,Malik Willis (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,10.0
66,Jaren Hall (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8%,10.0
67,Max Duggan (LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
68,Jake Browning (CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0%,10.0
69,Brett Rypien (SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,10.0
70,Blaine Gabbert (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,10.0
71,Andy Dalton (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,10.0
72,Tyrod Taylor (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8%,10.0
73,Ben Chappell (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,10.0
