RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Dak Prescott (DAL),21.0,30.0,70.0,272.0,9.1,1.0,0.0,5.0,7.0,40.0,1.0,0.0,1.0,24.9,24.9,96.3%,6.0
2,Jalen Hurts (PHI),28.0,45.0,62.2,280.0,6.2,1.0,3.0,2.0,8.0,47.0,1.0,0.0,1.0,22.9,22.9,100.0%,6.0
3,Tua Tagovailoa (MIA),21.0,31.0,67.7,262.0,8.5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.5,22.5,96.8%,6.0
4,Jared Goff (DET),30.0,44.0,68.2,353.0,8.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,22.4,22.4,83.7%,6.0
5,Justin Herbert (LAC),22.0,37.0,59.5,227.0,6.1,2.0,1.0,1.0,6.0,20.0,0.0,0.0,1.0,20.1,20.1,98.8%,6.0
6,Desmond Ridder (ATL),28.0,47.0,59.6,307.0,6.5,2.0,3.0,3.0,2.0,18.0,0.0,0.0,1.0,19.1,19.1,4.3%,6.0
7,Sam Howell (WAS),14.0,23.0,60.9,151.0,6.6,3.0,0.0,5.0,4.0,3.0,0.0,0.0,1.0,18.3,18.3,75.6%,6.0
8,Patrick Mahomes II (KC),30.0,40.0,75.0,306.0,7.7,1.0,1.0,2.0,6.0,31.0,0.0,0.0,1.0,18.3,18.3,100.0%,6.0
9,Lamar Jackson (BAL),21.0,30.0,70.0,223.0,7.4,1.0,1.0,1.0,13.0,62.0,0.0,0.0,1.0,18.1,18.1,99.8%,6.0
10,Derek Carr (NO),32.0,50.0,64.0,353.0,7.1,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,17.3,17.3,31.7%,6.0
11,Trevor Lawrence (JAC),20.0,30.0,66.7,181.0,6.0,2.0,1.0,3.0,3.0,15.0,0.0,0.0,1.0,15.7,15.7,89.5%,6.0
12,C.J. Stroud (HOU),13.0,27.0,48.1,199.0,7.4,2.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,15.2,15.2,93.3%,6.0
13,Josh Allen (BUF),19.0,30.0,63.3,169.0,5.6,2.0,1.0,0.0,2.0,11.0,0.0,0.0,1.0,14.9,14.9,100.0%,6.0
14,Joe Burrow (CIN),24.0,35.0,68.6,185.0,5.3,2.0,1.0,3.0,2.0,4.0,0.0,0.0,1.0,14.8,14.8,65.9%,6.0
15,Matthew Stafford (LAR),15.0,24.0,62.5,226.0,9.4,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,13.2,13.2,39.7%,6.0
16,Geno Smith (SEA),27.0,41.0,65.9,326.0,8.0,0.0,2.0,4.0,4.0,20.0,0.0,0.0,1.0,13.0,13.0,65.1%,6.0
17,Bryce Young (CAR),23.0,38.0,60.5,217.0,5.7,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,12.7,12.7,13.3%,6.0
18,Gardner Minshew II (IND),33.0,55.0,60.0,329.0,6.0,1.0,3.0,3.0,2.0,4.0,0.0,1.0,1.0,12.6,12.6,10.9%,6.0
19,Joshua Dobbs (MIN),21.0,41.0,51.2,235.0,5.7,0.0,1.0,2.0,7.0,47.0,0.0,1.0,1.0,11.1,11.1,67.9%,6.0
20,Zach Wilson (NYJ),19.0,33.0,57.6,186.0,5.6,0.0,0.0,5.0,4.0,15.0,0.0,0.0,1.0,10.9,10.9,5.7%,6.0
21,Tyrod Taylor (NYG),24.0,36.0,66.7,200.0,5.6,0.0,0.0,3.0,5.0,24.0,0.0,0.0,1.0,10.4,10.4,0.8%,6.0
22,Jimmy Garoppolo (LV),14.0,22.0,63.6,162.0,7.4,1.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,9.9,9.9,3.6%,6.0
23,Russell Wilson (DEN),13.0,22.0,59.1,95.0,4.3,1.0,2.0,4.0,4.0,31.0,0.0,0.0,1.0,8.9,8.9,56.2%,6.0
24,Kirk Cousins (MIN),21.0,31.0,67.7,181.0,5.8,1.0,0.0,2.0,2.0,-5.0,0.0,1.0,1.0,8.7,8.7,23.6%,6.0
25,Brock Purdy (SF),12.0,27.0,44.4,125.0,4.6,1.0,1.0,3.0,3.0,7.0,0.0,0.0,1.0,8.7,8.7,86.4%,6.0
26,Baker Mayfield (TB),19.0,37.0,51.4,206.0,5.6,0.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,7.8,7.8,51.1%,6.0
27,Mac Jones (NE),24.0,33.0,72.7,200.0,6.1,0.0,1.0,3.0,1.0,-1.0,0.0,0.0,1.0,6.9,6.9,5.9%,6.0
28,Tyson Bagent (CHI),10.0,14.0,71.4,83.0,5.9,0.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,6.7,6.7,2.0%,6.0
29,Justin Fields (CHI),6.0,10.0,60.0,58.0,5.8,0.0,1.0,4.0,8.0,46.0,0.0,0.0,1.0,5.9,5.9,87.7%,6.0
30,P.J. Walker (CLE),18.0,34.0,52.9,192.0,5.6,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,5.8,5.8,0.7%,6.0
31,Malik Willis (TEN),4.0,5.0,80.0,74.0,14.8,0.0,0.0,4.0,3.0,17.0,0.0,0.0,1.0,4.7,4.7,0.1%,6.0
32,Brian Hoyer (LV),6.0,10.0,60.0,102.0,10.2,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,1.0,3.8,3.8,0.2%,6.0
33,Ryan Tannehill (TEN),8.0,16.0,50.0,76.0,4.8,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.8%,6.0
34,Kenny Pickett (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9%,6.0
35,Aaron Rodgers (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7%,6.0
36,Jake Luton (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,6.0
