RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Tua Tagovailoa (MIA),28.0,45.0,62.2,466.0,10.4,3.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,28.1,28.1,96.8%,1.0
2,Mac Jones (NE),35.0,54.0,64.8,316.0,5.9,3.0,1.0,2.0,2.0,15.0,0.0,0.0,1.0,25.1,25.1,5.9%,1.0
3,Jordan Love (GB),15.0,27.0,55.6,245.0,9.1,3.0,0.0,1.0,3.0,12.0,0.0,0.0,1.0,23.0,23.0,48.7%,1.0
4,Anthony Richardson (IND),24.0,37.0,64.9,223.0,6.0,1.0,1.0,4.0,10.0,40.0,1.0,0.0,1.0,21.9,21.9,23.7%,1.0
5,Deshaun Watson (CLE),16.0,29.0,55.2,154.0,5.3,1.0,1.0,3.0,5.0,45.0,1.0,0.0,1.0,21.7,21.7,32.2%,1.0
6,Justin Herbert (LAC),23.0,33.0,69.7,229.0,6.9,1.0,0.0,3.0,5.0,17.0,1.0,0.0,1.0,20.9,20.9,98.8%,1.0
7,Patrick Mahomes II (KC),21.0,39.0,53.8,226.0,5.8,2.0,1.0,0.0,6.0,45.0,0.0,0.0,1.0,20.5,20.5,100.0%,1.0
8,Trevor Lawrence (JAC),24.0,32.0,75.0,241.0,7.5,2.0,1.0,2.0,7.0,21.0,0.0,0.0,1.0,18.7,18.7,89.5%,1.0
9,Kirk Cousins (MIN),33.0,44.0,75.0,344.0,7.8,2.0,1.0,2.0,3.0,7.0,0.0,2.0,1.0,17.5,17.5,23.6%,1.0
10,Brock Purdy (SF),19.0,29.0,65.5,220.0,7.6,2.0,0.0,3.0,3.0,20.0,0.0,1.0,1.0,16.8,16.8,86.4%,1.0
11,Sam Howell (WAS),19.0,31.0,61.3,202.0,6.5,1.0,1.0,6.0,2.0,11.0,1.0,1.0,1.0,16.2,16.2,75.6%,1.0
12,Jimmy Garoppolo (LV),20.0,26.0,76.9,200.0,7.7,2.0,1.0,0.0,9.0,11.0,0.0,0.0,1.0,16.1,16.1,3.6%,1.0
13,Baker Mayfield (TB),21.0,34.0,61.8,173.0,5.1,2.0,0.0,1.0,8.0,11.0,0.0,0.0,1.0,16.0,16.0,51.1%,1.0
14,Derek Carr (NO),23.0,33.0,69.7,305.0,9.2,1.0,1.0,4.0,3.0,4.0,0.0,0.0,1.0,15.6,15.6,31.7%,1.0
15,Justin Fields (CHI),24.0,37.0,64.9,216.0,5.8,1.0,1.0,4.0,9.0,59.0,0.0,1.0,1.0,15.5,15.5,87.7%,1.0
16,Russell Wilson (DEN),27.0,34.0,79.4,177.0,5.2,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,15.2,15.2,56.2%,1.0
17,Matthew Stafford (LAR),24.0,38.0,63.2,334.0,8.8,0.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,14.5,14.5,39.7%,1.0
18,Jared Goff (DET),22.0,35.0,62.9,253.0,7.2,1.0,0.0,1.0,5.0,-1.0,0.0,0.0,1.0,14.0,14.0,83.7%,1.0
19,Jalen Hurts (PHI),22.0,33.0,66.7,170.0,5.2,1.0,0.0,3.0,9.0,37.0,0.0,1.0,1.0,12.5,12.5,100.0%,1.0
20,Josh Allen (BUF),29.0,41.0,70.7,236.0,5.8,1.0,3.0,5.0,6.0,36.0,0.0,1.0,1.0,12.0,12.0,100.0%,1.0
21,Kenny Pickett (PIT),31.0,46.0,67.4,232.0,5.0,1.0,2.0,5.0,1.0,4.0,0.0,0.0,1.0,11.7,11.7,15.9%,1.0
22,C.J. Stroud (HOU),28.0,44.0,63.6,242.0,5.5,0.0,0.0,5.0,4.0,20.0,0.0,1.0,1.0,10.7,10.7,93.3%,1.0
23,Bryce Young (CAR),20.0,38.0,52.6,146.0,3.8,1.0,2.0,2.0,3.0,17.0,0.0,0.0,1.0,9.5,9.5,13.3%,1.0
24,Zach Wilson (NYJ),14.0,21.0,66.7,140.0,6.7,1.0,1.0,2.0,4.0,6.0,0.0,0.0,1.0,9.2,9.2,5.7%,1.0
25,Geno Smith (SEA),16.0,26.0,61.5,112.0,4.3,1.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,9.1,9.1,65.1%,1.0
26,Desmond Ridder (ATL),15.0,18.0,83.3,115.0,6.4,1.0,0.0,4.0,1.0,-1.0,0.0,0.0,1.0,8.9,8.9,4.3%,1.0
27,Lamar Jackson (BAL),17.0,22.0,77.3,169.0,7.7,0.0,1.0,4.0,6.0,38.0,0.0,1.0,1.0,7.6,7.6,99.8%,1.0
28,Daniel Jones (NYG),15.0,28.0,53.6,104.0,3.7,0.0,2.0,7.0,13.0,43.0,0.0,0.0,1.0,6.5,6.5,21.4%,1.0
29,Dak Prescott (DAL),13.0,24.0,54.2,143.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.3,6.3,96.3%,1.0
