RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Justin Fields (CHI),15.0,29.0,51.7,282.0,9.7,4.0,0.0,3.0,11.0,57.0,0.0,0.0,1.0,33.0,33.0,87.7%,5.0
2,Josh Allen (BUF),27.0,40.0,67.5,359.0,9.0,2.0,1.0,0.0,4.0,14.0,1.0,0.0,1.0,28.8,28.8,100.0%,5.0
3,Jalen Hurts (PHI),25.0,38.0,65.8,303.0,8.0,1.0,1.0,1.0,15.0,72.0,1.0,0.0,1.0,28.3,28.3,100.0%,5.0
4,Jared Goff (DET),20.0,28.0,71.4,236.0,8.4,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,27.4,27.4,83.7%,5.0
5,Sam Howell (WAS),37.0,51.0,72.5,388.0,7.6,2.0,1.0,5.0,4.0,19.0,0.0,0.0,1.0,26.4,26.4,75.6%,5.0
6,Desmond Ridder (ATL),28.0,37.0,75.7,329.0,8.9,1.0,0.0,0.0,4.0,10.0,1.0,0.0,1.0,26.2,26.2,4.3%,5.0
7,Brock Purdy (SF),17.0,24.0,70.8,252.0,10.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.1,26.1,86.4%,5.0
8,Joe Burrow (CIN),36.0,46.0,78.3,317.0,6.9,3.0,1.0,3.0,4.0,7.0,0.0,0.0,1.0,24.4,24.4,65.9%,5.0
9,Bryce Young (CAR),25.0,41.0,61.0,247.0,6.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,20.3,20.3,13.3%,5.0
10,Kirk Cousins (MIN),29.0,47.0,61.7,284.0,6.0,2.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,19.9,19.9,23.6%,5.0
11,Patrick Mahomes II (KC),31.0,41.0,75.6,281.0,6.9,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,19.2,19.2,100.0%,5.0
