RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Nick Folk (TEN),5.0,5.0,100.0,50.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,18.0,18.0,28.1%,1.0
2,Jake Elliott (PHI),4.0,4.0,100.0,56.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,18.0,18.0,79.7%,1.0
3,Brett Maher (FA),3.0,5.0,60.0,54.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,15.0,15.0,3.1%,1.0
4,Jason Sanders (MIA),3.0,3.0,100.0,45.0,0.0,1.0,0.0,2.0,0.0,3.0,4.0,1.0,14.0,14.0,35.4%,1.0
5,Jake Moody (SF),3.0,3.0,100.0,41.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,14.0,14.0,43.1%,1.0
6,Tyler Bass (BUF),3.0,3.0,100.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,85.5%,1.0
7,Cameron Dicker (LAC),2.0,2.0,100.0,50.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,12.0,12.0,66.4%,1.0
8,Matt Prater (ARI),3.0,3.0,100.0,54.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,12.0,13.2%,1.0
9,Dustin Hopkins (CLE),3.0,3.0,100.0,43.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,12.0,12.0,64.1%,1.0
10,Blake Grupe (NO),3.0,3.0,100.0,52.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,12.0,4.8%,1.0
11,Greg Zuerlein (NYJ),3.0,3.0,100.0,43.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,9.4%,1.0
12,Brandon Aubrey (DAL),2.0,2.0,100.0,38.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,1.0,10.0,10.0,88.8%,1.0
13,Anders Carlson (GB),1.0,1.0,100.0,52.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,10.0,10.0,4.2%,1.0
14,Chase McLaughlin (TB),2.0,2.0,100.0,57.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,3.3%,1.0
15,Ka'imi Fairbairn (HOU),3.0,3.0,100.0,38.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,2.8%,1.0
16,Harrison Butker (KC),2.0,2.0,100.0,39.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,89.3%,1.0
