RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Matt Gay (IND),5.0,5.0,100.0,54.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,24.0,24.0,32.9%,3.0
2,Evan McPherson (CIN),4.0,5.0,80.0,54.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,19.0,19.0,84.9%,3.0
3,Jason Myers (SEA),5.0,5.0,100.0,43.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,1.0,18.0,18.0,59.1%,3.0
4,Chris Boswell (PIT),3.0,3.0,100.0,57.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,15.0,15.0,11.2%,3.0
5,Tyler Bass (BUF),3.0,3.0,100.0,54.0,0.0,0.0,2.0,0.0,1.0,4.0,4.0,1.0,15.0,15.0,85.5%,3.0
6,Ka'imi Fairbairn (HOU),3.0,3.0,100.0,33.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,1.0,13.0,13.0,2.8%,3.0
7,Matt Prater (ARI),3.0,3.0,100.0,62.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.2%,3.0
8,Jake Moody (SF),3.0,3.0,100.0,36.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,12.0,12.0,43.1%,3.0
9,Dustin Hopkins (CLE),2.0,2.0,100.0,52.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,12.0,12.0,64.1%,3.0
10,Harrison Butker (KC),2.0,2.0,100.0,41.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,12.0,12.0,89.3%,3.0
11,Eddy Pineiro (CAR),2.0,3.0,66.7,47.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,11.0,11.0,6.0%,3.0
12,Jake Elliott (PHI),3.0,3.0,100.0,38.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,79.7%,3.0
13,Brett Maher (FA),3.0,3.0,100.0,42.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,3.1%,3.0
14,Brandon Aubrey (DAL),3.0,3.0,100.0,49.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,88.8%,3.0
15,Chad Ryland (NE),2.0,4.0,50.0,51.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,0.4%,3.0
16,Jason Sanders (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,10.0,10.0,35.4%,3.0
17,Graham Gano (NYG),2.0,2.0,100.0,57.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,9.0,13.0%,3.0
18,Wil Lutz (DEN),2.0,2.0,100.0,31.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,7.1%,3.0
19,Riley Patterson (DET),2.0,2.0,100.0,37.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,54.8%,3.0
20,Justin Tucker (BAL),1.0,2.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,98.9%,3.0
21,Younghoe Koo (ATL),2.0,3.0,66.7,48.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,51.0%,3.0
22,Greg Zuerlein (NYJ),1.0,1.0,100.0,52.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,9.4%,3.0
23,Greg Joseph (MIN),1.0,1.0,100.0,23.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,12.8%,3.0
24,Brandon McManus (JAC),1.0,3.0,33.3,33.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,42.5%,3.0
25,Joey Slye (WAS),1.0,1.0,100.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,1.2%,3.0
26,Blake Grupe (NO),1.0,2.0,50.0,25.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,4.8%,3.0
27,Cairo Santos (CHI),1.0,1.0,100.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,6.4%,3.0
28,Daniel Carlson (LV),1.0,1.0,100.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,55.0%,3.0
29,Anders Carlson (GB),1.0,1.0,100.0,38.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.2%,3.0
30,Cameron Dicker (LAC),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,66.4%,3.0
31,Nick Folk (TEN),1.0,1.0,100.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,28.1%,3.0
32,Chase McLaughlin (TB),1.0,1.0,100.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.3%,3.0
33,Matthew Wright (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,3.0
34,Matt Ammendola (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2%,3.0
