RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Justin Tucker (BAL),6.0,6.0,100.0,41.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,19.0,19.0,98.9%,6.0
2,Dustin Hopkins (CLE),4.0,5.0,80.0,50.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,17.0,17.0,64.1%,6.0
3,Harrison Butker (KC),4.0,4.0,100.0,60.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,17.0,17.0,89.3%,6.0
4,Brandon McManus (JAC),3.0,3.0,100.0,51.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,17.0,17.0,42.5%,6.0
5,Brett Maher (FA),4.0,4.0,100.0,43.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,15.0,15.0,3.1%,6.0
6,Greg Zuerlein (NYJ),4.0,4.0,100.0,43.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,14.0,14.0,9.4%,6.0
7,Daniel Carlson (LV),4.0,4.0,100.0,37.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,13.0,13.0,55.0%,6.0
8,Greg Joseph (MIN),2.0,3.0,66.7,53.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,11.0,11.0,12.8%,6.0
9,Matt Prater (ARI),3.0,3.0,100.0,55.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,11.0,11.0,13.2%,6.0
10,Nick Folk (TEN),3.0,3.0,100.0,38.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,28.1%,6.0
11,Graham Gano (NYG),3.0,3.0,100.0,43.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,13.0%,6.0
12,Matt Gay (IND),2.0,2.0,100.0,56.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,32.9%,6.0
13,Blake Grupe (NO),2.0,4.0,50.0,48.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,9.0,9.0,4.8%,6.0
14,Cairo Santos (CHI),2.0,2.0,100.0,53.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,9.0,6.4%,6.0
15,Jason Myers (SEA),2.0,2.0,100.0,55.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,9.0,59.1%,6.0
16,Riley Patterson (DET),2.0,3.0,66.7,36.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,54.8%,6.0
17,Brandon Aubrey (DAL),2.0,2.0,100.0,39.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,88.8%,6.0
18,Ka'imi Fairbairn (HOU),2.0,2.0,100.0,24.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,2.8%,6.0
19,Evan McPherson (CIN),1.0,1.0,100.0,52.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,84.9%,6.0
20,Chad Ryland (NE),1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,0.4%,6.0
