RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Dustin Hopkins (CLE),4.0,4.0,100.0,58.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,22.0,22.0,64.1%,7.0
2,Wil Lutz (DEN),4.0,4.0,100.0,52.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,15.0,15.0,7.1%,7.0
3,Younghoe Koo (ATL),3.0,3.0,100.0,51.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,51.0%,7.0
4,Chad Ryland (NE),3.0,3.0,100.0,49.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,12.0,12.0,0.4%,7.0
5,Greg Joseph (MIN),3.0,4.0,75.0,54.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,12.0,12.0,12.8%,7.0
6,Blake Grupe (NO),3.0,4.0,75.0,42.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,4.8%,7.0
7,Jason Myers (SEA),2.0,2.0,100.0,48.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,59.1%,7.0
8,Matt Gay (IND),1.0,2.0,50.0,27.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,8.0,8.0,32.9%,7.0
9,Chris Boswell (PIT),1.0,1.0,100.0,53.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,8.0,8.0,11.2%,7.0
10,Brandon McManus (JAC),1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,8.0,8.0,42.5%,7.0
11,Justin Tucker (BAL),1.0,1.0,100.0,32.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,8.0,8.0,98.9%,7.0
12,Cairo Santos (CHI),1.0,1.0,100.0,54.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,8.0,8.0,6.4%,7.0
13,Jake Elliott (PHI),1.0,1.0,100.0,24.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,7.0,79.7%,7.0
14,Cameron Dicker (LAC),1.0,1.0,100.0,55.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,66.4%,7.0
15,Daniel Carlson (LV),2.0,3.0,66.7,40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,55.0%,7.0
