RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Jason Myers (SEA),5.0,5.0,100.0,45.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,21.0,21.0,59.1%,10.0
2,Matt Prater (ARI),4.0,4.0,100.0,56.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,18.0,18.0,13.2%,10.0
3,Greg Zuerlein (NYJ),4.0,4.0,100.0,53.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,16.0,16.0,9.4%,10.0
4,Wil Lutz (DEN),4.0,4.0,100.0,49.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,15.0,15.0,7.1%,10.0
5,Dustin Hopkins (CLE),4.0,4.0,100.0,40.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,14.0,14.0,64.1%,10.0
6,Daniel Carlson (LV),3.0,3.0,100.0,54.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,14.0,14.0,55.0%,10.0
7,Chris Boswell (PIT),3.0,3.0,100.0,49.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,13.0,13.0,11.2%,10.0
8,Matt Ammendola (HOU),3.0,3.0,100.0,45.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,13.0,13.0,9.2%,10.0
9,Riley Patterson (DET),2.0,2.0,100.0,41.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,12.0,12.0,54.8%,10.0
10,Cairo Santos (CHI),3.0,3.0,100.0,54.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,12.0,12.0,6.4%,10.0
11,Evan McPherson (CIN),2.0,2.0,100.0,50.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,84.9%,10.0
12,Jake Moody (SF),2.0,2.0,100.0,39.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,10.0,10.0,43.1%,10.0
13,Greg Joseph (MIN),2.0,3.0,66.7,40.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,12.8%,10.0
14,Joey Slye (WAS),2.0,2.0,100.0,49.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,10.0,10.0,1.2%,10.0
15,Cameron Dicker (LAC),1.0,1.0,100.0,48.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,9.0,9.0,66.4%,10.0
16,Chase McLaughlin (TB),2.0,2.0,100.0,35.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,3.3%,10.0
