RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Brandon Aubrey (DAL),5.0,5.0,100.0,55.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,18.0,18.0,88.8%,2.0
2,Jake Moody (SF),3.0,3.0,100.0,57.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,14.0,14.0,43.1%,2.0
3,Brett Maher (FA),3.0,3.0,100.0,48.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,13.0,13.0,3.1%,2.0
4,Eddy Pineiro (CAR),3.0,3.0,100.0,54.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,13.0,13.0,6.0%,2.0
5,Younghoe Koo (ATL),4.0,4.0,100.0,39.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,13.0,13.0,51.0%,2.0
6,Chris Boswell (PIT),2.0,2.0,100.0,52.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,12.0,12.0,11.2%,2.0
7,Jake Elliott (PHI),2.0,3.0,66.7,61.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,12.0,12.0,79.7%,2.0
8,Justin Tucker (BAL),2.0,3.0,66.7,44.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,11.0,11.0,98.9%,2.0
9,Joey Slye (WAS),2.0,4.0,50.0,49.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,11.0,11.0,1.2%,2.0
10,Cameron Dicker (LAC),3.0,3.0,100.0,33.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,66.4%,2.0
11,Nick Folk (TEN),2.0,2.0,100.0,41.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,28.1%,2.0
12,Brandon McManus (JAC),3.0,3.0,100.0,49.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,42.5%,2.0
13,Dustin Hopkins (CLE),2.0,3.0,66.7,55.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,9.0,64.1%,2.0
14,Matt Prater (ARI),2.0,3.0,66.7,44.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,13.2%,2.0
15,Wil Lutz (DEN),2.0,2.0,100.0,32.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,9.0,9.0,7.1%,2.0
16,Chase McLaughlin (TB),2.0,3.0,66.7,26.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,9.0,9.0,3.3%,2.0
17,Matt Gay (IND),1.0,1.0,100.0,42.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,8.0,8.0,32.9%,2.0
18,Ka'imi Fairbairn (HOU),2.0,3.0,66.7,36.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,2.8%,2.0
19,Tyler Bass (BUF),1.0,1.0,100.0,29.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,8.0,8.0,85.5%,2.0
20,Blake Grupe (NO),2.0,2.0,100.0,28.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,4.8%,2.0
21,Riley Patterson (DET),1.0,1.0,100.0,38.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,7.0,7.0,54.8%,2.0
22,Jason Myers (SEA),1.0,3.0,33.3,25.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,7.0,59.1%,2.0
