RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Younghoe Koo (ATL),4.0,4.0,100.0,54.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,19.0,19.0,51.0%,9.0
2,Chase McLaughlin (TB),3.0,3.0,100.0,55.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,16.0,16.0,3.3%,9.0
3,Daniel Carlson (LV),3.0,3.0,100.0,46.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,14.0,14.0,55.0%,9.0
4,Justin Tucker (BAL),3.0,3.0,100.0,45.0,0.0,0.0,2.0,1.0,0.0,4.0,4.0,1.0,14.0,14.0,98.9%,9.0
5,Greg Joseph (MIN),3.0,3.0,100.0,32.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,12.8%,9.0
6,Matt Gay (IND),2.0,2.0,100.0,57.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,32.9%,9.0
7,Nick Folk (TEN),3.0,3.0,100.0,48.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,28.1%,9.0
8,Cameron Dicker (LAC),2.0,2.0,100.0,55.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,66.4%,9.0
9,Dustin Hopkins (CLE),2.0,3.0,66.7,45.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,64.1%,9.0
10,Eddy Pineiro (CAR),2.0,2.0,100.0,49.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,8.0,6.0%,9.0
11,Joey Slye (WAS),2.0,2.0,100.0,37.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,1.2%,9.0
12,Blake Grupe (NO),1.0,2.0,50.0,55.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,8.0,8.0,4.8%,9.0
13,Anders Carlson (GB),2.0,3.0,66.7,34.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,4.2%,9.0
14,Greg Zuerlein (NYJ),2.0,2.0,100.0,47.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,9.4%,9.0
15,Chris Boswell (PIT),2.0,2.0,100.0,30.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,11.2%,9.0
16,Brandon Aubrey (DAL),1.0,1.0,100.0,51.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,88.8%,9.0
17,Evan McPherson (CIN),1.0,1.0,100.0,20.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,84.9%,9.0
18,Chad Ryland (NE),1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,0.4%,9.0
19,Ka'imi Fairbairn (HOU),1.0,1.0,100.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,2.8%,9.0
20,Lucas Havrisik (LAR),1.0,2.0,50.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,1.2%,9.0
21,Cairo Santos (CHI),1.0,2.0,50.0,31.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,6.4%,9.0
22,Tyler Bass (BUF),1.0,1.0,100.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,85.5%,9.0
23,Jake Elliott (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,79.7%,9.0
24,Jason Myers (SEA),1.0,1.0,100.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,59.1%,9.0
