RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Greg Zuerlein (NYJ),5.0,5.0,100.0,49.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,18.0,18.0,9.4%,5.0
2,Cairo Santos (CHI),4.0,4.0,100.0,43.0,0.0,1.0,2.0,1.0,0.0,4.0,4.0,1.0,17.0,17.0,6.4%,5.0
3,Ka'imi Fairbairn (HOU),4.0,4.0,100.0,43.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,15.0,15.0,2.8%,5.0
4,Blake Grupe (NO),2.0,2.0,100.0,54.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,14.0,14.0,4.8%,5.0
5,Graham Gano (NYG),3.0,4.0,75.0,51.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0%,5.0
6,Evan McPherson (CIN),2.0,2.0,100.0,40.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,12.0,12.0,84.9%,5.0
7,Matt Gay (IND),3.0,3.0,100.0,43.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,12.0,12.0,32.9%,5.0
8,Nick Folk (TEN),3.0,3.0,100.0,53.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,12.0,28.1%,5.0
9,Jake Elliott (PHI),3.0,3.0,100.0,34.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,79.7%,5.0
10,Chris Boswell (PIT),3.0,3.0,100.0,43.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,11.0,11.2%,5.0
11,Harrison Butker (KC),2.0,2.0,100.0,40.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,89.3%,5.0
12,Greg Joseph (MIN),2.0,2.0,100.0,40.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,12.8%,5.0
13,Joey Slye (WAS),2.0,3.0,66.7,51.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,8.0,1.2%,5.0
14,Jason Sanders (MIA),1.0,1.0,100.0,40.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,8.0,8.0,35.4%,5.0
15,Younghoe Koo (ATL),2.0,2.0,100.0,37.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,51.0%,5.0
16,Anders Carlson (GB),2.0,2.0,100.0,37.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,4.2%,5.0
17,Wil Lutz (DEN),2.0,2.0,100.0,23.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,7.1%,5.0
18,Eddy Pineiro (CAR),1.0,1.0,100.0,33.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,6.0%,5.0
19,Jake Moody (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,6.0,6.0,43.1%,5.0
20,Brandon McManus (JAC),1.0,1.0,100.0,44.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,42.5%,5.0
21,Riley Patterson (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,6.0,6.0,54.8%,5.0
