RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Jake Elliott (PHI),4.0,4.0,100.0,54.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,18.0,18.0,79.7%,4.0
2,Brett Maher (FA),3.0,5.0,60.0,54.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,16.0,16.0,3.1%,4.0
3,Brandon McManus (JAC),3.0,3.0,100.0,56.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,14.0,14.0,42.5%,4.0
4,Tyler Bass (BUF),2.0,2.0,100.0,53.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,1.0,14.0,14.0,85.5%,4.0
5,Brandon Aubrey (DAL),3.0,3.0,100.0,33.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,12.0,12.0,88.8%,4.0
6,Ka'imi Fairbairn (HOU),3.0,3.0,100.0,39.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,12.0,12.0,2.8%,4.0
7,Nick Folk (TEN),2.0,2.0,100.0,53.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,28.1%,4.0
8,Harrison Butker (KC),3.0,3.0,100.0,37.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,89.3%,4.0
9,Chase McLaughlin (TB),2.0,2.0,100.0,51.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,3.3%,4.0
10,Blake Grupe (NO),3.0,3.0,100.0,44.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,4.8%,4.0
11,Riley Patterson (DET),2.0,2.0,100.0,37.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,10.0,10.0,54.8%,4.0
12,Wil Lutz (DEN),1.0,1.0,100.0,51.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,9.0,9.0,7.1%,4.0
13,Eddy Pineiro (CAR),2.0,2.0,100.0,56.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,9.0,6.0%,4.0
14,Anders Carlson (GB),2.0,2.0,100.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,8.0,4.2%,4.0
15,Joey Slye (WAS),1.0,1.0,100.0,27.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,7.0,1.2%,4.0
16,Chris Boswell (PIT),2.0,2.0,100.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,11.2%,4.0
17,Cameron Dicker (LAC),1.0,1.0,100.0,33.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,66.4%,4.0
18,Jason Myers (SEA),1.0,2.0,50.0,34.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,59.1%,4.0
19,Daniel Carlson (LV),1.0,1.0,100.0,22.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,55.0%,4.0
20,Jake Moody (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,43.1%,4.0
21,Dustin Hopkins (CLE),1.0,1.0,100.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,64.1%,4.0
22,Graham Gano (NYG),1.0,1.0,100.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,13.0%,4.0
23,Matt Prater (ARI),1.0,1.0,100.0,38.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,13.2%,4.0
24,Greg Zuerlein (NYJ),1.0,2.0,50.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,9.4%,4.0
25,Justin Tucker (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,98.9%,4.0
26,Cairo Santos (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,6.4%,4.0
27,Greg Joseph (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,12.8%,4.0
28,Evan McPherson (CIN),1.0,1.0,100.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,84.9%,4.0
29,Chad Ryland (NE),1.0,2.0,50.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.4%,4.0
