Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Lamar Jackson,18,21,85.7,321,15.3,5,0,1,6,35,0,0,1,36.3,36.3,99.9%,BAL,17,2023
2,Jordan Love,24,33,72.7,256,7.8,3,0,0,2,2,1,0,1,28.4,28.4,95.3%,GB,17,2023
3,Justin Fields,20,32,62.5,268,8.4,1,0,3,11,45,1,0,1,25.2,25.2,6.0%,PIT,17,2023
4,Kyler Murray,25,31,80.6,232,7.5,3,1,1,5,24,0,0,1,24.7,24.7,94.7%,ARI,17,2023
5,Joe Flacco,19,29,65.5,309,10.7,3,1,1,2,3,0,0,1,23.7,23.7,0.7%,IND,17,2023
6,Josh Allen,15,30,50.0,169,5.6,0,1,1,11,44,2,0,1,22.2,22.2,100.0%,BUF,17,2023
7,Dak Prescott,26,38,68.4,345,9.1,2,1,3,2,5,0,0,1,21.3,21.3,96.3%,DAL,17,2023
8,Jake Browning,19,33,57.6,197,6.0,1,0,6,7,32,1,0,1,21.1,21.1,0.2%,CIN,17,2023
9,Aidan O'Connell,30,47,63.8,299,6.4,2,0,2,2,3,0,0,1,20.3,20.3,0.8%,LV,17,2023
10,Jalen Hurts,18,23,78.3,167,7.3,3,1,0,8,25,0,0,1,20.2,20.2,99.9%,PHI,17,2023
11,Tyrod Taylor,27,41,65.9,319,7.8,1,1,6,6,40,0,0,1,19.8,19.8,0.2%,NYJ,17,2023
12,Baker Mayfield,22,33,66.7,309,9.4,2,2,2,1,-1,0,0,1,18.3,18.3,31.7%,TB,17,2023
13,Taylor Heinicke,10,29,34.5,163,5.6,1,3,2,4,46,1,0,1,18.1,18.1,0.0%,LAC,17,2023
14,Brock Purdy,22,28,78.6,230,8.2,2,0,0,1,4,0,0,1,17.6,17.6,92.4%,SF,17,2023
15,Geno Smith,23,33,69.7,290,8.8,1,0,1,3,33,0,1,1,16.9,16.9,21.9%,SEA,17,2023
16,Tua Tagovailoa,22,38,57.9,237,6.2,2,2,3,2,14,0,0,1,16.9,16.9,80.1%,MIA,17,2023
17,Derek Carr,24,32,75.0,197,6.2,2,0,1,3,-3,0,0,1,15.6,15.6,7.1%,NO,17,2023
18,Bailey Zappe,16,26,61.5,209,8.0,0,3,3,5,37,1,0,1,15.1,15.1,0.0%,KC,17,2023
19,Trevor Siemian,32,45,71.1,261,5.8,1,1,2,4,13,0,0,1,14.7,14.7,0.0%,FA,17,2023
20,Matthew Stafford,24,34,70.6,317,9.3,1,2,4,1,-1,0,0,1,14.6,14.6,49.9%,LAR,17,2023
