Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Geno Smith,23,41,56.1,334,8.1,3,1,0,2,6,1,0,1,31.0,31.0,21.9%,SEA,13,2023
2,Brock Purdy,19,27,70.4,314,11.6,4,0,2,2,9,0,0,1,29.5,29.5,92.4%,SF,13,2023
3,Dak Prescott,29,41,70.7,299,7.3,3,0,4,7,23,0,0,1,28.3,28.3,96.3%,DAL,13,2023
4,Jake Browning,32,37,86.5,354,9.6,1,0,2,2,22,1,0,1,26.7,26.7,0.2%,CIN,13,2023
5,Trevor Lawrence,22,29,75.9,258,8.9,2,0,2,5,8,1,0,1,25.1,25.1,66.9%,JAC,13,2023
6,Jalen Hurts,26,45,57.8,298,6.6,1,0,3,7,20,1,0,1,23.9,23.9,99.9%,PHI,13,2023
7,Jordan Love,25,36,69.4,267,7.4,3,0,2,2,10,0,0,1,23.7,23.7,95.3%,GB,13,2023
8,Matthew Stafford,22,37,59.5,279,7.5,3,0,0,1,-2,0,0,1,23.0,23.0,49.9%,LAR,13,2023
9,Sam Howell,12,23,52.2,127,5.5,0,1,3,4,21,2,0,1,20.2,20.2,0.7%,SEA,13,2023
10,Tua Tagovailoa,18,24,75.0,280,11.7,2,0,0,0,0,0,0,1,19.2,19.2,80.1%,MIA,13,2023
11,Russell Wilson,15,26,57.7,186,7.2,1,3,3,10,44,1,0,1,18.8,18.8,6.9%,PIT,13,2023
12,Gardner Minshew II,26,42,61.9,312,7.4,2,0,3,3,2,0,1,1,18.7,18.7,3.9%,LV,13,2023
13,Joe Flacco,23,44,52.3,254,5.8,2,1,2,0,0,0,0,1,17.2,17.2,0.7%,IND,13,2023
14,Jared Goff,16,25,64.0,213,8.5,2,0,1,2,-2,0,0,1,16.3,16.3,73.4%,DET,13,2023
15,C.J. Stroud,16,27,59.3,274,10.1,1,0,5,6,11,0,0,1,16.1,16.1,99.3%,HOU,13,2023
16,Patrick Mahomes II,21,33,63.6,210,6.4,1,1,3,4,26,0,0,1,14.0,14.0,99.9%,KC,13,2023
17,Kyler Murray,13,23,56.5,145,6.3,1,0,2,9,20,0,0,1,11.8,11.8,94.7%,ARI,13,2023
18,Will Levis,16,33,48.5,224,6.8,1,0,6,2,5,0,1,1,11.5,11.5,13.7%,TEN,13,2023
19,Baker Mayfield,14,29,48.3,202,7.0,1,1,1,2,-2,0,0,1,10.9,10.9,31.7%,TB,13,2023
20,Derek Carr,17,22,77.3,226,10.3,1,1,2,2,-1,0,1,1,9.9,9.9,7.1%,NO,13,2023
21,Desmond Ridder,12,27,44.4,121,4.5,1,0,3,3,0,0,0,1,8.8,8.8,0.1%,ARI,13,2023
22,Bryce Young,15,31,48.4,178,5.7,0,1,4,0,0,0,0,1,8.1,8.1,10.1%,CAR,13,2023
23,Justin Herbert,22,37,59.5,212,5.7,0,0,0,4,-5,0,0,1,8.0,8.0,65.1%,LAC,13,2023
24,Mitchell Trubisky,11,17,64.7,117,6.9,1,0,0,3,5,0,1,1,7.2,7.2,0.1%,BUF,13,2023
25,Bailey Zappe,13,25,52.0,141,5.6,0,0,5,4,16,0,0,1,7.2,7.2,0.0%,KC,13,2023
26,Tim Boyle,14,25,56.0,148,5.9,0,1,1,1,2,0,0,1,5.1,5.1,0.0%,MIA,13,2023
27,C.J. Beathard,9,10,90.0,63,6.3,0,0,2,1,7,0,0,1,3.2,3.2,0.0%,FA,13,2023
28,Kenny Pickett,7,10,70.0,70,7.0,0,0,0,3,3,0,0,1,3.1,3.1,0.2%,PHI,13,2023
29,Jameis Winston,2,5,40.0,41,8.2,0,0,0,0,0,0,0,1,1.6,1.6,0.6%,CLE,13,2023
30,Trevor Siemian,5,13,38.5,66,5.1,0,0,3,1,8,0,1,1,1.4,1.4,0.0%,FA,13,2023
31,Marcus Mariota,2,3,66.7,16,5.3,0,0,0,2,6,0,0,1,1.2,1.2,0.1%,WAS,13,2023
32,Davis Mills,1,1,100.0,18,18.0,0,0,0,0,0,0,0,1,0.7,0.7,0.1%,HOU,13,2023
33,Mike White,1,1,100.0,3,3.0,0,0,0,0,0,0,0,1,0.1,0.1,0.1%,BUF,13,2023
34,Aaron Rodgers,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,72.2%,NYJ,13,2023
35,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,89.2%,WAS,13,2023
36,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,15.7%,DEN,13,2023
37,Zach Wilson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,DEN,13,2023
38,Justin Fields,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.0%,PIT,13,2023
39,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,13,2023
40,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,13,2023
41,Sean Clifford,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,GB,13,2023
42,Joe Burrow,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.2%,CIN,13,2023
43,Jake Fromm,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,13,2023
44,Tyler Huntley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,13,2023
45,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,13,2023
46,Jake Luton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,13,2023
47,Mac Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,JAC,13,2023
48,Feleipe Franks,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,13,2023
49,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,DAL,13,2023
50,Dorian Thompson-Robinson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CLE,13,2023
51,Malik Cunningham,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,13,2023
52,Michael Pratt,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TB,13,2023
53,Clayton Tune,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ARI,13,2023
54,Tanner Mordecai,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,13,2023
55,Tyson Bagent,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CHI,13,2023
56,Jordan Travis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,NYJ,13,2023
57,Devin Leary,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,13,2023
58,Jake Haener,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,13,2023
59,Tanner McKee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PHI,13,2023
60,Tommy DeVito,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,NYG,13,2023
61,John Rhys Plumlee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,JAC,13,2023
62,Jack Plummer,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,13,2023
63,Jason Bean,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,13,2023
64,Joe Milton III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,NE,13,2023
65,Carter Bradley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,13,2023
66,Austin Reed,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,13,2023
67,Michael Penix Jr.,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.7%,ATL,13,2023
68,Kedon Slovis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,HOU,13,2023
69,J.J. McCarthy,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%,MIN,13,2023
70,Caleb Williams,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,87.6%,CHI,13,2023
71,Adrian Martinez,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,13,2023
72,Drake Maye,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.9%,NE,13,2023
73,Spencer Rattler,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,NO,13,2023
74,Malik Willis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,GB,13,2023
75,Aidan O'Connell,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,LV,13,2023
76,Hendon Hooker,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,DET,13,2023
77,Sam Hartman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,13,2023
78,Anthony Richardson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.3%,IND,13,2023
79,Stetson Bennett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,LAR,13,2023
80,Skylar Thompson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIA,13,2023
81,Andy Dalton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CAR,13,2023
82,Tyrod Taylor,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,NYJ,13,2023
83,Ben Chappell,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,13,2023
84,Adam Froman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,13,2023
85,Hunter Cantwell,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,13,2023
86,Erik Ainge,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,13,2023
87,Kirk Cousins,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,64.2%,ATL,13,2023
88,Case Keenum,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,HOU,13,2023
89,Josh Johnson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,BAL,13,2023
90,Mason Rudolph,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TEN,13,2023
91,Taysom Hill,0,2,0.0,0,0.0,0,0,0,13,59,1,0,1,0.0,0.0,45.9%,NO,13,2023
92,Lamar Jackson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.9%,BAL,13,2023
93,Logan Woodside,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CIN,13,2023
94,Josh Allen,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,100.0%,BUF,13,2023
95,Joshua Dobbs,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,SF,13,2023
96,Deshaun Watson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,38.9%,CLE,13,2023
97,Cooper Rush,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,DAL,13,2023
98,Nick Mullens,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIN,13,2023
99,Jarrett Stidham,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,DEN,13,2023
100,Brett Rypien,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,MIN,13,2023
101,Easton Stick,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAC,13,2023
102,Will Grier,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PHI,13,2023
103,Kyle Allen,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,13,2023
104,Daniel Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,7.4%,NYG,13,2023
105,John Wolford,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,13,2023
106,Drew Lock,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,NYG,13,2023
107,Jimmy Garoppolo,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,LAR,13,2023
108,Brett Smith,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,13,2023
109,Taylor Heinicke,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAC,13,2023
110,Jeff Driskel,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,13,2023
111,Jacoby Brissett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.9%,NE,13,2023
112,Brandon Allen,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,13,2023
113,Carson Wentz,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,KC,13,2023
114,Sam Darnold,0,0,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,6.3%,MIN,13,2023
