Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jared Goff,24,34,70.6,278,8.2,5,0,2,0,0,0,0,1,31.1,31.1,73.4%,DET,15,2023
2,Baker Mayfield,22,28,78.6,381,13.6,4,0,5,2,-2,0,1,1,29.0,29.0,31.7%,TB,15,2023
3,Aidan O'Connell,20,34,58.8,248,7.3,4,0,1,0,0,0,0,1,25.9,25.9,0.8%,LV,15,2023
4,Brock Purdy,16,25,64.0,242,9.7,4,0,0,0,0,0,0,1,25.7,25.7,92.4%,SF,15,2023
5,Jalen Hurts,17,31,54.8,143,4.6,0,2,0,13,82,2,0,1,23.9,23.9,99.9%,PHI,15,2023
6,Gardner Minshew II,18,28,64.3,215,7.7,3,0,3,2,0,0,0,1,20.6,20.6,3.9%,LV,15,2023
7,Derek Carr,23,28,82.1,218,7.8,3,0,1,3,-4,0,0,1,20.3,20.3,7.1%,NO,15,2023
8,Jake Browning,29,42,69.0,324,7.7,2,1,4,4,0,0,0,1,20.0,20.0,0.2%,CIN,15,2023
9,Joe Flacco,28,44,63.6,374,8.5,2,3,4,1,-1,0,0,1,19.9,19.9,0.7%,IND,15,2023
10,Lamar Jackson,14,24,58.3,171,7.1,1,1,3,12,97,0,0,1,19.5,19.5,99.9%,BAL,15,2023
11,Nick Mullens,26,33,78.8,303,9.2,2,2,3,6,10,0,0,1,19.1,19.1,0.1%,MIN,15,2023
12,Matthew Stafford,25,33,75.8,258,7.8,2,0,3,1,2,0,0,1,18.5,18.5,49.9%,LAR,15,2023
13,Easton Stick,23,32,71.9,257,8.0,3,1,3,2,11,0,2,1,18.4,18.4,0.0%,LAC,15,2023
14,Patrick Mahomes II,27,37,73.0,305,8.2,2,2,3,3,-5,0,0,1,17.7,17.7,99.9%,KC,15,2023
15,Jordan Love,29,39,74.4,284,7.3,2,0,2,2,1,0,1,1,17.5,17.5,95.3%,GB,15,2023
16,Russell Wilson,18,32,56.3,223,7.0,1,0,2,7,6,1,1,1,17.5,17.5,6.9%,PIT,15,2023
17,Josh Allen,7,15,46.7,94,6.3,1,0,1,8,24,1,0,1,16.2,16.2,100.0%,BUF,15,2023
18,Will Levis,17,26,65.4,199,7.7,0,1,7,4,25,1,0,1,15.5,15.5,13.7%,TEN,15,2023
19,Kyler Murray,26,39,66.7,211,5.4,1,2,3,6,49,0,0,1,15.3,15.3,94.7%,ARI,15,2023
20,Mitchell Trubisky,16,23,69.6,169,7.3,1,2,3,2,1,1,0,1,14.9,14.9,0.1%,BUF,15,2023
21,Trevor Lawrence,25,43,58.1,264,6.1,1,0,1,4,41,0,2,1,14.7,14.7,66.9%,JAC,15,2023
22,Jacoby Brissett,8,10,80.0,124,12.4,2,0,0,2,9,0,0,1,13.9,13.9,0.9%,NE,15,2023
23,Tua Tagovailoa,21,24,87.5,224,9.3,1,0,3,0,0,0,0,1,13.0,13.0,80.1%,MIA,15,2023
24,Case Keenum,23,36,63.9,229,6.4,1,1,3,2,1,0,0,1,12.3,12.3,0.0%,HOU,15,2023
25,Drew Lock,22,33,66.7,208,6.3,1,0,2,1,-2,0,0,1,12.1,12.1,0.1%,NYG,15,2023
26,Justin Fields,19,40,47.5,166,4.2,1,2,3,7,30,0,0,1,11.6,11.6,6.0%,PIT,15,2023
27,Tommy DeVito,20,34,58.8,177,5.2,0,0,7,4,36,0,0,1,10.7,10.7,0.1%,NYG,15,2023
28,Bailey Zappe,23,31,74.2,180,5.8,1,1,4,1,2,0,0,1,10.4,10.4,0.0%,KC,15,2023
29,Sam Howell,11,26,42.3,102,3.9,1,1,1,3,22,0,0,1,9.3,9.3,0.7%,SEA,15,2023
30,Desmond Ridder,12,20,60.0,152,7.6,1,1,0,5,-2,0,0,1,8.9,8.9,0.1%,ARI,15,2023
31,Bryce Young,18,24,75.0,167,7.0,0,0,3,4,9,0,0,1,7.6,7.6,10.1%,CAR,15,2023
32,Dak Prescott,21,34,61.8,134,3.9,0,1,3,4,27,0,0,1,7.1,7.1,96.3%,DAL,15,2023
33,Sam Darnold,2,3,66.7,20,6.7,0,0,0,2,-2,0,0,1,0.6,0.6,6.3%,MIN,15,2023
34,Tyrod Taylor,2,4,50.0,13,3.3,0,0,0,0,0,0,0,1,0.5,0.5,0.2%,NYJ,15,2023
35,Trevor Siemian,14,26,53.8,110,4.2,0,2,2,0,0,0,1,1,0.4,0.4,0.0%,FA,15,2023
36,Dorian Thompson-Robinson,1,1,100.0,5,5.0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%,CLE,15,2023
37,Mason Rudolph,2,3,66.7,3,1.0,0,0,1,0,0,0,0,1,0.1,0.1,0.1%,TEN,15,2023
38,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,89.2%,WAS,15,2023
39,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,15.7%,DEN,15,2023
40,Kenny Pickett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,PHI,15,2023
41,Davis Mills,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,0.0,0.0,0.1%,HOU,15,2023
42,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,15,2023
43,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,15,2023
44,Sean Clifford,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,GB,15,2023
45,Jake Fromm,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,15,2023
46,Tyler Huntley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,15,2023
47,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,15,2023
48,Jake Luton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,15,2023
49,Feleipe Franks,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,15,2023
50,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,DAL,15,2023
51,Mac Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,JAC,15,2023
52,Aaron Rodgers,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,72.2%,NYJ,15,2023
53,Michael Pratt,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TB,15,2023
54,Clayton Tune,0,0,0.0,0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0%,ARI,15,2023
55,Tanner Mordecai,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,15,2023
56,Tyson Bagent,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CHI,15,2023
57,Jordan Travis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,NYJ,15,2023
58,Devin Leary,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,15,2023
59,Jake Haener,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,15,2023
60,Tanner McKee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PHI,15,2023
61,John Rhys Plumlee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,JAC,15,2023
62,Jack Plummer,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,15,2023
63,Jason Bean,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,15,2023
64,Joe Milton III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,NE,15,2023
65,Carter Bradley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,15,2023
66,Austin Reed,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,15,2023
67,Michael Penix Jr.,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.7%,ATL,15,2023
68,Caleb Williams,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,87.6%,CHI,15,2023
