Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Foyesade Oluokun,12,4,0.0,0,0,0,0,0,1,28.5,28.5,93.6%,JAC,4,2022
2,Frankie Luvu,6,5,0.0,1,1,0,0,1,1,27.8,27.8,21.0%,WAS,4,2022
3,Rashan Gary,4,3,2.0,0,0,1,1,0,1,26.8,26.8,4.5%,GB,4,2022
4,Tae Crowder,7,4,1.0,0,0,1,0,0,1,24.0,24.0,0.0%,FA,4,2022
5,Matt Milano,11,2,0.0,0,0,0,0,0,1,23.0,23.0,2.7%,BUF,4,2022
6,Dre Greenlaw,12,3,0.0,0,0,0,0,0,1,22.8,22.8,4.3%,SF,4,2022
7,Samson Ebukam,3,1,2.0,0,0,1,0,0,1,19.8,19.8,0.7%,IND,4,2022
8,Josey Jewell,7,7,0.0,0,0,0,0,0,1,18.3,18.3,4.9%,CAR,4,2022
9,Devin White,8,3,0.0,1,0,0,0,0,1,18.3,18.3,7.4%,PHI,4,2022
10,Zaire Franklin,8,7,0.0,0,0,0,0,0,1,17.3,17.3,93.6%,IND,4,2022
11,Demario Davis,5,3,1.0,0,0,0,0,0,1,16.3,16.3,10.9%,NO,4,2022
12,Dennis Gardeck,2,0,1.0,1,1,0,0,0,1,16.0,16.0,0.5%,ARI,4,2022
13,Malcolm Rodriguez,8,2,0.0,0,0,0,0,0,1,16.0,16.0,15.6%,DET,4,2022
14,Jordyn Brooks,5,6,0.0,0,0,0,1,0,1,16.0,16.0,10.8%,MIA,4,2022
15,Tremaine Edmunds,5,4,0.0,0,0,0,0,0,1,15.5,15.5,17.8%,CHI,4,2022
16,Rashaan Evans,5,5,0.0,0,0,0,1,0,1,15.3,15.3,0.1%,FA,4,2022
17,Lavonte David,8,2,0.0,1,0,0,0,0,1,15.0,15.0,54.3%,TB,4,2022
18,Mykal Walker,8,3,0.0,0,0,0,0,0,1,14.3,14.3,0.2%,WAS,4,2022
19,Nick Bolton,6,3,0.0,0,0,0,0,0,1,13.8,13.8,45.7%,KC,4,2022
20,C.J. Mosley,5,6,0.0,1,0,0,0,0,1,13.5,13.5,42.0%,NYJ,4,2022
21,Roquan Smith,8,2,0.0,0,0,0,0,0,1,13.5,13.5,88.7%,BAL,4,2022
22,Devin Lloyd,4,10,0.0,0,0,0,0,0,1,13.5,13.5,18.6%,JAC,4,2022
23,Matt Judon,3,3,1.0,0,0,0,0,0,1,13.3,13.3,12.1%,ATL,4,2022
24,Pete Werner,8,1,0.0,0,0,0,0,0,1,12.8,12.8,1.5%,NO,4,2022
25,Bobby Wagner,7,3,0.0,0,0,0,0,0,1,12.8,12.8,61.2%,WAS,4,2022
26,David Long Jr.,4,3,0.0,1,0,0,0,0,1,12.3,12.3,1.6%,MIA,4,2022
27,Jeremiah Owusu-Koramoah,4,3,0.0,1,0,0,0,0,1,12.3,12.3,15.8%,CLE,4,2022
28,Drue Tranquill,5,6,0.0,0,0,0,0,0,1,12.0,12.0,7.7%,KC,4,2022
29,Denzel Perryman,4,1,0.0,0,0,0,0,0,1,11.8,11.8,3.9%,LAC,4,2022
30,Dylan Cole,5,2,0.0,0,0,0,0,0,1,11.5,11.5,0.0%,FA,4,2022
31,Joe Schobert,4,2,0.0,0,0,1,0,0,1,11.5,11.5,0.0%,FA,4,2022
32,T.J. Edwards,4,2,1.0,0,0,0,0,0,1,11.5,11.5,81.1%,CHI,4,2022
33,Fred Warner,6,3,0.0,0,0,0,0,0,1,11.3,11.3,85.1%,SF,4,2022
34,Germaine Pratt,6,3,0.0,0,0,0,0,0,1,11.3,11.3,5.1%,CIN,4,2022
35,Azeez Ojulari,2,0,1.0,0,0,1,0,0,1,11.0,11.0,0.2%,NYG,4,2022
36,Uchenna Nwosu,1,2,1.0,1,0,0,0,0,1,11.0,11.0,3.4%,SEA,4,2022
37,Logan Wilson,4,3,0.0,0,0,0,0,0,1,10.8,10.8,29.1%,CIN,4,2022
38,Jaylon Smith,5,1,0.0,0,0,0,0,0,1,10.8,10.8,0.0%,FA,4,2022
39,Zaven Collins,6,2,0.0,0,0,0,0,0,1,10.5,10.5,1.2%,ARI,4,2022
40,Myles Jack,5,4,0.0,0,0,0,0,0,1,10.5,10.5,0.1%,FA,4,2022
41,Lorenzo Carter,5,2,0.0,1,0,0,0,0,1,10.5,10.5,0.2%,ATL,4,2022
42,Alex Highsmith,1,3,1.0,0,0,0,0,0,1,10.3,10.3,11.9%,PIT,4,2022
43,Quay Walker,4,2,0.0,0,0,0,0,0,1,10.0,10.0,28.4%,GB,4,2022
44,Alex Anzalone,4,2,0.0,0,0,0,0,0,1,10.0,10.0,24.8%,DET,4,2022
45,Ja'Whaun Bentley,3,7,0.0,0,0,0,0,0,1,9.8,9.8,6.5%,NE,4,2022
46,Cody Barton,4,3,0.0,1,0,0,0,0,1,9.8,9.8,2.8%,DEN,4,2022
47,Jahlani Tavai,5,3,0.0,0,0,0,0,0,1,9.8,9.8,3.4%,NE,4,2022
48,Leighton Vander Esch,5,3,0.0,0,0,0,0,0,1,9.8,9.8,1.1%,FA,4,2022
49,Bobby Okereke,5,3,0.0,0,0,0,0,0,1,9.8,9.8,86.0%,NYG,4,2022
50,Jacob Phillips,6,1,0.0,0,0,0,0,0,1,9.8,9.8,0.1%,FA,4,2022
51,De'Vondre Campbell Sr.,6,1,0.0,0,0,0,0,0,1,9.8,9.8,2.1%,SF,4,2022
52,Kamu Grugier-Hill,6,1,0.0,0,0,0,0,0,1,9.8,9.8,11.7%,MIN,4,2022
53,Jonas Griffith,5,3,0.0,0,0,0,0,0,1,9.8,9.8,0.2%,FA,4,2022
54,Von Miller,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.8%,BUF,4,2022
55,Patrick Queen,4,1,0.0,0,0,0,0,0,1,9.3,9.3,36.8%,PIT,4,2022
56,Cole Holcomb,4,4,0.0,0,0,0,0,0,1,9.0,9.0,1.7%,PIT,4,2022
57,Jerome Baker,5,2,0.0,0,0,0,0,0,1,9.0,9.0,2.8%,SEA,4,2022
58,Khalil Mack,1,1,1.0,0,0,0,0,0,1,8.8,8.8,36.9%,LAC,4,2022
59,Leonard Floyd,3,2,0.0,0,0,0,0,0,1,8.5,8.5,2.1%,SF,4,2022
60,Kenneth Murray Jr.,3,2,0.0,0,0,0,0,0,1,8.5,8.5,6.0%,TEN,4,2022
61,Micah Parsons,4,0,0.0,0,0,0,0,0,1,8.5,8.5,73.0%,DAL,4,2022
62,Eric Kendricks,3,5,0.0,0,0,0,0,0,1,8.3,8.3,11.7%,DAL,4,2022
63,Shaq Thompson,3,5,0.0,0,0,0,0,0,1,8.3,8.3,7.4%,CAR,4,2022
