Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jack Sanborn,9,3,2.0,0,0,0,0,0,1,28.8,28.8,0.6%,CHI,10,2022
2,Frankie Luvu,8,4,2.0,0,0,0,0,0,1,28.0,28.0,21.0%,WAS,10,2022
3,Devin White,8,1,2.0,0,0,1,0,0,1,27.3,27.3,7.4%,PHI,10,2022
4,Jordyn Brooks,11,5,0.0,1,0,0,0,0,1,24.3,24.3,10.8%,MIA,10,2022
5,Eric Kendricks,7,3,0.0,0,0,0,1,1,1,22.8,22.8,11.7%,DAL,10,2022
6,Alex Highsmith,3,2,2.0,0,0,1,0,0,1,20.5,20.5,11.9%,PIT,10,2022
7,Shaq Thompson,5,3,0.0,1,0,0,0,0,1,18.8,18.8,7.4%,CAR,10,2022
8,Willie Gay Jr.,6,2,1.0,1,0,0,0,0,1,18.5,18.5,1.2%,NO,10,2022
9,Cody Barton,7,2,0.0,1,1,0,0,0,1,18.5,18.5,2.8%,DEN,10,2022
10,Kaden Elliss,3,4,1.0,0,0,1,0,0,1,18.0,18.0,6.0%,ATL,10,2022
11,Alex Anzalone,6,4,0.0,1,0,1,0,0,1,17.5,17.5,24.8%,DET,10,2022
12,Rashaan Evans,6,4,0.0,0,0,0,0,0,1,17.0,17.0,0.1%,FA,10,2022
13,Marquis Haynes Sr.,2,1,2.0,0,0,0,0,0,1,16.8,16.8,0.0%,FA,10,2022
14,Nicholas Morrow,6,0,0.0,0,0,0,0,0,1,16.5,16.5,4.0%,BUF,10,2022
15,Drue Tranquill,7,8,0.0,0,0,0,0,0,1,16.5,16.5,7.7%,KC,10,2022
16,Sione Takitaki,8,2,0.0,0,0,0,0,0,1,16.0,16.0,0.3%,NE,10,2022
17,Bobby Wagner,3,6,1.0,0,0,0,0,0,1,15.5,15.5,61.2%,WAS,10,2022
18,Zaire Franklin,7,3,0.0,0,0,0,0,0,1,15.3,15.3,93.6%,IND,10,2022
19,Dylan Cole,4,0,1.0,0,0,0,0,0,1,15.0,15.0,0.0%,FA,10,2022
20,Ogbo Okoronkwo,6,1,0.0,0,0,0,0,0,1,14.8,14.8,0.2%,CLE,10,2022
21,Jamin Davis,5,4,0.0,0,0,0,1,0,1,14.5,14.5,1.1%,WAS,10,2022
22,Jordan Willis,3,1,1.0,0,0,0,0,0,1,14.3,14.3,1.0%,FA,10,2022
23,Isaiah McDuffie,7,5,0.0,0,0,0,0,0,1,14.3,14.3,0.8%,GB,10,2022
24,Khalil Mack,3,1,1.0,0,0,0,0,0,1,14.3,14.3,36.9%,LAC,10,2022
25,Isaiah Simmons,6,1,0.0,1,0,0,0,0,1,13.8,13.8,5.6%,NYG,10,2022
26,Quay Walker,4,4,0.0,1,0,0,0,0,1,13.0,13.0,28.4%,GB,10,2022
27,Jayon Brown,4,4,0.0,0,0,0,1,0,1,13.0,13.0,2.0%,FA,10,2022
28,Bobby Okereke,6,3,0.0,1,0,0,0,0,1,12.8,12.8,86.0%,NYG,10,2022
29,Fred Warner,4,3,0.0,3,0,0,0,0,1,12.8,12.8,85.1%,SF,10,2022
30,Jerome Baker,4,3,0.0,1,0,0,0,0,1,12.3,12.3,2.8%,SEA,10,2022
31,Nick Bolton,5,3,0.0,0,0,0,0,0,1,12.3,12.3,45.7%,KC,10,2022
32,T.J. Edwards,4,8,0.0,0,0,0,0,0,1,12.0,12.0,81.1%,CHI,10,2022
33,Ernest Jones IV,6,4,0.0,0,0,0,0,0,1,12.0,12.0,63.1%,TEN,10,2022
34,Matt Milano,3,3,0.0,0,0,0,0,0,1,11.8,11.8,2.7%,BUF,10,2022
35,Micah Parsons,5,2,0.0,0,0,0,0,0,1,11.5,11.5,73.0%,DAL,10,2022
36,Robert Spillane,5,2,0.0,0,0,0,0,0,1,11.5,11.5,23.7%,LV,10,2022
37,Christian Harris,4,5,0.0,1,0,0,0,0,1,11.3,11.3,2.7%,HOU,10,2022
38,Josey Jewell,5,5,0.0,0,0,0,0,0,1,11.3,11.3,4.9%,CAR,10,2022
39,Leonard Floyd,3,0,1.0,0,0,0,0,0,1,11.0,11.0,2.1%,SF,10,2022
40,Monty Rice,4,3,0.0,0,0,0,0,0,1,10.8,10.8,0.1%,ATL,10,2022
41,Demario Davis,3,5,0.0,0,0,0,0,0,1,10.8,10.8,10.9%,NO,10,2022
42,Leighton Vander Esch,4,3,0.0,0,0,0,0,0,1,10.8,10.8,1.1%,FA,10,2022
43,Foyesade Oluokun,7,0,0.0,0,0,0,0,0,1,10.5,10.5,93.6%,JAC,10,2022
44,Kenneth Murray Jr.,2,3,0.0,0,0,0,0,0,1,10.3,10.3,6.0%,TEN,10,2022
45,Christian Kirksey,3,5,0.5,0,0,0,0,0,1,10.3,10.3,0.1%,FA,10,2022
46,Deion Jones,3,5,0.5,0,0,0,0,0,1,10.3,10.3,0.1%,FA,10,2022
47,Za'Darius Smith,1,1,1.0,1,0,0,0,0,1,10.3,10.3,0.8%,CLE,10,2022
48,Casey Toohill,0,0,0.0,0,0,0,1,1,1,10.0,10.0,0.1%,BUF,10,2022
49,Jaylon Smith,3,2,0.0,0,0,0,1,0,1,10.0,10.0,0.0%,FA,10,2022
50,Elandon Roberts,6,1,0.0,0,0,0,0,0,1,9.8,9.8,1.2%,PIT,10,2022
51,Kyzir White,5,3,0.0,0,0,0,0,0,1,9.8,9.8,18.1%,ARI,10,2022
52,Mykal Walker,5,3,0.0,0,0,0,0,0,1,9.8,9.8,0.2%,WAS,10,2022
53,Dre Greenlaw,6,1,0.0,0,0,0,0,0,1,9.8,9.8,4.3%,SF,10,2022
54,Blake Cashman,2,0,1.0,0,0,0,0,0,1,9.5,9.5,5.1%,MIN,10,2022
55,Joe Tryon-Shoyinka,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.2%,TB,10,2022
56,Leo Chenal,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.9%,KC,10,2022
57,Von Miller,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.8%,BUF,10,2022
58,Zaven Collins,3,0,0.0,1,0,0,0,0,1,8.5,8.5,1.2%,ARI,10,2022
59,Luke Masterson,2,4,0.0,0,0,0,0,0,1,8.5,8.5,0.2%,LV,10,2022
60,Jordan Kunaszyk,4,1,0.0,1,0,0,0,0,1,8.3,8.3,0.0%,MIN,10,2022
61,Alex Singleton,4,3,0.0,0,0,0,0,0,1,8.3,8.3,72.8%,DEN,10,2022
62,Jacob Martin,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.0%,CHI,10,2022
63,Lorenzo Carter,2,3,0.0,0,0,0,0,0,1,7.8,7.8,0.2%,ATL,10,2022
64,Devin Lloyd,2,1,0.0,0,0,0,1,0,1,7.8,7.8,18.6%,JAC,10,2022
65,Lavonte David,3,4,0.0,0,0,0,0,0,1,7.5,7.5,54.3%,TB,10,2022
66,Chad Muma,4,2,0.0,0,0,0,0,0,1,7.5,7.5,0.2%,JAC,10,2022
67,David Long Jr.,3,4,0.0,0,0,0,0,0,1,7.5,7.5,1.6%,MIA,10,2022
68,Ben Niemann,3,3,0.0,0,0,0,0,0,1,6.8,6.8,0.0%,DET,10,2022
69,Jordan Hicks,3,0,0.0,1,0,0,0,0,1,6.0,6.0,9.4%,CLE,10,2022
70,Tremaine Edmunds,1,2,0.0,2,0,0,0,0,1,6.0,6.0,17.8%,CHI,10,2022
71,Joe Thomas,2,0,0.0,2,0,0,0,0,1,6.0,6.0,1.0%,FA,10,2022
72,Andrew Van Ginkel,2,3,0.0,0,0,0,0,0,1,5.3,5.3,4.3%,MIN,10,2022
73,Jon Bostic,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,10,2022
74,T.J. Watt,2,2,0.0,0,0,0,0,0,1,4.5,4.5,77.7%,PIT,10,2022
75,Bradley Chubb,0,3,0.5,0,0,0,0,0,1,4.3,4.3,3.8%,MIA,10,2022
76,Jarrad Davis,1,1,0.0,1,0,0,0,0,1,3.8,3.8,0.0%,FA,10,2022
77,Devin Bush Jr.,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.4%,CLE,10,2022
78,E.J. Speed,2,1,0.0,0,0,0,0,0,1,3.8,3.8,37.0%,IND,10,2022
79,Azeez Al-Shaair,1,2,0.0,0,0,0,0,0,1,3.0,3.0,40.2%,HOU,10,2022
80,Preston Smith,2,0,0.0,0,0,0,0,0,1,3.0,3.0,1.4%,GB,10,2022
81,Cory Littleton,1,2,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,10,2022
82,Darien Butler,1,2,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,10,2022
83,Robert Quinn,2,0,0.0,0,0,0,0,0,1,3.0,3.0,2.0%,FA,10,2022
84,Tony Fields II,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.1%,CLE,10,2022
85,Duke Riley,1,2,0.0,0,0,0,0,0,1,3.0,3.0,0.3%,MIA,10,2022
86,Zack Baun,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.5%,PHI,10,2022
87,Tyrel Dodson,1,1,0.0,0,0,0,0,0,1,2.3,2.3,16.3%,SEA,10,2022
88,Derrick Barnes,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.7%,DET,10,2022
89,Jake Hansen,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.2%,HOU,10,2022
90,Kyle Van Noy,1,1,0.0,0,0,0,0,0,1,2.3,2.3,2.9%,BAL,10,2022
91,Chandler Jones,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.1%,FA,10,2022
92,Oshane Ximines,0,1,0.0,1,0,0,0,0,1,2.3,2.3,0.0%,NE,10,2022
93,Justin Hollins,0,2,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,10,2022
94,Markus Golden,0,2,0.0,0,0,0,0,0,1,1.5,1.5,0.1%,FA,10,2022
95,Troy Reeder,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.4%,LAR,10,2022
96,Micah McFadden,0,2,0.0,0,0,0,0,0,1,1.5,1.5,2.5%,NYG,10,2022
97,Oren Burks,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.1%,PHI,10,2022
98,Uchenna Nwosu,0,1,0.0,0,0,0,0,0,1,0.8,0.8,3.4%,SEA,10,2022
99,Darius Harris,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,DAL,10,2022
100,Damone Clark,0,1,0.0,0,0,0,0,0,1,0.8,0.8,1.6%,DAL,10,2022
101,Tomon Fox,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,NYG,10,2022
102,Tae Crowder,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,10,2022
103,Troy Andersen,0,1,0.0,0,0,0,0,0,1,0.8,0.8,3.7%,ATL,10,2022
104,Ulysees Gilbert III,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,10,2022
105,Anthony Nelson,0,1,0.0,0,0,0,1,0,1,0.0,0.0,0.1%,TB,10,2022
106,David Long Jr.,3,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
107,Mitchell Fraboni,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,DEN,10,2022
108,Luke Gifford,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,TEN,10,2022
109,Demetrius Flannigan-Fowles,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,SF,10,2022
110,Josh Hines-Allen,3,3,0.0,0,0,0,0,0,1,0.0,0.0,46.7%,JAC,10,2022
111,Sam Eguavoen,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,NYJ,10,2022
112,Brian Burns,2,5,1.0,0,0,0,0,0,1,0.0,0.0,24.4%,NYG,10,2022
113,Derrek Tuszka,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
114,Sam Franklin Jr.,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.6%,CAR,10,2022
115,Michael Hoecht,0,0,0.0,0,0,0,0,0,1,0.0,0.0,2.1%,LAR,10,2022
116,Curtis Bolton,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,NYG,10,2022
117,Julian Okwara,2,1,2.0,0,0,0,0,0,1,0.0,0.0,0.0%,ARI,10,2022
118,Terrell Lewis,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
119,Troy Dye,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,LAC,10,2022
120,Darrell Taylor,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,CHI,10,2022
121,Jacob Phillips,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,10,2022
122,Yetur Gross-Matos,0,3,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,SF,10,2022
123,Jake Gervase,0,0,0.0,0,0,0,0,0,1,0.0,0.0,8.0%,FA,10,2022
124,Trevis Gipson,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,SEA,10,2022
125,Shaq Quarterman,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,LAC,10,2022
126,Cam Brown,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,MIA,10,2022
127,D.J. Wonnum,1,0,0.0,0,0,0,0,0,1,0.0,0.0,1.2%,CAR,10,2022
128,La'Darius Hamilton,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,10,2022
129,Jonathan Garvin,0,1,0.0,1,0,0,0,0,1,0.0,0.0,0.0%,SF,10,2022
130,Carter Coughlin,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,NYG,10,2022
131,Tariq Carpenter,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
132,Caleb Johnson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,JAC,10,2022
133,Patrick Johnson,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,PHI,10,2022
134,Jonathon Cooper,1,2,0.0,0,0,0,0,0,1,0.0,0.0,4.1%,DEN,10,2022
135,Rashad Weaver,1,1,1.5,1,0,1,0,0,1,0.0,0.0,0.1%,HOU,10,2022
136,Adetokunbo Ogundeji,2,2,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,ARI,10,2022
137,Victor Dimukeje,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,ARI,10,2022
138,Jaelan Phillips,0,2,0.5,1,0,0,0,0,1,0.0,0.0,13.4%,MIA,10,2022
139,Boogie Basham Jr.,2,0,1.0,0,0,0,0,0,1,0.0,0.0,0.1%,NYG,10,2022
140,DeAngelo Malone,2,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,ATL,10,2022
141,Nik Bonitto,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.5%,DEN,10,2022
142,Terrel Bernard,0,0,0.0,0,0,0,0,0,1,0.0,0.0,51.1%,BUF,10,2022
143,Brian Asamoah II,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,MIN,10,2022
144,JoJo Domann,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
145,Sterling Weatherford,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
146,Olakunle Fatukasi,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
147,Pat Jones II,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,MIN,10,2022
148,Myjai Sanders,5,0,1.0,1,0,1,0,0,1,0.0,0.0,0.0%,FA,10,2022
149,Nakobe Dean,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.7%,PHI,10,2022
150,Arnold Ebiketie,2,1,0.5,0,0,0,0,0,1,0.0,0.0,0.7%,ATL,10,2022
151,Travon Walker,1,1,0.0,0,0,0,0,0,1,0.0,0.0,7.0%,JAC,10,2022
152,Boye Mafe,1,0,0.0,0,0,0,0,0,1,0.0,0.0,1.6%,SEA,10,2022
153,Kayvon Thibodeaux,2,2,0.0,0,0,0,0,0,1,0.0,0.0,11.4%,NYG,10,2022
154,Kingsley Enagbare,3,2,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,GB,10,2022
155,Nick Bellore,0,0,0.0,0,0,0,0,0,1,0.0,0.0,7.0%,WAS,10,2022
156,Melvin Ingram III,0,2,1.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
157,Bruce Irvin,3,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
158,Jadeveon Clowney,1,0,0.0,0,0,0,0,0,1,0.0,0.0,16.6%,CAR,10,2022
159,Jeremiah Attaochu,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
160,Dawuane Smoot,1,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,BUF,10,2022
161,Tanner Vallejo,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
162,Haason Reddick,4,1,1.0,0,0,0,0,0,1,0.0,0.0,4.7%,NYJ,10,2022
163,Tanoh Kpassagnon,2,1,1.0,0,0,0,0,0,1,0.0,0.0,0.0%,NO,10,2022
164,Samson Ebukam,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.7%,IND,10,2022
165,Jalen Reeves-Maybin,0,0,0.0,0,0,0,0,0,1,0.0,0.0,20.6%,DET,10,2022
166,Tashawn Bower,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
167,Ifeadi Odenigbo,0,1,0.0,0,0,0,0,0,1,0.0,0.0,6.0%,FA,10,2022
168,Reid Ferguson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,BUF,10,2022
169,Luke Rhodes,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,IND,10,2022
170,Jermaine Carter Jr.,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
171,Chris Board,1,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,BAL,10,2022
172,Joe Jones,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
173,Josh Sweat,2,1,1.0,0,0,1,0,0,1,0.0,0.0,4.2%,PHI,10,2022
174,Jason Cabinda,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
175,Marcus Allen,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,10,2022
176,Arden Key,2,0,0.0,0,0,0,0,0,1,0.0,0.0,0.3%,TEN,10,2022
177,Ronnie Harrison Jr.,2,0,0.0,0,0,0,0,0,1,0.0,0.0,3.1%,FA,10,2022
178,Damien Wilson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,10,2022
