Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Calvin Ridley,7,9,103,14.7,34,3,2,1,18,0,0,1,31.1,31.1,94.1%,TEN,11,2023
2,Tyreek Hill,10,11,146,14.6,38,4,1,0,0,0,0,1,30.6,30.6,100.0%,MIA,11,2023
3,Tank Dell,8,10,149,18.6,40,3,1,0,0,0,0,1,28.9,28.9,96.0%,HOU,11,2023
4,Keenan Allen,10,16,116,11.6,38,1,1,0,0,0,0,1,27.6,27.6,93.1%,CHI,11,2023
5,Brandon Aiyuk,5,6,156,31.2,76,2,1,0,0,0,0,1,26.6,26.6,99.4%,SF,11,2023
6,DJ Moore,7,9,96,13.7,39,1,1,0,0,0,0,1,22.6,22.6,98.5%,CHI,11,2023
7,Amon-Ra St. Brown,8,11,77,9.6,16,0,1,0,0,0,0,1,21.7,21.7,100.0%,DET,11,2023
8,Davante Adams,7,13,82,11.7,46,2,1,0,0,0,0,1,21.2,21.2,99.8%,LV,11,2023
9,Khalil Shakir,3,4,115,38.3,81,2,1,0,0,0,0,1,20.5,20.5,52.0%,BUF,11,2023
10,DK Metcalf,5,9,94,18.8,53,2,1,0,0,0,0,1,20.4,20.4,99.1%,SEA,11,2023
11,Jayden Reed,4,6,46,11.5,19,0,0,3,46,1,0,1,19.2,19.2,89.4%,GB,11,2023
12,Puka Nacua,5,7,70,14.0,32,1,1,1,7,0,0,1,18.7,18.7,99.9%,LAR,11,2023
13,Darius Slayton,4,5,82,20.5,40,2,1,0,0,0,0,1,18.2,18.2,2.5%,NYG,11,2023
14,Courtland Sutton,4,5,66,16.5,33,1,1,0,0,0,0,1,16.6,16.6,84.8%,DEN,11,2023
15,CeeDee Lamb,6,9,38,6.3,10,0,1,1,7,0,0,1,16.5,16.5,100.0%,DAL,11,2023
16,Justin Watson,5,11,53,10.6,17,0,1,0,0,0,0,1,16.3,16.3,0.3%,KC,11,2023
17,Romeo Doubs,5,6,53,10.6,24,1,1,0,0,0,0,1,16.3,16.3,46.0%,GB,11,2023
18,DeVonta Smith,6,8,99,16.5,41,2,0,0,0,0,0,1,15.9,15.9,98.0%,PHI,11,2023
19,DeAndre Hopkins,4,5,59,14.8,43,1,1,0,0,0,0,1,15.9,15.9,80.6%,TEN,11,2023
20,Odell Beckham Jr.,4,7,116,29.0,51,3,0,0,0,0,0,1,15.6,15.6,4.8%,MIA,11,2023
21,Adam Thielen,8,11,74,9.3,16,0,0,0,0,0,0,1,15.4,15.4,46.2%,CAR,11,2023
22,Mike Evans,5,12,43,8.6,13,0,1,0,0,0,0,1,15.3,15.3,99.7%,TB,11,2023
23,Greg Dortch,6,8,76,12.7,31,1,0,0,0,0,0,1,13.6,13.6,2.6%,ARI,11,2023
24,Nico Collins,7,11,65,9.3,23,1,0,0,0,0,0,1,13.5,13.5,98.9%,HOU,11,2023
25,Rondale Moore,1,1,48,48.0,48,1,1,2,6,0,0,1,12.4,12.4,0.2%,ATL,11,2023
26,Jameson Williams,2,3,44,22.0,32,1,1,0,0,0,0,1,12.4,12.4,71.1%,DET,11,2023
27,Dontayvion Wicks,3,5,91,30.3,35,3,0,0,0,0,0,1,12.1,12.1,25.1%,GB,11,2023
28,Elijah Moore,6,7,60,10.0,15,0,0,0,0,0,0,1,12.0,12.0,1.4%,CLE,11,2023
29,Jahan Dotson,3,4,23,7.7,12,0,1,0,0,0,0,1,11.3,11.3,14.0%,PHI,11,2023
30,Jerry Jeudy,5,7,58,11.6,19,0,0,0,0,0,0,1,10.8,10.8,57.0%,CLE,11,2023
31,Nelson Agholor,1,1,37,37.0,37,1,1,0,0,0,0,1,10.7,10.7,0.6%,BAL,11,2023
32,Christian Watson,2,4,21,10.5,11,0,1,1,1,0,0,1,10.2,10.2,87.6%,GB,11,2023
33,Tyler Lockett,5,7,51,10.2,13,0,0,0,0,0,0,1,10.1,10.1,67.6%,SEA,11,2023
34,Chris Godwin,6,7,39,6.5,11,0,0,0,0,0,0,1,9.9,9.9,92.8%,TB,11,2023
35,Chris Moore,1,1,49,49.0,49,1,0,1,38,0,0,1,9.7,9.7,0.0%,ARI,11,2023
36,Jaylen Waddle,4,8,55,13.8,19,0,0,0,0,0,0,1,9.5,9.5,97.7%,MIA,11,2023
37,Robert Woods,5,8,44,8.8,17,0,0,0,0,0,0,1,9.4,9.4,0.1%,HOU,11,2023
38,Terry McLaurin,5,7,43,8.6,11,0,0,0,0,0,0,1,9.3,9.3,93.6%,WAS,11,2023
39,Deebo Samuel Sr.,3,4,63,21.0,40,1,0,1,-1,0,0,1,9.2,9.2,99.5%,SF,11,2023
40,Hunter Renfrow,5,5,42,8.4,31,1,0,0,0,0,0,1,9.2,9.2,0.1%,FA,11,2023
41,Ja'Marr Chase,2,7,12,6.0,10,0,1,0,0,0,0,1,9.2,9.2,100.0%,CIN,11,2023
42,Jakobi Meyers,4,5,49,12.3,24,1,0,0,0,0,0,1,8.9,8.9,61.4%,LV,11,2023
43,Rashee Rice,4,5,42,10.5,17,0,0,0,0,0,0,1,8.2,8.2,94.5%,KC,11,2023
44,Rashod Bateman,1,2,10,10.0,10,0,1,0,0,0,0,1,8.0,8.0,10.1%,BAL,11,2023
45,Zay Flowers,3,4,43,14.3,33,1,0,1,7,0,0,1,8.0,8.0,96.3%,BAL,11,2023
46,Christian Kirk,3,6,48,16.0,20,1,0,0,0,0,0,1,7.8,7.8,90.9%,JAC,11,2023
47,George Pickens,4,6,38,9.5,14,0,0,1,-1,0,0,1,7.7,7.7,95.4%,PIT,11,2023
48,Amari Cooper,4,8,34,8.5,11,0,0,0,0,0,0,1,7.4,7.4,95.7%,CLE,11,2023
49,Jordan Addison,3,6,44,14.7,18,0,0,0,0,0,0,1,7.4,7.4,83.3%,MIN,11,2023
50,Brandin Cooks,3,4,42,14.0,22,1,0,0,0,0,0,1,7.2,7.2,30.9%,DAL,11,2023
51,Jaxon Smith-Njigba,3,6,40,13.3,32,1,0,0,0,0,0,1,7.0,7.0,86.7%,SEA,11,2023
52,Trey Palmer,4,6,22,5.5,17,0,0,1,6,0,0,1,6.8,6.8,0.8%,TB,11,2023
53,Wan'Dale Robinson,3,4,35,11.7,21,1,0,1,2,0,0,1,6.7,6.7,7.2%,NYG,11,2023
54,Stefon Diggs,4,8,27,6.8,11,0,0,0,0,0,0,1,6.7,6.7,98.6%,HOU,11,2023
55,Trenton Irwin,3,5,36,12.0,14,0,0,0,0,0,0,1,6.6,6.6,0.1%,CIN,11,2023
56,Brandon Powell,3,4,32,10.7,22,1,0,0,0,0,0,1,6.2,6.2,0.1%,MIN,11,2023
57,Michael Gallup,3,5,31,10.3,19,0,0,0,0,0,0,1,6.1,6.1,0.1%,FA,11,2023
58,Zay Jones,4,4,20,5.0,8,0,0,0,0,0,0,1,6.0,6.0,1.3%,ARI,11,2023
59,Robbie Chosen,2,2,39,19.5,30,1,0,0,0,0,0,1,5.9,5.9,0.0%,MIA,11,2023
60,Austin Trammell,3,6,23,7.7,14,0,0,0,0,0,0,1,5.3,5.3,0.0%,JAC,11,2023
61,Cedrick Wilson Jr.,3,4,23,7.7,12,0,0,0,0,0,0,1,5.3,5.3,0.1%,NO,11,2023
