Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
121,Julio Jones,1,3,0,0.0,0,0,0,0,0,0,0,1,1.0,1.0,0.1%,FA,12,2023
122,Ben Skowronek,1,1,-1,-1.0,0,0,0,0,0,0,0,1,0.9,0.9,0.0%,PIT,12,2023
123,Marquez Valdes-Scantling,1,1,-1,-1.0,0,0,0,0,0,0,0,1,0.9,0.9,0.2%,BUF,12,2023
124,Parris Campbell,1,1,-2,-2.0,0,0,0,0,0,0,0,1,0.8,0.8,0.1%,PHI,12,2023
125,Kyle Philips,1,2,-3,-3.0,0,0,0,0,0,0,0,1,0.7,0.7,0.0%,FA,12,2023
126,Isaiah McKenzie,0,0,0,0.0,0,0,0,1,3,0,0,1,0.3,0.3,0.0%,NYG,12,2023
127,Chris Blair,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,ATL,12,2023
128,Tom Kennedy,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,12,2023
129,D.J. Montgomery,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,IND,12,2023
130,Steven Sims Jr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,HOU,12,2023
131,Malik Taylor,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,12,2023
132,Deonte Harty,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,BAL,12,2023
133,Alex Bachman,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,12,2023
134,Nsimba Webster,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,12,2023
135,Devin Duvernay,0,0,0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.1%,JAC,12,2023
136,James Proche II,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CLE,12,2023
137,Donovan Peoples-Jones,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,DET,12,2023
138,KJ Hamler,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,12,2023
139,Marcus Simms,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SEA,12,2023
140,Gunner Olszewski,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NYG,12,2023
141,Justin Jefferson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,100.0%,MIN,12,2023
142,Tee Higgins,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,95.7%,CIN,12,2023
143,Jalen Reagor,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NE,12,2023
144,Andy Isabella,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2023
145,Cody Thompson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,12,2023
146,Collin Johnson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,12,2023
147,David Sills,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,DEN,12,2023
148,Quinton Bell,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,MIA,12,2023
149,Juwann Winfree,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,12,2023
150,Mecole Hardman Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,KC,12,2023
151,Tyler Johnson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAR,12,2023
152,Miles Boykin,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NYG,12,2023
153,Ashton Dulin,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,12,2023
154,Easop Winston Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SEA,12,2023
155,Dyami Brown,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.8%,WAS,12,2023
156,Anthony Schwartz,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,MIA,12,2023
157,Jaelon Darden,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CLE,12,2023
158,Dan Chisena,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ARI,12,2023
159,Tylan Wallace,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,BAL,12,2023
160,Justyn Ross,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,KC,12,2023
161,Cody White,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SEA,12,2023
162,Quez Watkins,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,PIT,12,2023
163,Trishton Jackson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIN,12,2023
164,Lawrence Cager,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NYG,12,2023
