Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tyler Boyd,9,15,128,14.2,34,2,2,0,0,0,0,1,33.8,33.8,5.3%,TEN,16,2019
2,Michael Thomas,12,17,136,11.3,26,2,1,0,0,0,0,1,31.6,31.6,0.2%,FA,16,2019
3,Julio Jones,10,15,166,16.6,32,3,0,0,0,0,0,1,26.6,26.6,0.1%,FA,16,2019
4,Steven Sims Jr.,6,10,64,10.7,32,1,2,2,9,0,0,1,25.3,25.3,0.0%,HOU,16,2019
5,Tajae Sharpe,5,6,69,13.8,36,1,2,0,0,0,0,1,23.9,23.9,0.0%,FA,16,2019
6,Hunter Renfrow,7,9,107,15.3,56,1,1,0,0,0,0,1,23.7,23.7,0.1%,FA,16,2019
7,Davante Adams,13,16,116,8.9,18,0,0,0,0,0,1,1,22.6,22.6,99.8%,LV,16,2019
8,Diontae Johnson,8,9,81,10.1,29,1,1,0,0,0,0,1,22.1,22.1,90.7%,CAR,16,2019
9,DeVante Parker,5,15,111,22.2,51,2,1,0,0,0,0,1,22.1,22.1,0.1%,FA,16,2019
10,Robert Woods,8,11,117,14.6,29,3,0,2,6,0,0,1,20.3,20.3,0.1%,HOU,16,2019
11,Sterling Shepard,6,6,76,12.7,23,2,1,0,0,0,0,1,19.6,19.6,0.0%,TB,16,2019
12,Kenny Golladay,6,12,66,11.0,35,1,1,0,0,0,0,1,18.6,18.6,4.0%,FA,16,2019
13,DaeSean Hamilton,6,6,65,10.8,20,1,1,0,0,0,0,1,18.5,18.5,0.0%,FA,16,2019
14,Cole Beasley,7,12,108,15.4,28,2,0,0,0,0,0,1,17.8,17.8,0.0%,FA,16,2019
15,Breshad Perriman,7,12,102,14.6,27,1,0,0,0,0,0,1,17.2,17.2,0.0%,FA,16,2019
16,Deebo Samuel Sr.,4,6,31,7.8,18,0,0,3,28,1,0,1,15.9,15.9,99.5%,SF,16,2019
17,Albert Wilson,7,7,79,11.3,35,1,0,1,9,0,0,1,15.8,15.8,0.0%,FA,16,2019
18,Terry McLaurin,7,9,86,12.3,34,1,0,0,0,0,0,1,15.6,15.6,93.6%,WAS,16,2019
