Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,William Fuller V,14,16,217,15.5,44,4,3,0,0,0,0,1,53.7,53.7,0.0%,FA,5,2019
2,Michael Thomas,11,13,182,16.5,42,3,2,0,0,0,0,1,41.2,41.2,0.2%,FA,5,2019
3,Amari Cooper,11,14,226,20.5,53,5,1,0,0,0,0,1,39.6,39.6,95.7%,CLE,5,2019
4,DJ Chark Jr.,8,11,164,20.5,37,4,2,0,0,0,0,1,36.4,36.4,3.6%,LAC,5,2019
5,Adam Thielen,7,8,130,18.6,44,2,2,0,0,0,0,1,32.0,32.0,46.2%,CAR,5,2019
6,Chris Godwin,7,9,125,17.9,26,3,2,0,0,0,0,1,31.5,31.5,92.8%,TB,5,2019
7,Allen Robinson II,7,9,97,13.9,32,1,2,0,0,0,0,1,28.7,28.7,0.1%,DET,5,2019
8,Tyler Boyd,10,14,123,12.3,42,2,1,0,0,0,0,1,28.3,28.3,5.3%,TEN,5,2019
9,Cooper Kupp,9,17,117,13.0,26,2,1,0,0,0,0,1,26.7,26.7,98.6%,LAR,5,2019
10,Julian Edelman,8,9,110,13.8,31,1,1,0,0,0,0,1,25.0,25.0,12.1%,FA,5,2019
11,Michael Gallup,7,14,113,16.1,40,2,1,0,0,0,0,1,24.3,24.3,0.1%,FA,5,2019
12,Byron Pringle,6,8,103,17.2,28,3,1,0,0,0,0,1,22.3,22.3,0.0%,WAS,5,2019
13,Calvin Ridley,5,9,88,17.6,29,2,1,0,0,0,0,1,19.8,19.8,94.1%,TEN,5,2019
14,Courtland Sutton,4,7,92,23.0,70,1,1,0,0,0,0,1,19.2,19.2,84.8%,DEN,5,2019
15,JuJu Smith-Schuster,7,7,75,10.7,35,1,1,0,0,0,1,1,18.5,18.5,1.7%,KC,5,2019
16,Darius Slayton,4,5,62,15.5,35,1,1,0,0,0,0,1,16.2,16.2,2.5%,NYG,5,2019
17,DeAndre Hopkins,7,8,88,12.6,29,2,0,0,0,0,0,1,15.8,15.8,80.6%,TEN,5,2019
18,Mohamed Sanu Sr.,5,5,42,8.4,14,0,1,1,1,0,0,1,15.3,15.3,0.0%,FA,5,2019
19,Dede Westbrook,7,11,82,11.7,30,1,0,0,0,0,0,1,15.2,15.2,0.0%,FA,5,2019
20,DJ Moore,6,8,91,15.2,52,1,0,0,0,0,0,1,15.1,15.1,98.5%,CHI,5,2019
21,Steven Sims Jr.,2,3,1,0.5,5,0,0,1,65,1,0,1,14.6,14.6,0.0%,HOU,5,2019
22,Tyler Lockett,4,4,51,12.8,17,0,1,1,-8,0,0,1,14.3,14.3,67.6%,SEA,5,2019
23,Mike Williams,6,13,74,12.3,20,1,0,0,0,0,0,1,13.4,13.4,57.9%,NYJ,5,2019
24,Duke Williams,4,4,29,7.3,11,0,1,0,0,0,0,1,12.9,12.9,0.0%,FA,5,2019
25,John Brown,5,5,75,15.0,21,1,0,0,0,0,0,1,12.5,12.5,0.0%,FA,5,2019
26,DK Metcalf,2,3,44,22.0,40,1,1,0,0,0,0,1,12.4,12.4,99.1%,SEA,5,2019
27,Larry Fitzgerald,6,8,58,9.7,17,0,0,0,0,0,0,1,11.8,11.8,0.2%,FA,5,2019
28,Auden Tate,3,6,26,8.7,15,0,1,0,0,0,0,1,11.6,11.6,0.0%,FA,5,2019
29,Ted Ginn Jr.,2,2,35,17.5,33,1,1,1,1,0,0,1,11.6,11.6,0.0%,FA,5,2019
30,Jarvis Landry,4,6,75,18.8,25,2,0,0,0,0,0,1,11.5,11.5,14.0%,FA,5,2019
31,Mecole Hardman Jr.,4,6,79,19.8,31,1,0,1,-6,0,0,1,11.3,11.3,0.2%,KC,5,2019
32,Marquise Brown,3,5,22,7.3,11,0,1,0,0,0,0,1,11.2,11.2,76.0%,KC,5,2019
33,Alshon Jeffery,6,8,52,8.7,13,0,0,0,0,0,0,1,11.2,11.2,0.0%,FA,5,2019
34,Josh Gordon,5,8,59,11.8,24,1,0,0,0,0,0,1,10.9,10.9,0.0%,FA,5,2019
35,Keke Coutee,3,4,72,24.0,51,1,0,0,0,0,0,1,10.2,10.2,0.0%,FA,5,2019
36,Robert Woods,5,9,48,9.6,17,0,0,0,0,0,0,1,9.8,9.8,0.1%,HOU,5,2019
37,Sterling Shepard,5,9,49,9.8,18,0,0,1,-2,0,0,1,9.7,9.7,0.0%,TB,5,2019
38,Anthony Miller,4,7,52,13.0,32,1,0,0,0,0,0,1,9.2,9.2,0.0%,BAL,5,2019
39,Willie Snead IV,4,5,51,12.8,23,1,0,0,0,0,0,1,9.1,9.1,0.0%,FA,5,2019
40,Demaryius Thomas,4,9,47,11.8,16,0,0,0,0,0,0,1,8.7,8.7,0.1%,FA,5,2019
41,Marquise Goodwin,3,4,41,13.7,17,0,0,1,15,0,0,1,8.6,8.6,0.0%,FA,5,2019
42,Bisi Johnson,4,4,43,10.8,23,1,0,0,0,0,0,1,8.3,8.3,0.0%,FA,5,2019
43,Randall Cobb,3,6,53,17.7,25,1,0,0,0,0,0,1,8.3,8.3,0.0%,FA,5,2019
44,James Washington,3,6,52,17.3,26,2,0,0,0,0,0,1,8.2,8.2,0.0%,FA,5,2019
45,Terry McLaurin,3,7,51,17.0,22,1,0,0,0,0,0,1,8.1,8.1,93.6%,WAS,5,2019
46,David Moore,1,2,10,10.0,10,0,1,0,0,0,0,1,8.0,8.0,0.1%,CAR,5,2019
47,Vyncint Smith,0,0,0,0.0,0,0,0,1,19,1,0,1,7.9,7.9,0.0%,FA,5,2019
48,Damion Willis,4,4,38,9.5,12,0,0,0,0,0,0,1,7.8,7.8,0.0%,FA,5,2019
49,T.Y. Hilton,4,4,37,9.3,14,0,0,0,0,0,0,1,7.7,7.7,3.0%,FA,5,2019
50,Diontae Johnson,5,8,27,5.4,13,0,0,0,0,0,0,1,7.7,7.7,90.7%,CAR,5,2019
51,Curtis Samuel,3,6,19,6.3,7,0,0,2,25,0,0,1,7.4,7.4,55.7%,BUF,5,2019
52,Stefon Diggs,3,4,44,14.7,20,1,0,0,0,0,0,1,7.4,7.4,98.6%,HOU,5,2019
53,Julio Jones,3,7,42,14.0,20,1,0,0,0,0,0,1,7.2,7.2,0.1%,FA,5,2019
54,Isaiah McKenzie,2,2,52,26.0,46,1,0,0,0,0,0,1,7.2,7.2,0.0%,NYG,5,2019
55,Adam Humphries,4,6,30,7.5,10,0,0,0,0,0,0,1,7.0,7.0,0.0%,FA,5,2019
56,Brandin Cooks,1,3,29,29.0,29,1,0,1,27,0,0,1,6.6,6.6,30.9%,DAL,5,2019
57,Trevor Davis,4,4,42,10.5,21,1,0,0,0,0,1,1,6.2,6.2,0.0%,FA,5,2019
58,Demarcus Robinson,3,6,31,10.3,14,0,0,0,0,0,0,1,6.1,6.1,9.6%,LAR,5,2019
59,Keenan Allen,4,6,18,4.5,10,0,0,0,0,0,0,1,5.8,5.8,93.1%,CHI,5,2019
60,KeeSean Johnson,3,7,22,7.3,9,0,0,1,3,0,0,1,5.5,5.5,0.0%,FA,5,2019
61,Pharoh Cooper,2,2,33,16.5,28,1,0,0,0,0,0,1,5.3,5.3,0.0%,FA,5,2019
62,Cole Beasley,3,4,21,7.0,8,0,0,0,0,0,0,1,5.1,5.1,0.0%,FA,5,2019
63,Odell Beckham Jr.,2,6,27,13.5,20,1,0,2,15,0,1,1,5.0,5.0,4.8%,MIA,5,2019
64,Corey Davis,2,4,28,14.0,23,1,0,0,0,0,0,1,4.8,4.8,0.0%,FA,5,2019
65,Geronimo Allison,2,6,28,14.0,22,1,0,0,0,0,0,1,4.8,4.8,0.0%,FA,5,2019
66,A.J. Brown,2,2,27,13.5,14,0,0,0,0,0,0,1,4.7,4.7,100.0%,PHI,5,2019
67,Kendrick Bourne,2,2,24,12.0,14,0,0,0,0,0,0,1,4.4,4.4,4.6%,NE,5,2019
68,Golden Tate,3,6,13,4.3,5,0,0,0,0,0,0,1,4.3,4.3,0.0%,FA,5,2019
69,Tavon Austin,1,1,13,13.0,13,0,0,1,14,0,0,1,3.7,3.7,0.1%,FA,5,2019
70,Chris Conley,1,3,26,26.0,26,1,0,0,0,0,0,1,3.6,3.6,0.0%,SF,5,2019
71,Jaron Brown,2,4,36,18.0,21,1,0,0,0,0,1,1,3.6,3.6,0.0%,FA,5,2019
72,Paul Richardson Jr.,2,2,14,7.0,8,0,0,0,0,0,0,1,3.4,3.4,0.0%,FA,5,2019
73,Trent Sherfield Sr.,1,3,23,23.0,23,1,0,0,0,0,0,1,3.3,3.3,0.0%,MIN,5,2019
74,Keelan Doss,2,2,11,5.5,7,0,0,0,0,0,0,1,3.1,3.1,0.0%,FA,5,2019
75,Zach Pascal,1,2,8,8.0,8,0,0,1,12,0,0,1,3.0,3.0,0.0%,ARI,5,2019
76,Jamison Crowder,2,3,10,5.0,5,0,0,0,0,0,0,1,3.0,3.0,0.1%,WAS,5,2019
