Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Stephen Hauschka,3,3,100.0,51,0,1,1,0,1,4,4,1,15.0,15.0,0.0%,FA,11,2019
2,Brandon McManus,3,4,75.0,47,0,1,0,2,0,2,2,1,13.0,13.0,0.1%,FA,11,2019
3,Justin Tucker,2,3,66.7,46,0,0,1,1,0,5,5,1,12.0,12.0,99.8%,BAL,11,2019
4,Younghoe Koo,3,4,75.0,38,0,2,1,0,0,2,2,1,11.0,11.0,79.8%,ATL,11,2019
5,Wil Lutz,2,2,100.0,44,0,1,0,1,0,4,4,1,11.0,11.0,1.5%,DEN,11,2019
6,Michael Badgley,3,4,75.0,49,0,2,0,1,0,0,0,1,10.0,10.0,1.1%,DET,11,2019
7,Nick Folk,3,3,100.0,39,0,1,2,0,0,0,0,1,9.0,9.0,2.5%,TEN,11,2019
8,Brett Maher,2,2,100.0,34,0,0,2,0,0,3,3,1,9.0,9.0,0.0%,FA,11,2019
9,Zane Gonzalez,2,2,100.0,43,0,1,0,1,0,2,3,1,9.0,9.0,0.1%,FA,11,2019
10,Harrison Butker,1,1,100.0,41,0,0,0,1,0,3,3,1,7.0,7.0,98.8%,KC,11,2019
11,Adam Vinatieri,1,1,100.0,34,0,0,1,0,0,4,4,1,7.0,7.0,0.2%,FA,11,2019
12,Chase McLaughlin,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,3.7%,TB,11,2019
13,Matt Gay,1,1,100.0,55,0,0,0,0,1,2,2,1,7.0,7.0,30.7%,IND,11,2019
14,Daniel Carlson,1,1,100.0,20,0,1,0,0,0,2,2,1,5.0,5.0,9.8%,LV,11,2019
15,Greg Zuerlein,1,1,100.0,38,0,0,1,0,0,2,2,1,5.0,5.0,52.1%,NYJ,11,2019
16,Randy Bullock,1,2,50.0,40,0,0,0,1,0,1,1,1,5.0,5.0,0.0%,FA,11,2019
17,Jake Elliott,1,1,100.0,42,0,0,0,1,0,1,1,1,5.0,5.0,95.3%,PHI,11,2019
18,Sam Ficken,0,1,0.0,0,0,0,0,0,0,4,5,1,4.0,4.0,0.0%,FA,11,2019
19,Dustin Hopkins,1,2,50.0,44,0,0,0,1,0,0,0,1,4.0,4.0,20.7%,CLE,11,2019
20,Matt Prater,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,3.7%,ARI,11,2019
21,Austin Seibert,0,2,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,FA,11,2019
22,Joey Slye,1,1,100.0,31,0,0,1,0,0,0,0,1,3.0,3.0,0.2%,NE,11,2019
23,Dan Bailey,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,FA,11,2019
24,Jason Sanders,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,49.7%,MIA,11,2019
25,Eddy Pineiro,0,2,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,2.8%,CAR,11,2019
26,Josh Lambo,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,11,2019
27,Chris Boswell,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,4.4%,PIT,11,2019
28,Ka'imi Fairbairn,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,89.8%,HOU,11,2019
29,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,11,2019
30,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,11,2019
