Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Harrison Butker,4,4,100.0,54,0,1,0,2,1,2,2,1,18.0,18.0,98.8%,KC,9,2019
2,Michael Badgley,4,5,80.0,43,0,1,1,2,0,2,2,1,16.0,16.0,1.1%,DET,9,2019
3,Chris Boswell,4,4,100.0,51,0,2,1,0,1,2,2,1,16.0,16.0,4.4%,PIT,9,2019
4,Brett Maher,3,4,75.0,52,0,1,1,0,1,4,4,1,15.0,15.0,0.0%,FA,9,2019
5,Austin Seibert,4,4,100.0,39,0,1,3,0,0,1,1,1,13.0,13.0,0.1%,FA,9,2019
6,Sam Ficken,3,4,75.0,52,0,1,0,1,1,1,1,1,13.0,13.0,0.0%,FA,9,2019
7,Aldrick Rosas,4,4,100.0,29,0,4,0,0,0,0,1,1,12.0,12.0,0.0%,FA,9,2019
8,Matt Gay,2,3,66.7,45,0,0,0,2,0,4,4,1,12.0,12.0,30.7%,IND,9,2019
9,Ka'imi Fairbairn,2,3,66.7,52,0,0,0,1,1,2,3,1,11.0,11.0,89.8%,HOU,9,2019
10,Jake Elliott,3,3,100.0,38,0,2,1,0,0,1,2,1,10.0,10.0,95.3%,PHI,9,2019
11,Dustin Hopkins,3,3,100.0,39,0,1,2,0,0,0,0,1,9.0,9.0,20.7%,CLE,9,2019
12,Jason Myers,2,4,50.0,37,0,1,1,0,0,2,3,1,8.0,8.0,8.8%,SEA,9,2019
13,Nick Folk,2,2,100.0,22,1,1,0,0,0,2,2,1,8.0,8.0,2.5%,TEN,9,2019
14,Daniel Carlson,1,2,50.0,32,0,0,1,0,0,4,4,1,7.0,7.0,9.8%,LV,9,2019
15,Brandon McManus,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,0.1%,FA,9,2019
16,Justin Tucker,1,1,100.0,39,0,0,1,0,0,4,5,1,7.0,7.0,99.8%,BAL,9,2019
17,Stephen Hauschka,1,1,100.0,42,0,0,0,1,0,3,3,1,7.0,7.0,0.0%,FA,9,2019
18,Jason Sanders,1,2,50.0,26,0,1,0,0,0,3,3,1,6.0,6.0,49.7%,MIA,9,2019
19,Joey Slye,1,2,50.0,35,0,0,1,0,0,3,4,1,6.0,6.0,0.2%,NE,9,2019
20,Matt Prater,1,1,100.0,23,0,1,0,0,0,3,3,1,6.0,6.0,3.7%,ARI,9,2019
21,Zane Gonzalez,1,1,100.0,36,0,0,1,0,0,2,2,1,5.0,5.0,0.1%,FA,9,2019
22,Mason Crosby,1,1,100.0,54,0,0,0,0,1,0,0,1,5.0,5.0,0.1%,FA,9,2019
23,Dan Bailey,1,1,100.0,29,0,1,0,0,0,2,3,1,5.0,5.0,0.0%,FA,9,2019
24,Robbie Gould,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,9,2019
25,Adam Vinatieri,1,2,50.0,25,0,1,0,0,0,1,2,1,4.0,4.0,0.2%,FA,9,2019
26,Josh Lambo,1,1,100.0,30,0,0,1,0,0,0,0,1,3.0,3.0,0.1%,FA,9,2019
27,Ryan Succop,0,3,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,9,2019
28,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,2.8%,CAR,9,2019
29,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,9,2019
30,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,9,2019
