Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ty Long,3,3,100.0,51,0,0,0,2,1,3,3,1,16.0,16.0,0.7%,FA,4,2019
2,Matt Prater,3,3,100.0,53,0,1,0,1,1,3,3,1,15.0,15.0,3.7%,ARI,4,2019
3,Matt Gay,2,2,100.0,58,0,1,0,0,1,7,7,1,15.0,15.0,30.7%,IND,4,2019
4,Josh Lambo,4,4,100.0,40,0,1,2,1,0,2,2,1,15.0,15.0,0.1%,FA,4,2019
5,Wil Lutz,4,4,100.0,42,1,1,0,2,0,0,0,1,14.0,14.0,1.5%,DEN,4,2019
6,Joey Slye,3,3,100.0,55,0,1,0,1,1,1,1,1,13.0,13.0,0.2%,NE,4,2019
7,Greg Zuerlein,2,2,100.0,58,0,0,0,1,1,4,4,1,13.0,13.0,52.1%,NYJ,4,2019
8,Austin Seibert,2,2,100.0,43,0,1,0,1,0,4,4,1,11.0,11.0,0.1%,FA,4,2019
9,Harrison Butker,2,3,66.7,44,0,1,0,1,0,4,4,1,11.0,11.0,98.8%,KC,4,2019
10,Eddy Pineiro,3,3,100.0,38,0,1,2,0,0,1,1,1,10.0,10.0,2.8%,CAR,4,2019
11,Chris Boswell,2,2,100.0,49,0,1,0,1,0,3,3,1,10.0,10.0,4.4%,PIT,4,2019
12,Mason Crosby,2,2,100.0,31,0,0,2,0,0,3,3,1,9.0,9.0,0.1%,FA,4,2019
13,Jason Myers,2,2,100.0,33,0,1,1,0,0,3,3,1,9.0,9.0,8.8%,SEA,4,2019
14,Cairo Santos,1,1,100.0,45,0,0,0,1,0,3,3,1,7.0,7.0,28.4%,CHI,4,2019
15,Daniel Carlson,1,1,100.0,26,0,1,0,0,0,4,4,1,7.0,7.0,9.8%,LV,4,2019
16,Justin Tucker,1,1,100.0,41,0,0,0,1,0,2,2,1,6.0,6.0,99.8%,BAL,4,2019
17,Adam Vinatieri,1,2,50.0,26,0,1,0,0,0,3,3,1,6.0,6.0,0.2%,FA,4,2019
18,Brandon McManus,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,4,2019
19,Aldrick Rosas,1,1,100.0,30,0,0,1,0,0,3,3,1,6.0,6.0,0.0%,FA,4,2019
20,Matt Bryant,1,2,50.0,42,0,0,0,1,0,1,1,1,5.0,5.0,1.1%,FA,4,2019
21,Brett Maher,1,1,100.0,28,0,1,0,0,0,1,1,1,4.0,4.0,0.0%,FA,4,2019
22,Jake Elliott,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,95.3%,PHI,4,2019
23,Zane Gonzalez,1,3,33.3,33,0,0,1,0,0,1,1,1,4.0,4.0,0.1%,FA,4,2019
24,Jason Sanders,1,3,33.3,30,0,0,1,0,0,1,1,1,4.0,4.0,49.7%,MIA,4,2019
25,Ka'imi Fairbairn,1,2,50.0,37,0,0,1,0,0,1,1,1,4.0,4.0,89.8%,HOU,4,2019
26,Randy Bullock,1,1,100.0,28,0,1,0,0,0,0,0,1,3.0,3.0,0.0%,FA,4,2019
27,Dustin Hopkins,1,1,100.0,21,0,1,0,0,0,0,0,1,3.0,3.0,20.7%,CLE,4,2019
28,Stephen Gostkowski,1,1,100.0,23,0,0,0,0,0,1,2,1,1.0,1.0,0.1%,FA,4,2019
29,Stephen Hauschka,1,2,50.0,46,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,FA,4,2019
30,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,4,2019
31,Dan Bailey,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,4,2019
