Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Matt Gay,4,5,80.0,52,0,2,0,1,1,1,3,1,16.0,16.0,30.7%,IND,3,2019
2,Dan Bailey,2,2,100.0,50,0,1,0,0,1,4,4,1,12.0,12.0,0.0%,FA,3,2019
3,Mason Crosby,2,3,66.7,42,0,0,0,2,0,3,3,1,11.0,11.0,0.1%,FA,3,2019
4,Adam Vinatieri,2,2,100.0,49,0,1,0,1,0,3,3,1,10.0,10.0,0.2%,FA,3,2019
5,Harrison Butker,2,2,100.0,42,0,0,1,1,0,3,4,1,10.0,10.0,98.8%,KC,3,2019
6,Greg Zuerlein,2,3,66.7,53,0,0,1,0,1,2,2,1,10.0,10.0,52.1%,NYJ,3,2019
7,Josh Lambo,2,2,100.0,48,0,0,0,2,0,2,2,1,10.0,10.0,0.1%,FA,3,2019
8,Chris Boswell,2,2,100.0,46,0,1,0,1,0,2,2,1,9.0,9.0,4.4%,PIT,3,2019
9,Matt Prater,2,3,66.7,33,0,1,1,0,0,3,3,1,9.0,9.0,3.7%,ARI,3,2019
10,Zane Gonzalez,2,2,100.0,47,0,0,1,1,0,2,2,1,9.0,9.0,0.1%,FA,3,2019
11,Ty Long,2,2,100.0,43,0,0,1,1,0,2,2,1,9.0,9.0,0.7%,FA,3,2019
12,Joey Slye,1,1,100.0,36,0,0,1,0,0,5,5,1,8.0,8.0,0.2%,NE,3,2019
13,Stephen Hauschka,2,3,66.7,45,0,0,1,1,0,1,1,1,8.0,8.0,0.0%,FA,3,2019
14,Austin Seibert,2,2,100.0,35,0,1,1,0,0,1,1,1,7.0,7.0,0.1%,FA,3,2019
15,Eddy Pineiro,1,2,50.0,38,0,0,1,0,0,4,4,1,7.0,7.0,2.8%,CAR,3,2019
16,Brett Maher,1,2,50.0,28,0,1,0,0,0,4,4,1,7.0,7.0,0.0%,FA,3,2019
17,Robbie Gould,1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,6.0,0.1%,FA,3,2019
18,Stephen Gostkowski,1,1,100.0,37,0,0,1,0,0,3,4,1,6.0,6.0,0.1%,FA,3,2019
19,Randy Bullock,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,6.0,0.0%,FA,3,2019
20,Matt Bryant,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,1.1%,FA,3,2019
21,Aldrick Rosas,1,1,100.0,36,0,0,1,0,0,3,3,1,6.0,6.0,0.0%,FA,3,2019
22,Jake Elliott,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,95.3%,PHI,3,2019
23,Jason Sanders,2,3,66.7,33,0,1,1,0,0,0,0,1,6.0,6.0,49.7%,MIA,3,2019
24,Justin Tucker,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,99.8%,BAL,3,2019
25,Brandon McManus,1,1,100.0,30,0,0,1,0,0,1,2,1,4.0,4.0,0.1%,FA,3,2019
26,Dustin Hopkins,1,2,50.0,35,0,0,1,0,0,0,0,1,3.0,3.0,20.7%,CLE,3,2019
27,Wil Lutz,0,0,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,1.5%,DEN,3,2019
28,Jason Myers,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,8.8%,SEA,3,2019
29,Ka'imi Fairbairn,0,1,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,89.8%,HOU,3,2019
30,Daniel Carlson,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,9.8%,LV,3,2019
31,Sam Ficken,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,3,2019
32,Cairo Santos,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,28.4%,CHI,3,2019
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,3,2019
