Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Christian McCaffrey,21,98,4.7,18,0,0,9,9,89,9.9,0,0,1,27.7,27.7,100.0%,SF,1,2021
2,Jamaal Williams,9,54,6.0,20,1,1,8,9,56,7.0,0,0,1,25.0,25.0,5.0%,NO,1,2021
3,Joe Mixon,29,127,4.4,19,0,1,4,4,23,5.8,0,0,1,25.0,25.0,99.1%,HOU,1,2021
4,D'Andre Swift,11,39,3.5,16,0,0,8,11,65,8.1,1,0,1,24.4,24.4,94.7%,CHI,1,2021
5,Nick Chubb,15,83,5.5,18,0,2,2,2,18,9.0,0,1,1,22.1,22.1,83.5%,CLE,1,2021
6,Melvin Gordon III,11,101,9.2,70,1,1,3,3,17,5.7,0,0,1,20.8,20.8,0.0%,FA,1,2021
7,Dalvin Cook,20,61,3.1,17,0,1,6,7,43,7.2,0,1,1,20.4,20.4,12.7%,DAL,1,2021
8,David Montgomery,16,108,6.8,41,1,1,1,1,10,10.0,0,0,1,18.8,18.8,95.7%,DET,1,2021
9,Ty'Son Williams,9,65,7.2,35,1,1,3,4,29,9.7,0,0,1,18.4,18.4,0.0%,FA,1,2021
10,Alvin Kamara,20,83,4.2,14,0,0,3,4,8,2.7,1,0,1,18.1,18.1,98.5%,NO,1,2021
11,Jonathan Taylor,17,56,3.3,12,0,0,6,7,60,10.0,0,0,1,17.6,17.6,99.9%,IND,1,2021
12,Miles Sanders,15,74,4.9,23,1,0,4,5,39,9.8,0,0,1,17.3,17.3,8.5%,CAR,1,2021
13,Kareem Hunt,6,33,5.5,15,0,1,3,3,28,9.3,0,0,1,17.1,17.1,0.2%,FA,1,2021
14,Josh Jacobs,10,34,3.4,15,0,2,1,2,6,6.0,0,0,1,17.0,17.0,99.4%,GB,1,2021
15,Elijah Mitchell,19,104,5.5,38,1,1,0,0,0,0.0,0,0,1,16.4,16.4,5.6%,SF,1,2021
16,Darrell Henderson Jr.,16,70,4.4,15,0,1,1,1,17,17.0,0,0,1,15.7,15.7,5.0%,FA,1,2021
17,Chase Edmonds,12,63,5.3,16,0,0,4,4,43,10.8,0,0,1,14.6,14.6,0.3%,TB,1,2021
