Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,James Conner,21,96,4.6,35,1,2,5,5,77,15.4,1,0,1,40.3,40.3,94.4%,ARI,9,2021
2,Jonathan Taylor,19,172,9.1,78,2,2,2,2,28,14.0,0,0,1,34.0,34.0,99.9%,IND,9,2021
3,Nick Chubb,14,137,9.8,70,2,2,2,2,26,13.0,0,0,1,30.3,30.3,83.5%,CLE,9,2021
4,Joe Mixon,13,64,4.9,21,1,2,5,5,46,9.2,0,0,1,28.0,28.0,99.1%,HOU,9,2021
5,Nyheim Hines,6,74,12.3,34,2,1,4,6,34,8.5,0,0,1,20.8,20.8,0.3%,CLE,9,2021
6,Alvin Kamara,13,50,3.8,14,0,1,4,7,54,13.5,0,0,1,20.4,20.4,98.5%,NO,9,2021
7,Cordarrelle Patterson,9,10,1.1,4,0,0,6,6,126,21.0,0,0,1,19.6,19.6,1.7%,PIT,9,2021
8,Melvin Gordon III,21,80,3.8,14,0,1,2,2,15,7.5,0,0,1,17.5,17.5,0.0%,FA,9,2021
9,Najee Harris,22,62,2.8,13,0,1,3,3,16,5.3,0,0,1,16.8,16.8,93.3%,PIT,9,2021
10,Devonta Freeman,13,79,6.1,19,0,0,2,3,4,2.0,1,0,1,16.3,16.3,0.0%,FA,9,2021
11,Kenyan Drake,4,30,7.5,21,1,0,6,8,70,11.7,0,0,1,16.0,16.0,0.0%,FA,9,2021
12,Myles Gaskin,20,34,1.7,6,0,1,6,6,23,3.8,0,1,1,15.7,15.7,0.0%,MIN,9,2021
13,Dalvin Cook,17,110,6.5,66,2,0,3,3,12,4.0,0,0,1,15.2,15.2,12.7%,DAL,9,2021
14,Devontae Booker,21,99,4.7,20,1,0,3,3,23,7.7,0,0,1,15.2,15.2,0.0%,FA,9,2021
15,Christian McCaffrey,14,52,3.7,10,0,0,4,5,54,13.5,0,0,1,14.6,14.6,100.0%,SF,9,2021
16,Josh Jacobs,13,76,5.8,14,0,0,4,4,19,4.8,0,0,1,13.5,13.5,99.4%,GB,9,2021
17,Jordan Howard,17,71,4.2,18,0,1,0,0,0,0.0,0,0,1,13.1,13.1,0.0%,FA,9,2021
18,AJ Dillon,8,46,5.8,15,0,0,4,4,44,11.0,0,0,1,13.0,13.0,1.9%,GB,9,2021
19,Elijah Mitchell,8,36,4.5,14,0,0,5,5,43,8.6,0,0,1,12.9,12.9,5.6%,SF,9,2021
20,Devin Singletary,6,16,2.7,5,0,0,7,8,43,6.1,0,0,1,12.9,12.9,87.8%,NYG,9,2021
21,Rhamondre Stevenson,10,62,6.2,13,0,0,2,2,44,22.0,0,0,1,12.6,12.6,95.2%,NE,9,2021
22,Ezekiel Elliott,10,51,5.1,11,0,0,3,3,25,8.3,0,0,1,12.6,12.6,81.8%,DAL,9,2021
23,Patrick Ricard,0,0,0.0,0,0,0,3,5,35,11.7,1,0,1,12.5,12.5,0.1%,BAL,9,2021
24,Ty Johnson,4,21,5.3,9,0,0,2,3,40,20.0,1,1,1,12.1,12.1,0.9%,BUF,9,2021
25,Mark Ingram II,9,43,4.8,11,0,0,5,5,21,4.2,0,0,1,11.4,11.4,0.1%,FA,9,2021
26,Austin Ekeler,17,59,3.5,16,0,0,3,3,23,7.7,0,0,1,11.2,11.2,87.4%,WAS,9,2021
27,Javonte Williams,17,111,6.5,30,2,0,0,0,0,0.0,0,0,1,11.1,11.1,90.5%,DEN,9,2021
28,Le'Veon Bell,11,48,4.4,12,0,1,0,0,0,0.0,0,0,1,10.8,10.8,0.2%,FA,9,2021
29,Darrel Williams,19,70,3.7,11,0,0,3,4,7,2.3,0,0,1,10.7,10.7,0.0%,FA,9,2021
30,Sony Michel,7,20,2.9,8,0,0,2,3,6,3.0,1,0,1,10.6,10.6,0.0%,FA,9,2021
31,Damien Harris,15,30,2.0,8,0,1,1,1,3,3.0,0,0,1,10.3,10.3,9.0%,FA,9,2021
32,Brandon Bolden,8,54,6.8,16,0,0,2,2,27,13.5,0,0,1,10.1,10.1,0.0%,FA,9,2021
33,David Montgomery,13,63,4.8,21,1,0,2,2,17,8.5,0,0,1,10.0,10.0,95.7%,DET,9,2021
34,Eno Benjamin,9,39,4.3,21,1,1,0,0,0,0.0,0,0,1,9.9,9.9,0.0%,FA,9,2021
35,Michael Carter,13,49,3.8,16,0,0,1,2,37,37.0,0,0,1,9.6,9.6,0.3%,ARI,9,2021
36,Adrian Peterson,10,21,2.1,6,0,1,1,1,5,5.0,0,0,1,9.6,9.6,2.4%,FA,9,2021
37,Darrell Henderson Jr.,11,55,5.0,14,0,0,3,4,3,1.0,0,0,1,8.8,8.8,5.0%,FA,9,2021
38,Ameer Abdullah,1,0,0.0,0,0,0,4,5,30,7.5,0,0,1,7.0,7.0,0.4%,LV,9,2021
39,David Johnson,4,11,2.8,4,0,0,3,5,29,9.7,0,0,1,7.0,7.0,0.0%,FA,9,2021
40,Kene Nwangwu,1,9,9.0,9,0,0,0,0,0,0.0,0,0,1,6.9,6.9,0.1%,FA,9,2021
41,Jeremy McNichols,7,24,3.4,14,0,0,3,3,11,3.7,0,0,1,6.5,6.5,0.1%,WAS,9,2021
42,Kenneth Gainwell,2,3,1.5,2,0,1,0,0,0,0.0,0,0,1,6.3,6.3,3.0%,PHI,9,2021
43,Carlos Hyde,21,67,3.2,15,0,0,1,2,6,6.0,0,1,1,6.3,6.3,0.0%,FA,9,2021
44,Alec Ingold,0,0,0.0,0,0,0,3,3,28,9.3,0,0,1,5.8,5.8,0.1%,MIA,9,2021
45,Samaje Perine,5,20,4.0,9,0,0,2,3,17,8.5,0,0,1,5.7,5.7,2.1%,KC,9,2021
46,Jerick McKinnon,0,0,0.0,0,0,0,3,3,26,8.7,0,0,1,5.6,5.6,0.1%,FA,9,2021
47,Tony Pollard,4,11,2.8,8,0,0,1,2,32,32.0,0,0,1,5.3,5.3,90.8%,TEN,9,2021
48,Aaron Jones,12,53,4.4,9,0,0,0,2,0,0.0,0,0,1,5.3,5.3,96.1%,MIN,9,2021
49,Elijhaa Penny,5,35,7.0,12,0,0,2,2,-8,-4.0,0,0,1,4.7,4.7,0.0%,FA,9,2021
50,Chuba Hubbard,3,3,1.0,3,0,0,1,2,33,33.0,0,0,1,4.6,4.6,61.7%,CAR,9,2021
51,Zack Moss,3,6,2.0,7,0,0,2,4,18,9.0,0,0,1,4.4,4.4,85.3%,CIN,9,2021
52,JaMycal Hasty,1,2,2.0,2,0,0,3,4,11,3.7,0,0,1,4.3,4.3,0.2%,NE,9,2021
53,Boston Scott,10,40,4.0,10,0,0,0,0,0,0.0,0,0,1,4.0,4.0,0.0%,PIT,9,2021
54,Jalen Richard,0,0,0.0,0,0,0,2,3,18,9.0,0,0,1,3.8,3.8,1.0%,FA,9,2021
55,C.J. Ham,0,0,0.0,0,0,0,1,1,27,27.0,0,0,1,3.7,3.7,0.1%,MIN,9,2021
56,Kyle Juszczyk,0,0,0.0,0,0,0,2,2,14,7.0,0,0,1,3.4,3.4,0.6%,SF,9,2021
57,Demetric Felton Jr.,0,0,0.0,0,0,0,1,1,22,22.0,0,0,1,3.2,3.2,0.0%,FA,9,2021
