Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Michael Carter,15,77,5.1,18,0,1,9,14,95,10.6,0,0,1,32.2,32.2,0.3%,ARI,8,2021
2,Joe Mixon,14,33,2.4,8,0,1,4,5,58,14.5,1,0,1,25.1,25.1,99.1%,HOU,8,2021
3,Austin Ekeler,11,64,5.8,28,1,1,6,10,60,10.0,0,0,1,24.4,24.4,87.4%,WAS,8,2021
4,Aaron Jones,15,59,3.9,16,0,1,7,11,51,7.3,0,0,1,24.0,24.0,96.1%,MIN,8,2021
5,Darrell Henderson Jr.,14,90,6.4,19,0,1,1,2,3,3.0,1,0,1,22.3,22.3,5.0%,FA,8,2021
6,Jonathan Taylor,16,70,4.4,12,0,1,3,4,52,17.3,0,0,1,21.2,21.2,99.9%,IND,8,2021
7,Najee Harris,26,91,3.5,11,0,1,3,3,29,9.7,0,0,1,21.0,21.0,93.3%,PIT,8,2021
8,Elijah Mitchell,18,137,7.6,39,3,1,0,0,0,0.0,0,0,1,19.7,19.7,5.6%,SF,8,2021
9,Ty Johnson,4,15,3.8,8,0,0,5,6,71,14.2,1,0,1,19.6,19.6,0.9%,BUF,8,2021
10,Melvin Gordon III,10,47,4.7,11,0,1,3,3,15,5.0,1,1,1,19.2,19.2,0.0%,FA,8,2021
11,Cordarrelle Patterson,9,35,3.9,14,0,0,5,5,37,7.4,1,0,1,18.2,18.2,1.7%,PIT,8,2021
12,Boston Scott,12,60,5.0,19,0,2,0,1,0,0.0,0,0,1,18.0,18.0,0.0%,PIT,8,2021
13,Jordan Howard,12,57,4.8,10,0,2,0,0,0,0.0,0,0,1,17.7,17.7,0.0%,FA,8,2021
14,Devontae Booker,15,60,4.0,14,0,0,5,6,65,13.0,0,0,1,17.5,17.5,0.0%,FA,8,2021
15,J.D. McKissic,3,10,3.3,4,0,0,8,8,83,10.4,0,0,1,17.3,17.3,0.0%,FA,8,2021
16,Darrel Williams,13,49,3.8,12,0,0,6,6,61,10.2,0,0,1,17.0,17.0,0.0%,FA,8,2021
17,Alvin Kamara,19,61,3.2,15,0,1,3,4,15,5.0,0,0,1,16.6,16.6,98.5%,NO,8,2021
18,Chase Edmonds,7,30,4.3,11,0,1,3,4,39,13.0,0,0,1,15.9,15.9,0.3%,TB,8,2021
19,James Conner,5,22,4.4,9,0,2,0,0,0,0.0,0,0,1,14.2,14.2,94.4%,ARI,8,2021
20,Chuba Hubbard,24,82,3.4,9,0,1,1,2,9,9.0,0,1,1,14.1,14.1,61.7%,CAR,8,2021
21,Damien Harris,23,80,3.5,10,0,1,0,1,0,0.0,0,0,1,14.0,14.0,9.0%,FA,8,2021
22,Rex Burkhead,4,21,5.3,14,0,1,3,4,27,9.0,0,0,1,13.8,13.8,10.0%,FA,8,2021
23,Carlos Hyde,9,32,3.6,7,0,0,6,8,40,6.7,0,0,1,13.2,13.2,0.0%,FA,8,2021
24,Jermar Jefferson,2,6,3.0,8,0,1,4,4,23,5.8,0,0,1,12.9,12.9,0.1%,DET,8,2021
25,Zack Moss,8,19,2.4,7,0,0,6,7,39,6.5,0,0,1,11.8,11.8,85.3%,CIN,8,2021
26,Mike Davis,9,44,4.9,18,0,0,5,6,22,4.4,0,0,1,11.6,11.6,1.0%,FA,8,2021
27,Ezekiel Elliott,16,50,3.1,8,0,0,4,6,23,5.8,0,0,1,11.3,11.3,81.8%,DAL,8,2021
28,Derrick Gore,11,48,4.4,10,0,1,0,0,0,0.0,0,0,1,10.8,10.8,0.0%,FA,8,2021
