Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Justin Jefferson,10,13,147,14.7,41,2,0,1,3,1,0,1,31.0,31.0,100.0%,MIN,4,2022
2,Mike Evans,8,10,103,12.9,30,1,2,0,0,0,0,1,30.3,30.3,99.7%,TB,4,2022
3,Cooper Kupp,14,19,122,8.7,18,0,0,0,0,0,0,1,26.2,26.2,98.6%,LAR,4,2022
4,Tyreek Hill,10,14,160,16.0,64,2,0,1,-1,0,0,1,25.9,25.9,100.0%,MIA,4,2022
5,Tee Higgins,7,9,124,17.7,59,2,1,0,0,0,0,1,25.4,25.4,95.7%,CIN,4,2022
6,Deebo Samuel Sr.,6,7,115,19.2,57,2,1,2,2,0,0,1,23.7,23.7,99.5%,SF,4,2022
7,DK Metcalf,7,10,149,21.3,54,4,0,0,0,0,0,1,21.9,21.9,99.1%,SEA,4,2022
8,CeeDee Lamb,6,8,97,16.2,30,2,1,0,0,0,0,1,21.7,21.7,100.0%,DAL,4,2022
9,Josh Reynolds,7,8,81,11.6,26,1,1,0,0,0,0,1,21.1,21.1,1.2%,DEN,4,2022
10,Jamal Agnew,4,6,50,12.5,24,1,2,0,0,0,0,1,21.0,21.0,0.0%,FA,4,2022
11,Marquise Brown,6,11,88,14.7,23,2,1,0,0,0,0,1,20.8,20.8,76.0%,KC,4,2022
12,Davante Adams,9,13,101,11.2,20,1,0,1,4,0,0,1,19.5,19.5,99.8%,LV,4,2022
13,Mike Williams,7,11,120,17.1,50,2,0,0,0,0,0,1,19.0,19.0,57.9%,NYJ,4,2022
14,Brandin Cooks,7,7,57,8.1,20,1,1,0,0,0,0,1,18.7,18.7,30.9%,DAL,4,2022
15,Corey Davis,5,6,74,14.8,22,1,1,0,0,0,0,1,18.4,18.4,0.0%,FA,4,2022
16,Allen Lazard,6,8,116,19.3,32,3,0,0,0,0,0,1,17.6,17.6,0.8%,NYJ,4,2022
17,Chris Olave,4,7,67,16.8,32,2,1,0,0,0,0,1,16.7,16.7,99.3%,NO,4,2022
18,George Pickens,6,8,102,17.0,27,3,0,0,0,0,0,1,16.2,16.2,95.4%,PIT,4,2022
19,Courtland Sutton,5,7,52,10.4,18,0,1,0,0,0,0,1,16.2,16.2,84.8%,DEN,4,2022
20,Jerry Jeudy,4,5,53,13.3,32,2,1,0,0,0,0,1,15.3,15.3,57.0%,CLE,4,2022
21,Adam Thielen,8,9,72,9.0,16,0,0,0,0,0,0,1,15.2,15.2,46.2%,CAR,4,2022
22,A.J. Brown,5,7,95,19.0,31,2,0,0,0,0,0,1,14.5,14.5,100.0%,PHI,4,2022
23,Romeo Doubs,5,8,47,9.4,16,0,1,0,0,0,1,1,13.7,13.7,46.0%,GB,4,2022
24,Darnell Mooney,4,5,94,23.5,56,1,0,0,0,0,0,1,13.4,13.4,40.2%,ATL,4,2022
25,Jahan Dotson,3,4,43,14.3,31,1,1,0,0,0,0,1,13.3,13.3,14.0%,PHI,4,2022
26,Tyler Lockett,6,8,91,15.2,34,1,0,0,0,0,1,1,13.1,13.1,67.6%,SEA,4,2022
27,Robert Woods,4,4,30,7.5,10,0,1,0,0,0,0,1,13.0,13.0,0.1%,HOU,4,2022
28,Chris Godwin,7,10,59,8.4,12,0,0,0,0,0,0,1,12.9,12.9,92.8%,TB,4,2022
29,DJ Moore,6,11,50,8.3,16,0,0,1,11,0,0,1,12.1,12.1,98.5%,CHI,4,2022
30,Donovan Peoples-Jones,5,9,71,14.2,42,1,0,0,0,0,0,1,12.1,12.1,0.1%,DET,4,2022
31,Ja'Marr Chase,4,6,81,20.3,36,2,0,0,0,0,0,1,12.1,12.1,100.0%,CIN,4,2022
32,Isaiah McKenzie,4,6,21,5.3,8,0,1,0,0,0,0,1,12.1,12.1,0.0%,NYG,4,2022
33,Alec Pierce,4,6,80,20.0,44,2,0,0,0,0,0,1,12.0,12.0,0.7%,IND,4,2022
34,Nico Collins,3,5,82,27.3,58,2,0,0,0,0,0,1,11.2,11.2,98.9%,HOU,4,2022
35,Michael Gallup,2,3,24,12.0,15,0,1,0,0,0,0,1,10.4,10.4,0.1%,FA,4,2022
36,DeVante Parker,2,2,24,12.0,25,1,1,0,0,0,0,1,10.4,10.4,0.1%,FA,4,2022
37,Stefon Diggs,4,6,62,15.5,23,1,0,0,0,0,0,1,10.2,10.2,98.6%,HOU,4,2022
38,JuJu Smith-Schuster,5,8,46,9.2,19,0,0,0,0,0,0,1,9.6,9.6,1.7%,KC,4,2022
39,Trent Sherfield Sr.,4,6,55,13.8,16,0,0,0,0,0,0,1,9.5,9.5,0.0%,MIN,4,2022
40,Marquez Valdes-Scantling,3,5,63,21.0,36,2,0,0,0,0,0,1,9.3,9.3,0.2%,BUF,4,2022
41,Christian Watson,1,3,8,8.0,8,0,0,1,15,1,0,1,9.3,9.3,87.6%,GB,4,2022
42,Noah Brown,3,6,61,20.3,45,1,0,0,0,0,0,1,9.1,9.1,0.7%,WAS,4,2022
43,Devin Duvernay,4,5,51,12.8,21,1,0,0,0,0,0,1,9.1,9.1,0.1%,JAC,4,2022
44,Elijah Moore,3,4,53,17.7,28,2,0,1,2,0,0,1,8.5,8.5,1.4%,CLE,4,2022
45,Tom Kennedy,3,5,54,18.0,28,1,0,0,0,0,0,1,8.4,8.4,0.0%,DET,4,2022
46,Marquez Callaway,3,6,53,17.7,33,1,0,0,0,0,0,1,8.3,8.3,0.0%,FA,4,2022
47,Parris Campbell,4,4,43,10.8,20,1,0,0,0,0,0,1,8.3,8.3,0.1%,PHI,4,2022
48,Christian Kirk,2,9,60,30.0,45,1,0,1,3,0,0,1,8.3,8.3,90.9%,JAC,4,2022
49,Curtis Samuel,4,7,38,9.5,15,0,0,0,0,0,0,1,7.8,7.8,55.7%,BUF,4,2022
50,Brandon Aiyuk,4,4,37,9.3,15,0,0,0,0,0,0,1,7.7,7.7,99.4%,SF,4,2022
51,Tyler Boyd,2,5,47,23.5,43,1,0,0,0,0,0,1,7.6,7.6,5.3%,TEN,4,2022
52,Nelson Agholor,3,4,46,15.3,27,2,0,0,0,0,0,1,7.6,7.6,0.6%,BAL,4,2022
53,Olamide Zaccheaus,2,2,55,27.5,42,1,0,0,0,0,0,1,7.5,7.5,0.1%,WAS,4,2022
54,Randall Cobb,3,4,42,14.0,24,1,0,0,0,0,0,1,7.2,7.2,0.0%,FA,4,2022
55,Michael Bandy,2,2,49,24.5,25,2,0,0,0,0,0,1,6.9,6.9,0.0%,DEN,4,2022
56,KJ Hamler,1,1,55,55.0,55,1,0,0,0,0,0,1,6.5,6.5,0.0%,BUF,4,2022
57,Mack Hollins,3,5,33,11.0,16,0,0,0,0,0,0,1,6.3,6.3,0.1%,BUF,4,2022
58,Garrett Wilson,2,6,41,20.5,35,1,0,0,0,0,0,1,6.1,6.1,99.9%,NYJ,4,2022
59,Michael Pittman Jr.,3,6,31,10.3,14,0,0,0,0,0,0,1,6.1,6.1,98.6%,IND,4,2022
60,Jaylen Waddle,2,5,39,19.5,20,1,0,0,0,0,0,1,5.9,5.9,97.7%,MIA,4,2022
