Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dalton Schultz,7,10,56,8.0,13,0,2,0,0,0,0,1,24.6,24.6,79.8%,HOU,17,2022
2,Trey McBride,7,10,78,11.1,26,1,1,0,0,0,0,1,20.8,20.8,98.8%,ARI,17,2022
3,Mark Andrews,9,9,100,11.1,19,0,0,0,0,0,0,1,19.0,19.0,99.8%,BAL,17,2022
4,Brock Wright,3,4,13,4.3,9,0,2,0,0,0,0,1,16.3,16.3,0.1%,DET,17,2022
5,Darren Waller,3,5,72,24.0,24,3,1,0,0,0,0,1,16.2,16.2,2.9%,FA,17,2022
6,Colby Parkinson,5,7,36,7.2,12,0,1,0,0,0,0,1,14.6,14.6,3.1%,LAR,17,2022
7,Robert Tonyan,3,4,52,17.3,24,2,1,0,0,0,0,1,14.2,14.2,0.0%,MIN,17,2022
8,Tyler Conklin,6,6,80,13.3,30,1,0,0,0,0,0,1,14.0,14.0,29.0%,NYJ,17,2022
9,Taysom Hill,1,1,10,10.0,10,0,0,14,46,1,0,1,13.6,13.6,45.9%,NO,17,2022
10,Albert Okwuegbunam Jr.,3,6,45,15.0,25,1,1,0,0,0,0,1,13.5,13.5,0.1%,PHI,17,2022
11,T.J. Hockenson,7,12,59,8.4,13,0,0,0,0,0,0,1,12.9,12.9,76.0%,MIN,17,2022
12,George Kittle,4,8,23,5.8,9,0,1,0,0,0,0,1,12.3,12.3,99.1%,SF,17,2022
13,Tommy Tremble,3,3,33,11.0,17,0,1,0,0,0,0,1,12.3,12.3,0.1%,CAR,17,2022
14,Logan Thomas,6,7,56,9.3,15,0,0,0,0,0,0,1,11.6,11.6,0.1%,FA,17,2022
15,Travis Kelce,7,10,43,6.1,12,0,0,0,0,0,0,1,11.3,11.3,100.0%,KC,17,2022
16,Juwan Johnson,5,7,62,12.4,21,1,0,0,0,0,0,1,11.2,11.2,7.8%,NO,17,2022
