Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dallas Goedert,8,9,100,12.5,21,1,1,0,0,0,0,1,24.0,24.0,86.6%,PHI,9,2022
2,Cole Kmet,5,6,41,8.2,18,0,2,2,9,0,0,1,22.0,22.0,56.2%,CHI,9,2022
3,Travis Kelce,10,17,106,10.6,23,1,0,0,0,0,0,1,20.6,20.6,100.0%,KC,9,2022
4,Cade Otton,5,6,68,13.6,28,1,1,0,0,0,0,1,17.8,17.8,14.1%,TB,9,2022
5,T.J. Hockenson,9,9,70,7.8,19,0,0,0,0,0,0,1,16.0,16.0,76.0%,MIN,9,2022
6,Zach Ertz,5,8,40,8.0,14,0,1,0,0,0,0,1,15.0,15.0,3.1%,WAS,9,2022
7,Noah Fant,5,6,96,19.2,51,1,0,0,0,0,0,1,14.6,14.6,19.4%,SEA,9,2022
8,Juwan Johnson,2,2,42,21.0,41,1,1,0,0,0,0,1,12.2,12.2,7.8%,NO,9,2022
9,Isaiah Likely,1,5,24,24.0,24,1,1,0,0,0,0,1,9.4,9.4,14.7%,BAL,9,2022
10,Josiah Deguara,5,5,41,8.2,25,1,0,0,0,0,0,1,9.1,9.1,0.0%,JAC,9,2022
11,Hunter Henry,4,4,50,12.5,30,1,0,0,0,0,0,1,9.0,9.0,19.0%,NE,9,2022
12,James Mitchell,2,2,8,4.0,5,0,1,0,0,0,0,1,8.8,8.8,0.0%,DET,9,2022
13,Gerald Everett,5,8,36,7.2,16,0,0,1,0,0,0,1,8.6,8.6,0.8%,CHI,9,2022
14,Hayden Hurst,5,5,35,7.0,13,0,0,0,0,0,0,1,8.5,8.5,2.2%,LAC,9,2022
15,Noah Gray,3,3,45,15.0,27,1,0,0,0,0,0,1,7.5,7.5,0.4%,KC,9,2022
16,Teagan Quitoriano,1,1,2,2.0,2,0,1,0,0,0,0,1,7.2,7.2,0.0%,HOU,9,2022
17,Tommy Tremble,2,4,11,5.5,8,0,1,0,0,0,1,1,7.1,7.1,0.1%,CAR,9,2022
18,Shane Zylstra,1,1,1,1.0,1,0,1,0,0,0,0,1,7.1,7.1,0.0%,DET,9,2022
19,Robert Tonyan,3,4,29,9.7,17,0,0,0,0,0,0,1,5.9,5.9,0.0%,MIN,9,2022
20,Chigoziem Okonkwo,1,3,48,48.0,48,1,0,0,0,0,0,1,5.8,5.8,15.7%,TEN,9,2022
21,Dawson Knox,3,4,25,8.3,17,0,0,0,0,0,0,1,5.5,5.5,3.6%,BUF,9,2022
22,Austin Hooper,2,3,34,17.0,18,0,0,0,0,0,0,1,5.4,5.4,0.2%,NE,9,2022
23,Will Dissly,3,4,24,8.0,13,0,0,0,0,0,0,1,5.4,5.4,0.6%,LAC,9,2022
24,Jonnu Smith,3,3,21,7.0,24,1,0,0,0,0,0,1,5.1,5.1,5.5%,MIA,9,2022
25,Kyle Pitts,2,7,27,13.5,18,0,0,0,0,0,0,1,4.7,4.7,97.2%,ATL,9,2022
26,C.J. Uzomah,3,3,16,5.3,6,0,0,0,0,0,0,1,4.6,4.6,0.0%,FA,9,2022
27,Foster Moreau,2,5,42,21.0,30,1,0,0,2,0,1,1,4.4,4.4,0.0%,NO,9,2022
28,Mo Alie-Cox,2,2,13,6.5,8,0,0,0,0,0,0,1,3.3,3.3,0.1%,IND,9,2022
29,Josh Oliver,1,3,19,19.0,19,0,0,0,0,0,0,1,2.9,2.9,0.1%,MIN,9,2022
