Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Minkah Fitzpatrick,10,4,0.0,1,1,0,0,1,1,30.5,30.5,22.8%,PIT,1,2022
2,Talanoa Hufanga,9,2,0.0,1,1,0,0,0,1,26.5,26.5,4.1%,SF,1,2022
3,Marcus Williams,10,2,0.0,1,1,0,0,0,1,23.0,23.0,2.8%,BAL,1,2022
4,Brandon Jones,6,5,1.0,1,0,1,0,0,1,22.3,22.3,9.2%,DEN,1,2022
5,Tracy Walker III,8,3,1.0,1,0,0,0,0,1,22.3,22.3,0.2%,SF,1,2022
6,Nate Hobbs,6,3,0.0,1,0,1,0,0,1,21.8,21.8,18.6%,LV,1,2022
7,Jonathan Owens,11,4,0.0,1,0,0,0,0,1,21.0,21.0,0.7%,CHI,1,2022
8,L'Jarius Sneed,8,0,1.0,1,0,0,0,0,1,20.0,20.0,14.1%,TEN,1,2022
9,Darrick Forrest,4,1,0.0,2,1,1,0,0,1,18.8,18.8,1.1%,WAS,1,2022
10,Michael Jackson Sr.,4,0,0.0,1,0,0,2,0,1,18.0,18.0,0.1%,CAR,1,2022
11,Ahkello Witherspoon,6,2,0.0,1,1,0,0,0,1,17.0,17.0,0.1%,FA,1,2022
12,Troy Hill,6,2,0.0,1,1,0,0,0,1,17.0,17.0,0.3%,CAR,1,2022
13,Marcus Maye,8,1,0.0,0,0,1,0,0,1,16.8,16.8,0.2%,MIA,1,2022
14,Marcus Epps,8,2,0.0,0,0,0,0,0,1,16.0,16.0,0.8%,LV,1,2022
15,Johnathan Abram,9,3,0.0,0,0,0,0,0,1,15.8,15.8,0.1%,NO,1,2022
16,Harrison Smith,5,2,0.0,1,1,0,0,0,1,15.5,15.5,5.9%,MIN,1,2022
17,Derwin James Jr.,6,0,1.0,0,0,0,0,0,1,15.5,15.5,48.4%,LAC,1,2022
18,Budda Baker,7,6,0.0,0,0,0,0,0,1,15.0,15.0,20.2%,ARI,1,2022
19,Kevin Byard III,8,4,0.0,0,0,0,0,0,1,15.0,15.0,20.7%,CHI,1,2022
20,Antoine Winfield Jr.,5,1,0.0,1,1,0,0,0,1,14.8,14.8,66.8%,TB,1,2022
21,James Bradberry IV,1,1,0.0,1,1,0,0,1,1,14.8,14.8,0.2%,PHI,1,2022
22,Taron Johnson,5,4,0.0,1,0,0,0,0,1,14.5,14.5,17.2%,BUF,1,2022
23,Jeff Okudah,7,3,0.0,1,0,0,0,0,1,14.3,14.3,0.6%,HOU,1,2022
24,Asante Samuel Jr.,4,0,0.0,2,1,0,0,0,1,14.0,14.0,1.0%,LAC,1,2022
25,Ronald Darby,5,1,0.0,1,0,1,0,0,1,13.8,13.8,0.4%,JAC,1,2022
26,Desmond King II,5,1,0.0,2,0,0,0,0,1,13.8,13.8,3.4%,FA,1,2022
27,Marco Wilson,4,1,0.0,2,0,1,0,0,1,13.8,13.8,0.1%,NE,1,2022
28,D.J. Reed Jr.,2,0,0.0,1,1,1,0,0,1,13.5,13.5,3.4%,NYJ,1,2022
29,Jalen Thompson,9,0,0.0,0,0,0,0,0,1,13.5,13.5,8.1%,ARI,1,2022
30,Dane Jackson,4,1,0.0,1,1,0,0,0,1,13.3,13.3,0.3%,CAR,1,2022
31,Bryce Callahan,2,3,0.0,2,1,0,0,0,1,13.3,13.3,0.0%,FA,1,2022
32,Donovan Wilson,4,1,0.0,1,1,0,0,0,1,13.3,13.3,11.1%,DAL,1,2022
33,Chidobe Awuzie,6,0,0.0,0,0,1,0,0,1,13.0,13.0,0.4%,TEN,1,2022
34,Nick Scott,3,4,0.0,1,0,1,0,0,1,13.0,13.0,0.1%,CAR,1,2022
35,Bradley Roby,5,0,0.0,1,0,0,1,0,1,13.0,13.0,0.0%,FA,1,2022
36,Chuck Clark,4,4,0.0,0,0,1,0,0,1,13.0,13.0,1.5%,NYJ,1,2022
37,Marlon Humphrey,5,2,0.0,0,0,0,1,0,1,13.0,13.0,1.2%,BAL,1,2022
38,Tyrann Mathieu,5,2,0.0,0,0,0,1,0,1,13.0,13.0,3.1%,NO,1,2022
39,William Jackson III,8,1,0.0,0,0,0,0,0,1,12.8,12.8,0.0%,FA,1,2022
40,Arthur Maulet,3,0,1.0,0,0,1,0,0,1,12.5,12.5,0.1%,BAL,1,2022
41,Quandre Diggs,3,2,0.0,0,0,1,0,0,1,12.5,12.5,0.7%,TEN,1,2022
42,Jaquan Brisker,4,0,0.0,0,0,0,1,0,1,12.5,12.5,25.3%,CHI,1,2022
