Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jack Jones,3,4,0,1,1,1,1,1,1,28.0,28.0,1.1%,LV,4,2022
2,Jordan Poyer,4,2,0,3,2,0,0,0,1,22.0,22.0,3.1%,MIA,4,2022
3,Lamarcus Joyner,1,5,0,4,2,0,0,0,1,21.3,21.3,0.0%,FA,4,2022
4,Mike Edwards,5,8,1,0,0,0,0,0,1,20.0,20.0,0.3%,BUF,4,2022
5,L'Jarius Sneed,7,2,1,0,0,1,0,0,1,20.0,20.0,14.1%,TEN,4,2022
6,Riq Woolen,4,1,0,1,1,0,0,1,1,19.3,19.3,1.0%,SEA,4,2022
7,Vonn Bell,4,0,0,2,2,0,0,0,1,19.0,19.0,1.2%,CIN,4,2022
8,Talanoa Hufanga,3,1,0,1,1,0,0,1,1,17.8,17.8,4.1%,SF,4,2022
9,Eddie Jackson,6,3,0,1,1,0,0,0,1,17.8,17.8,0.4%,BAL,4,2022
10,Minkah Fitzpatrick,5,3,0,2,1,0,0,0,1,17.8,17.8,22.8%,PIT,4,2022
11,Andre Cisco,2,1,0,1,1,0,0,1,1,16.3,16.3,1.0%,JAC,4,2022
12,Deommodore Lenoir,5,3,1,0,0,0,0,0,1,16.3,16.3,4.5%,SF,4,2022
13,DeShon Elliott,9,2,0,0,0,0,0,0,1,15.0,15.0,2.1%,PIT,4,2022
14,Tyrann Mathieu,4,3,0,1,1,0,0,0,1,14.8,14.8,3.1%,NO,4,2022
15,Cameron Dantzler Sr.,5,0,0,3,0,0,0,0,1,14.5,14.5,0.0%,FA,4,2022
16,Tre Norwood,5,2,0,0,0,0,0,0,1,14.0,14.0,0.0%,FA,4,2022
17,K'Waun Williams,5,0,1,0,0,0,0,0,1,14.0,14.0,0.0%,FA,4,2022
18,Amik Robertson,2,1,0,0,0,0,1,1,1,13.8,13.8,0.1%,DET,4,2022
19,Denzel Ward,2,0,0,2,1,0,0,0,1,13.5,13.5,1.3%,CLE,4,2022
20,Paulson Adebo,8,0,0,1,0,0,0,0,1,13.5,13.5,10.7%,NO,4,2022
21,Pat Surtain II,6,2,0,2,0,0,0,0,1,13.5,13.5,4.8%,DEN,4,2022
22,Jaquan Brisker,4,1,1,0,0,0,0,0,1,13.3,13.3,25.3%,CHI,4,2022
23,Emmanuel Moseley,6,0,0,1,0,0,0,0,1,13.0,13.0,0.1%,DET,4,2022
24,Myles Hartsfield,6,0,0,0,0,1,0,0,1,13.0,13.0,0.0%,FA,4,2022
25,Donovan Wilson,8,1,0,0,0,0,0,0,1,12.8,12.8,11.1%,DAL,4,2022
26,Marshon Lattimore,7,3,0,0,0,0,0,0,1,12.8,12.8,1.4%,NO,4,2022
27,Michael Carter II,4,0,0,1,1,0,0,0,1,12.5,12.5,0.0%,NYJ,4,2022
28,Nate Hobbs,3,0,1,1,0,0,0,0,1,12.5,12.5,18.6%,LV,4,2022
29,Bryce Callahan,3,0,0,2,1,0,0,0,1,12.5,12.5,0.0%,FA,4,2022
30,Malik Hooker,5,3,0,0,0,0,0,0,1,12.3,12.3,0.5%,DAL,4,2022
31,Nasir Adderley,3,1,0,1,1,0,0,0,1,11.8,11.8,0.7%,FA,4,2022
32,Dane Belton,3,1,0,0,0,0,1,0,1,11.8,11.8,0.1%,NYG,4,2022
33,Roger McCreary,5,2,0,0,0,0,0,0,1,11.5,11.5,4.4%,TEN,4,2022
34,Damar Hamlin,7,1,0,0,0,0,0,0,1,11.3,11.3,0.2%,BUF,4,2022
35,DaRon Bland,3,0,0,1,1,0,0,0,1,11.0,11.0,7.9%,DAL,4,2022
36,Marcus Williams,3,1,0,1,0,0,1,0,1,10.8,10.8,2.8%,BAL,4,2022
37,Coby Bryant,3,3,0,0,0,1,0,0,1,10.8,10.8,0.1%,SEA,4,2022
38,Derwin James Jr.,3,4,0,2,0,0,0,0,1,10.5,10.5,48.4%,LAC,4,2022
39,Adrian Phillips,6,2,0,0,0,0,0,0,1,10.5,10.5,0.1%,FA,4,2022
40,Jessie Bates III,6,0,0,1,0,0,0,0,1,10.5,10.5,67.6%,ATL,4,2022
41,Kader Kohou,6,0,0,1,0,0,0,0,1,10.5,10.5,0.6%,MIA,4,2022
42,Arthur Maulet,5,2,0,1,0,0,0,0,1,10.5,10.5,0.1%,BAL,4,2022
43,William Jackson III,4,0,0,1,0,0,0,0,1,10.0,10.0,0.0%,FA,4,2022
44,Asante Samuel Jr.,5,0,0,0,0,0,0,0,1,10.0,10.0,1.0%,LAC,4,2022
45,Kyler Gordon,3,2,0,0,0,1,0,0,1,10.0,10.0,2.3%,CHI,4,2022
46,Jalen Pitre,3,4,0,0,0,0,0,0,1,10.0,10.0,12.7%,HOU,4,2022
47,Rashad Fenton,5,1,0,1,0,0,0,0,1,9.8,9.8,0.0%,FA,4,2022
48,Steven Nelson,6,1,0,0,0,0,0,0,1,9.8,9.8,0.2%,FA,4,2022
49,Rudy Ford,6,1,0,0,0,0,0,0,1,9.8,9.8,0.1%,FA,4,2022
50,Jonathan Owens,5,1,0,1,0,0,0,0,1,9.8,9.8,0.7%,CHI,4,2022
51,Trevon Diggs,0,0,0,3,1,0,0,0,1,9.5,9.5,11.9%,DAL,4,2022
52,James Bradberry IV,2,0,0,1,1,0,0,0,1,9.5,9.5,0.2%,PHI,4,2022
53,John Johnson III,4,1,0,0,0,0,0,0,1,9.3,9.3,0.4%,LAR,4,2022
54,Jaylinn Hawkins,2,3,0,0,0,1,0,0,1,9.3,9.3,13.1%,NE,4,2022
55,Devin McCourty,6,0,0,0,0,0,0,0,1,9.0,9.0,4.4%,FA,4,2022
56,Rayshawn Jenkins,4,2,0,1,0,0,0,0,1,9.0,9.0,6.4%,SEA,4,2022
57,Kamren Curl,5,2,0,0,0,0,0,0,1,9.0,9.0,13.3%,LAR,4,2022
58,Grant Delpit,4,0,0,2,0,0,0,0,1,9.0,9.0,11.3%,CLE,4,2022
59,Jaylen Watson,5,0,0,1,0,0,0,0,1,9.0,9.0,0.4%,KC,4,2022
60,Jeff Okudah,5,0,0,1,0,0,0,0,1,9.0,9.0,0.6%,HOU,4,2022
61,Keanu Neal,6,0,0,0,0,0,0,0,1,9.0,9.0,0.1%,FA,4,2022
62,Quandre Diggs,5,2,0,0,0,0,0,0,1,9.0,9.0,0.7%,TEN,4,2022
63,Kareem Jackson,5,2,0,0,0,0,0,0,1,9.0,9.0,0.1%,BUF,4,2022
64,Jalen Thompson,1,1,0,1,1,0,0,0,1,8.8,8.8,8.1%,ARI,4,2022
65,Jordan Whitehead,1,1,0,1,1,0,0,0,1,8.8,8.8,6.6%,TB,4,2022
66,Richie Grant,3,2,0,0,0,0,0,0,1,8.5,8.5,1.7%,ATL,4,2022
67,Anthony Brown,2,2,0,0,0,1,0,0,1,8.5,8.5,0.1%,CAR,4,2022
68,C.J. Henderson,4,0,0,0,0,0,0,0,1,8.5,8.5,0.1%,FA,4,2022
69,Amani Oruwariye,4,1,0,1,0,0,0,0,1,8.3,8.3,0.0%,DAL,4,2022
70,Jonathan Jones,4,1,0,1,0,0,0,0,1,8.3,8.3,0.2%,NE,4,2022
71,Xavier Woods,4,3,0,0,0,0,0,0,1,8.3,8.3,1.6%,CAR,4,2022
72,Caden Sterns,5,1,0,0,0,0,0,0,1,8.3,8.3,0.1%,PHI,4,2022
73,Cameron Sutton,1,0,0,1,1,0,0,0,1,8.0,8.0,0.0%,PIT,4,2022
74,Marlon Humphrey,1,0,0,1,1,0,0,0,1,8.0,8.0,1.2%,BAL,4,2022
75,Kristian Fulton,2,1,0,0,0,0,1,0,1,7.8,7.8,0.2%,LAC,4,2022
76,Duron Harmon,2,1,0,0,0,1,0,0,1,7.8,7.8,0.0%,FA,4,2022
77,Bobby McCain,4,2,0,0,0,0,0,0,1,7.5,7.5,0.0%,MIN,4,2022
78,Shaq Griffin,4,2,0,0,0,0,0,0,1,7.5,7.5,0.1%,MIN,4,2022
79,Charvarius Ward,4,0,0,1,0,0,0,0,1,7.5,7.5,15.4%,SF,4,2022
80,Jaycee Horn,2,4,0,1,0,0,0,0,1,7.5,7.5,2.1%,CAR,4,2022
81,Camryn Bynum,4,2,0,0,0,0,0,0,1,7.5,7.5,48.3%,MIN,4,2022
82,Eric Stokes,5,0,0,0,0,0,0,0,1,7.5,7.5,0.2%,GB,4,2022
83,Israel Mukuamu,4,2,0,0,0,0,0,0,1,7.5,7.5,0.0%,DAL,4,2022
84,Sean Murphy-Bunting,0,1,0,1,1,0,0,0,1,7.3,7.3,1.6%,ARI,4,2022
85,Adoree' Jackson,3,0,0,0,0,0,0,0,1,7.0,7.0,0.3%,NYG,4,2022
86,Desmond King II,3,0,0,0,0,0,0,0,1,7.0,7.0,3.4%,FA,4,2022
87,Mike Hughes,3,0,0,0,0,0,0,0,1,7.0,7.0,0.1%,ATL,4,2022
88,Darnell Savage Jr.,2,2,0,0,0,0,0,0,1,7.0,7.0,0.9%,JAC,4,2022
89,Chuck Clark,3,3,0,0,0,0,0,0,1,6.8,6.8,1.5%,NYJ,4,2022
90,Tyson Campbell,2,3,0,1,0,0,0,0,1,6.8,6.8,8.1%,JAC,4,2022
91,Harrison Smith,3,3,0,0,0,0,0,0,1,6.8,6.8,5.9%,MIN,4,2022
92,Marcell Harris,3,3,0,0,0,0,0,0,1,6.8,6.8,0.0%,FA,4,2022
93,Kevin Byard III,3,3,0,0,0,0,0,0,1,6.8,6.8,20.7%,CHI,4,2022
94,Bryan Cook,2,3,0,1,0,0,0,0,1,6.8,6.8,0.5%,KC,4,2022
95,Derek Stingley Jr.,4,1,0,0,0,0,0,0,1,6.8,6.8,4.0%,HOU,4,2022
96,Patrick Peterson,2,1,0,2,0,0,0,0,1,6.8,6.8,0.6%,FA,4,2022
97,Rasul Douglas,2,1,0,0,0,0,0,0,1,6.3,6.3,2.9%,BUF,4,2022
98,Isaiah Rodgers Sr.,2,1,0,0,0,0,0,0,1,6.3,6.3,3.8%,PHI,4,2022
99,Rodney McLeod Jr.,4,0,0,0,0,0,0,0,1,6.0,6.0,0.6%,CLE,4,2022
100,Andrew Adams,3,2,0,0,0,0,0,0,1,6.0,6.0,4.0%,FA,4,2022
101,Brandon Stephens,3,0,0,1,0,0,0,0,1,6.0,6.0,0.9%,BAL,4,2022
102,Grant Haley,2,2,0,1,0,0,0,0,1,6.0,6.0,0.0%,FA,4,2022
103,D.J. Reed Jr.,4,0,0,0,0,0,0,0,1,6.0,6.0,3.4%,NYJ,4,2022
104,Nick Scott,4,0,0,0,0,0,0,0,1,6.0,6.0,0.1%,CAR,4,2022
105,Caleb Farley,4,0,0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,4,2022
106,Justin Reid,3,2,0,0,0,0,0,0,1,6.0,6.0,32.1%,KC,4,2022
107,Chandon Sullivan,3,2,0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,4,2022
108,Chidobe Awuzie,4,0,0,0,0,0,0,0,1,6.0,6.0,0.4%,TEN,4,2022
109,Antoine Winfield Jr.,3,2,0,0,0,0,0,0,1,6.0,6.0,66.8%,TB,4,2022
110,Johnathan Abram,3,2,0,0,0,0,0,0,1,6.0,6.0,0.1%,NO,4,2022
111,Eric Rowe,3,2,0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,4,2022
112,Kenny Moore II,3,2,0,0,0,0,0,0,1,6.0,6.0,15.8%,IND,4,2022
113,Adrian Amos,2,0,0,0,0,0,0,0,1,5.5,5.5,0.1%,FA,4,2022
