Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Terrance Mitchell,7,1,0.0,3,1,0,0,0,1,20.8,20.8,0.0%,FA,10,2022
2,Antonio Hamilton Sr.,10,2,0.0,2,0,0,0,0,1,19.5,19.5,0.1%,ATL,10,2022
3,Adrian Amos,8,1,1.0,0,0,0,0,0,1,19.3,19.3,0.1%,FA,10,2022
4,Rudy Ford,4,0,0.0,2,2,0,0,0,1,19.0,19.0,0.1%,FA,10,2022
5,Derwin James Jr.,7,6,0.0,0,0,1,0,0,1,19.0,19.0,48.4%,LAC,10,2022
6,Christian Benford,5,2,0.0,3,1,0,0,0,1,18.5,18.5,3.2%,BUF,10,2022
7,Patrick Peterson,3,1,0.0,2,2,0,0,0,1,18.3,18.3,0.6%,FA,10,2022
8,Sam Webb,6,2,0.0,2,0,1,0,0,1,17.5,17.5,0.0%,LV,10,2022
9,Darrick Forrest,3,3,0.0,1,1,0,1,0,1,17.3,17.3,1.1%,WAS,10,2022
10,Levi Wallace,5,0,0.0,3,1,0,0,0,1,17.0,17.0,0.2%,DEN,10,2022
11,C.J. Gardner-Johnson,6,0,0.0,2,1,0,0,0,1,17.0,17.0,7.9%,PHI,10,2022
12,Nick Scott,8,1,0.0,0,0,1,0,0,1,16.8,16.8,0.1%,CAR,10,2022
13,Damar Hamlin,9,1,0.0,0,0,0,0,0,1,16.8,16.8,0.2%,BUF,10,2022
14,Jonathan Owens,10,2,0.0,0,0,0,0,0,1,16.5,16.5,0.7%,CHI,10,2022
15,Dane Jackson,4,0,0.0,2,1,0,0,0,1,16.5,16.5,0.3%,CAR,10,2022
16,Jeff Okudah,1,0,0.0,2,1,0,0,1,1,15.5,15.5,0.6%,HOU,10,2022
17,P.J. Williams,9,2,0.0,0,0,0,0,0,1,15.0,15.0,0.0%,FA,10,2022
18,Akayleb Evans,5,1,0.0,0,0,1,0,0,1,14.8,14.8,0.1%,MIN,10,2022
19,Grant Delpit,6,4,0.0,0,0,0,0,0,1,14.5,14.5,11.3%,CLE,10,2022
20,Chandon Sullivan,6,3,0.0,2,0,0,0,0,1,14.3,14.3,0.0%,FA,10,2022
21,Kenny Moore II,6,1,0.0,1,0,0,0,0,1,13.8,13.8,15.8%,IND,10,2022
22,Trent McDuffie,4,3,0.0,2,0,0,0,0,1,13.8,13.8,17.3%,KC,10,2022
23,Benjamin St-Juste,6,1,0.0,0,0,1,0,0,1,13.8,13.8,3.0%,WAS,10,2022
24,Jason Pinnock,3,1,1.5,0,0,0,0,0,1,13.8,13.8,3.5%,NYG,10,2022
25,Jaire Alexander,7,2,0.0,1,0,0,0,0,1,13.5,13.5,2.9%,GB,10,2022
26,Andre Cisco,3,0,0.0,2,1,0,0,0,1,12.5,12.5,1.0%,JAC,10,2022
27,Amik Robertson,3,3,0.0,1,0,1,0,0,1,12.3,12.3,0.1%,DET,10,2022
28,Denzel Ward,6,2,0.0,1,0,0,0,0,1,12.0,12.0,1.3%,CLE,10,2022
29,Xavier Woods,6,2,0.0,1,0,0,0,0,1,12.0,12.0,1.6%,CAR,10,2022
30,Darnell Savage Jr.,6,2,0.0,1,0,0,0,0,1,12.0,12.0,0.9%,JAC,10,2022
31,Budda Baker,3,1,0.0,1,1,0,0,0,1,11.8,11.8,20.2%,ARI,10,2022
32,Damontae Kazee,3,1,0.0,1,1,0,0,0,1,11.8,11.8,0.6%,PIT,10,2022
33,Tyrann Mathieu,5,2,0.0,0,0,0,0,0,1,11.5,11.5,3.1%,NO,10,2022
34,Justin Bethel,5,1,0.0,2,0,0,0,0,1,11.3,11.3,0.0%,FA,10,2022
35,Richie Grant,3,5,0.0,2,0,0,0,0,1,11.3,11.3,1.7%,ATL,10,2022
36,Dane Belton,2,2,0.0,1,1,0,0,0,1,11.0,11.0,0.1%,NYG,10,2022
37,Riq Woolen,3,0,0.0,1,1,0,0,0,1,11.0,11.0,1.0%,SEA,10,2022
38,Rayshawn Jenkins,4,1,0.0,0,0,1,0,0,1,10.8,10.8,6.4%,SEA,10,2022
39,Kelvin Joseph,4,1,0.0,0,0,1,0,0,1,10.8,10.8,0.0%,FA,10,2022
40,Fabian Moreau,6,0,0.0,1,0,0,0,0,1,10.5,10.5,0.1%,MIN,10,2022
41,Adoree' Jackson,4,2,0.0,2,0,0,0,0,1,10.5,10.5,0.3%,NYG,10,2022
42,Marcus Epps,5,2,0.0,1,0,0,0,0,1,10.5,10.5,0.8%,LV,10,2022
43,Cam Lewis,6,2,0.0,0,0,0,0,0,1,10.5,10.5,0.1%,BUF,10,2022
44,Camryn Bynum,3,2,0.0,0,0,0,1,0,1,10.0,10.0,48.3%,MIN,10,2022
45,Jayron Kearse,3,2,0.0,0,0,0,1,0,1,10.0,10.0,0.1%,FA,10,2022
46,Andrew Adams,6,1,0.0,0,0,0,0,0,1,9.8,9.8,4.0%,FA,10,2022
47,Jamel Dean,5,1,0.0,1,0,0,0,0,1,9.8,9.8,6.1%,TB,10,2022
48,Quandre Diggs,6,1,0.0,0,0,0,0,0,1,9.8,9.8,0.7%,TEN,10,2022
49,Harrison Smith,5,1,0.0,1,0,0,0,0,1,9.8,9.8,5.9%,MIN,10,2022
50,Kader Kohou,3,1,0.0,3,0,0,0,0,1,9.8,9.8,0.6%,MIA,10,2022
51,Rodney McLeod Jr.,6,1,0.0,0,0,0,0,0,1,9.8,9.8,0.6%,CLE,10,2022
52,Jaycee Horn,1,2,0.0,1,1,0,0,0,1,9.5,9.5,2.1%,CAR,10,2022
53,Chris Harris Jr.,1,0,1.0,1,0,0,0,0,1,9.5,9.5,0.0%,FA,10,2022
54,Taron Johnson,4,1,0.0,0,0,0,0,0,1,9.3,9.3,17.2%,BUF,10,2022
55,Xavien Howard,3,1,0.0,0,0,0,1,0,1,9.3,9.3,0.6%,FA,10,2022
56,Kerby Joseph,5,2,0.0,0,0,0,0,0,1,9.0,9.0,13.6%,DET,10,2022
57,Paulson Adebo,6,0,0.0,0,0,0,0,0,1,9.0,9.0,10.7%,NO,10,2022
58,Jaquan Brisker,5,2,0.0,0,0,0,0,0,1,9.0,9.0,25.3%,CHI,10,2022
59,Alontae Taylor,6,0,0.0,0,0,0,0,0,1,9.0,9.0,0.4%,NO,10,2022
60,Will Harris,6,0,0.0,0,0,0,0,0,1,9.0,9.0,0.0%,NO,10,2022
61,Donovan Wilson,5,2,0.0,0,0,0,0,0,1,9.0,9.0,11.1%,DAL,10,2022
62,Talanoa Hufanga,1,1,0.0,1,1,0,0,0,1,8.8,8.8,4.1%,SF,10,2022
63,Antoine Winfield Jr.,3,2,0.0,0,0,0,0,0,1,8.5,8.5,66.8%,TB,10,2022
64,Kareem Jackson,4,1,0.0,1,0,0,0,0,1,8.3,8.3,0.1%,BUF,10,2022
65,Stephon Gilmore,2,3,0.0,2,0,0,0,0,1,8.3,8.3,1.3%,MIN,10,2022
66,Justin Reid,4,3,0.0,0,0,0,0,0,1,8.3,8.3,32.1%,KC,10,2022
67,Alohi Gilman,5,1,0.0,0,0,0,0,0,1,8.3,8.3,6.9%,LAC,10,2022
68,Jalen Ramsey,5,1,0.0,0,0,0,0,0,1,8.3,8.3,4.2%,MIA,10,2022
69,Darren Hall,2,1,0.0,1,0,0,0,0,1,7.8,7.8,0.0%,ARI,10,2022
