Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Sam Ficken,5,5,100.0,54,0,1,3,0,1,1,1,1,18.0,18.0,0.0%,FA,4,2020
2,Jason Sanders,5,5,100.0,45,0,2,0,3,0,0,0,1,18.0,18.0,49.7%,MIA,4,2020
3,Brandon McManus,3,3,100.0,54,0,0,0,1,2,4,4,1,18.0,18.0,0.1%,FA,4,2020
4,Randy Bullock,4,4,100.0,46,0,0,2,2,0,3,3,1,17.0,17.0,0.0%,FA,4,2020
5,Aldrick Rosas,4,5,80.0,50,0,1,2,0,1,1,1,1,15.0,15.0,0.0%,FA,4,2020
6,Rodrigo Blankenship,4,4,100.0,44,0,1,2,1,0,1,1,1,14.0,14.0,0.1%,FA,4,2020
7,Daniel Carlson,3,3,100.0,54,0,1,1,0,1,2,2,1,13.0,13.0,9.8%,LV,4,2020
8,Ka'imi Fairbairn,3,3,100.0,50,0,2,0,0,1,2,2,1,13.0,13.0,89.8%,HOU,4,2020
9,Cody Parkey,2,2,100.0,44,0,0,1,1,0,5,5,1,12.0,12.0,0.1%,FA,4,2020
10,Michael Badgley,1,2,50.0,53,0,0,0,0,1,4,4,1,9.0,9.0,1.1%,DET,4,2020
11,Graham Gano,3,3,100.0,37,0,1,2,0,0,0,0,1,9.0,9.0,1.0%,NYG,4,2020
12,Jason Myers,1,1,100.0,55,0,0,0,0,1,4,4,1,9.0,9.0,8.8%,SEA,4,2020
13,Harrison Butker,2,2,100.0,39,0,1,1,0,0,2,3,1,8.0,8.0,98.8%,KC,4,2020
14,Ryan Succop,1,2,50.0,26,0,1,0,0,0,5,5,1,8.0,8.0,0.0%,FA,4,2020
15,Justin Tucker,1,1,100.0,46,0,0,0,1,0,4,4,1,8.0,8.0,99.8%,BAL,4,2020
16,Dan Bailey,1,2,50.0,31,0,0,1,0,0,4,4,1,7.0,7.0,0.0%,FA,4,2020
17,Mason Crosby,1,1,100.0,48,0,0,0,1,0,3,4,1,7.0,7.0,0.1%,FA,4,2020
18,Joey Slye,1,2,50.0,27,0,1,0,0,0,4,4,1,7.0,7.0,0.2%,NE,4,2020
19,Dustin Hopkins,1,2,50.0,43,0,0,0,1,0,2,2,1,6.0,6.0,20.7%,CLE,4,2020
20,Tyler Bass,1,1,100.0,34,0,0,1,0,0,3,4,1,6.0,6.0,40.1%,BUF,4,2020
21,Jake Elliott,1,1,100.0,35,0,0,1,0,0,2,2,1,5.0,5.0,95.3%,PHI,4,2020
22,Sam Sloman,1,1,100.0,32,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,4,2020
23,Nick Folk,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,2.5%,TEN,4,2020
24,Wil Lutz,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,1.5%,DEN,4,2020
25,Elliott Fry,1,1,100.0,23,0,1,0,0,0,1,2,1,4.0,4.0,0.0%,FA,4,2020
26,Cairo Santos,1,1,100.0,27,0,1,0,0,0,0,0,1,3.0,3.0,28.4%,CHI,4,2020
27,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,FA,4,2020
28,Matt Prater,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,3.7%,ARI,4,2020
29,Robbie Gould,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,4,2020
30,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,52.1%,NYJ,4,2020
31,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,4,2020
