Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Harrison Butker,5,5,100.0,48,0,2,2,1,0,1,1,1,17.0,17.0,98.8%,KC,13,2020
2,Dustin Hopkins,3,3,100.0,49,0,0,0,3,0,2,2,1,14.0,14.0,20.7%,CLE,13,2020
3,Jason Sanders,4,4,100.0,48,1,2,0,1,0,1,1,1,14.0,14.0,49.7%,MIA,13,2020
4,Younghoe Koo,3,3,100.0,53,0,1,1,0,1,1,1,1,12.0,12.0,79.8%,ATL,13,2020
5,Cody Parkey,2,2,100.0,43,0,1,0,1,0,5,5,1,12.0,12.0,0.1%,FA,13,2020
6,Ka'imi Fairbairn,2,3,66.7,52,0,0,1,0,1,2,2,1,10.0,10.0,89.8%,HOU,13,2020
7,Justin Tucker,2,3,66.7,35,0,1,1,0,0,4,4,1,10.0,10.0,99.8%,BAL,13,2020
8,Tyler Bass,2,2,100.0,37,0,1,1,0,0,4,4,1,10.0,10.0,40.1%,BUF,13,2020
9,Nick Folk,1,1,100.0,32,0,0,1,0,0,6,6,1,9.0,9.0,2.5%,TEN,13,2020
10,Matt Gay,1,2,50.0,39,0,0,1,0,0,5,5,1,8.0,8.0,30.7%,IND,13,2020
11,Daniel Carlson,1,1,100.0,48,0,0,0,1,0,4,4,1,8.0,8.0,9.8%,LV,13,2020
12,Dan Bailey,2,3,66.7,48,0,1,0,1,0,1,3,1,8.0,8.0,0.0%,FA,13,2020
13,Robbie Gould,1,1,100.0,45,0,0,0,1,0,3,3,1,7.0,7.0,0.1%,FA,13,2020
14,Cairo Santos,1,1,100.0,45,0,0,0,1,0,3,4,1,7.0,7.0,28.4%,CHI,13,2020
15,Mason Crosby,1,1,100.0,40,0,0,0,1,0,3,4,1,7.0,7.0,0.1%,FA,13,2020
16,Rodrigo Blankenship,1,1,100.0,42,0,0,0,1,0,3,3,1,7.0,7.0,0.1%,FA,13,2020
17,Jake Elliott,1,1,100.0,52,0,0,0,0,1,1,2,1,6.0,6.0,95.3%,PHI,13,2020
18,Brandon McManus,1,2,50.0,53,0,0,0,0,1,1,1,1,6.0,6.0,0.1%,FA,13,2020
19,Greg Zuerlein,1,4,25.0,31,0,0,1,0,0,2,2,1,5.0,5.0,52.1%,NYJ,13,2020
20,Matthew Wright,1,1,100.0,37,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,13,2020
21,Chase McLaughlin,1,2,50.0,22,0,1,0,0,0,1,2,1,4.0,4.0,3.7%,TB,13,2020
22,Zane Gonzalez,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,13,2020
23,Graham Gano,1,1,100.0,48,0,0,0,1,0,0,1,1,4.0,4.0,1.0%,NYG,13,2020
24,Matt Prater,0,0,0.0,0,0,0,0,0,0,4,5,1,4.0,4.0,3.7%,ARI,13,2020
25,Jason Myers,1,1,100.0,31,0,0,1,0,0,1,1,1,4.0,4.0,8.8%,SEA,13,2020
26,Stephen Gostkowski,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,FA,13,2020
27,Wil Lutz,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.5%,DEN,13,2020
28,Sergio Castillo,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,0.0%,FA,13,2020
29,Randy Bullock,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,FA,13,2020
30,Michael Badgley,0,2,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,DET,13,2020
31,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,13,2020
