Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ka'imi Fairbairn,4,4,100.0,51,0,2,0,1,1,2,3,1,17.0,17.0,89.8%,HOU,17,2020
2,Greg Zuerlein,4,4,100.0,57,0,0,2,1,1,1,1,1,16.0,16.0,52.1%,NYJ,17,2020
3,Ryan Succop,3,3,100.0,38,0,2,1,0,0,5,5,1,14.0,14.0,0.0%,FA,17,2020
4,Tristan Vizcaino,3,3,100.0,47,0,0,2,1,0,2,2,1,12.0,12.0,0.0%,FA,17,2020
5,Matthew Wright,3,3,100.0,46,0,1,0,2,0,1,1,1,12.0,12.0,0.0%,FA,17,2020
6,Sam Sloman,2,2,100.0,47,0,0,1,1,0,5,5,1,12.0,12.0,0.0%,FA,17,2020
7,Brandon McManus,3,6,50.0,37,0,2,1,0,0,2,2,1,11.0,11.0,0.1%,FA,17,2020
8,Matt Gay,3,3,100.0,34,0,2,1,0,0,1,1,1,10.0,10.0,30.7%,IND,17,2020
9,Cairo Santos,3,3,100.0,30,0,2,1,0,0,1,1,1,10.0,10.0,28.4%,CHI,17,2020
10,Dustin Hopkins,2,2,100.0,42,0,0,0,2,0,2,2,1,10.0,10.0,20.7%,CLE,17,2020
11,Wil Lutz,2,2,100.0,48,0,0,1,1,0,3,4,1,10.0,10.0,1.5%,DEN,17,2020
12,Jason Sanders,2,2,100.0,49,0,0,1,1,0,2,2,1,9.0,9.0,49.7%,MIA,17,2020
13,Younghoe Koo,2,2,100.0,22,0,2,0,0,0,3,3,1,9.0,9.0,79.8%,ATL,17,2020
14,Justin Tucker,1,1,100.0,34,0,0,1,0,0,5,5,1,8.0,8.0,99.8%,BAL,17,2020
15,Jason Myers,2,2,100.0,36,0,0,2,0,0,2,3,1,8.0,8.0,8.8%,SEA,17,2020
16,Rodrigo Blankenship,2,4,50.0,24,0,2,0,0,0,2,2,1,8.0,8.0,0.1%,FA,17,2020
17,Tyler Bass,0,0,0.0,0,0,0,0,0,0,8,8,1,8.0,8.0,40.1%,BUF,17,2020
18,Matt Prater,1,1,100.0,54,0,0,0,0,1,2,3,1,7.0,7.0,3.7%,ARI,17,2020
19,Dan Bailey,1,2,50.0,23,0,1,0,0,0,4,5,1,7.0,7.0,0.0%,FA,17,2020
20,Graham Gano,1,1,100.0,50,0,0,0,0,1,2,3,1,7.0,7.0,1.0%,NYG,17,2020
21,Daniel Carlson,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,9.8%,LV,17,2020
22,Cody Parkey,1,1,100.0,23,0,1,0,0,0,3,3,1,6.0,6.0,0.1%,FA,17,2020
23,Mason Crosby,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.1%,FA,17,2020
24,Nick Folk,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,2.5%,TEN,17,2020
25,Michael Badgley,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,1.1%,DET,17,2020
26,Harrison Butker,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,98.8%,KC,17,2020
27,Austin Seibert,1,1,100.0,38,0,0,1,0,0,0,0,1,3.0,3.0,0.1%,FA,17,2020
28,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,3.7%,TB,17,2020
29,Jake Elliott,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,95.3%,PHI,17,2020
30,Aldrick Rosas,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,17,2020
31,Mike Nugent,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0%,FA,17,2020
32,Joey Slye,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.2%,NE,17,2020
33,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,17,2020
