Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Arizona Cardinals,6,1,2,2,0,0,0,1,16.0,16.0,0.4%,ARI,1,2021
2,New Orleans Saints,2,2,1,1,0,0,0,1,15.0,15.0,64.3%,NO,1,2021
3,Pittsburgh Steelers,3,0,1,4,0,0,1,1,14.0,14.0,91.3%,PIT,1,2021
4,San Francisco 49ers,3,1,0,0,1,0,0,1,10.0,10.0,99.0%,SF,1,2021
5,Philadelphia Eagles,3,0,0,0,0,0,0,1,10.0,10.0,43.3%,PHI,1,2021
6,Carolina Panthers,6,1,0,1,0,0,0,1,9.0,9.0,1.0%,CAR,1,2021
7,Los Angeles Rams,3,1,1,1,0,0,0,1,8.0,8.0,1.4%,LAR,1,2021
8,Denver Broncos,2,0,1,1,0,0,0,1,8.0,8.0,7.8%,DEN,1,2021
9,Houston Texans,1,3,0,1,0,0,0,1,7.0,7.0,36.0%,HOU,1,2021
10,Dallas Cowboys,0,2,2,2,0,0,0,1,7.0,7.0,98.7%,DAL,1,2021
11,Las Vegas Raiders,3,0,2,2,0,0,0,1,7.0,7.0,6.5%,LV,1,2021
12,Seattle Seahawks,3,0,1,0,0,0,0,1,6.0,6.0,32.1%,SEA,1,2021
13,Miami Dolphins,1,0,2,3,0,0,0,1,6.0,6.0,77.9%,MIA,1,2021
14,Washington Commanders,2,1,0,1,0,0,0,1,5.0,5.0,1.0%,WAS,1,2021
15,Cincinnati Bengals,3,0,1,1,0,0,0,1,5.0,5.0,58.3%,CIN,1,2021
16,Kansas City Chiefs,2,1,1,2,0,0,0,1,5.0,5.0,79.3%,KC,1,2021
17,Minnesota Vikings,5,0,0,0,0,0,0,1,5.0,5.0,33.7%,MIN,1,2021
18,New England Patriots,2,1,0,0,0,0,0,1,5.0,5.0,2.9%,NE,1,2021
19,Baltimore Ravens,3,1,0,0,0,0,0,1,4.0,4.0,97.7%,BAL,1,2021
20,Los Angeles Chargers,1,0,1,2,0,0,0,1,4.0,4.0,9.6%,LAC,1,2021
21,Indianapolis Colts,3,0,1,1,0,0,0,1,4.0,4.0,6.9%,IND,1,2021
22,New York Jets,1,0,1,0,0,0,0,1,4.0,4.0,94.9%,NYJ,1,2021
23,New York Giants,2,0,1,1,0,0,0,1,4.0,4.0,3.3%,NYG,1,2021
24,Buffalo Bills,2,0,0,1,0,0,0,1,3.0,3.0,51.7%,BUF,1,2021
25,Tampa Bay Buccaneers,1,1,0,0,0,0,0,1,2.0,2.0,6.5%,TB,1,2021
26,Cleveland Browns,2,0,0,0,0,0,0,1,1.0,1.0,97.8%,CLE,1,2021
27,Detroit Lions,1,0,2,1,0,0,0,1,1.0,1.0,40.6%,DET,1,2021
28,Chicago Bears,1,0,0,0,0,0,0,1,0.0,0.0,46.1%,CHI,1,2021
29,Atlanta Falcons,1,0,0,0,0,0,0,1,0.0,0.0,11.4%,ATL,1,2021
30,Tennessee Titans,2,1,0,0,0,0,0,1,0.0,0.0,1.1%,TEN,1,2021
31,Jacksonville Jaguars,1,0,0,0,0,0,0,1,-3.0,-3.0,19.9%,JAC,1,2021
32,Green Bay Packers,0,0,0,0,0,0,0,1,-4.0,-4.0,10.2%,GB,1,2021
