Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Miami Dolphins,5,3,0,0,0,0,1,1,23.0,23.0,77.9%,MIA,12,2021
2,Cincinnati Bengals,3,2,1,1,1,0,0,1,19.0,19.0,58.3%,CIN,12,2021
3,Denver Broncos,3,2,0,0,1,0,0,1,17.0,17.0,7.8%,DEN,12,2021
4,New England Patriots,2,1,3,5,0,0,0,1,14.0,14.0,2.9%,NE,12,2021
5,Green Bay Packers,2,1,2,1,1,0,0,1,13.0,13.0,10.2%,GB,12,2021
6,New York Giants,1,3,1,1,0,0,0,1,13.0,13.0,3.3%,NYG,12,2021
7,Tampa Bay Buccaneers,3,2,3,2,0,0,0,1,12.0,12.0,6.5%,TB,12,2021
8,Buffalo Bills,2,1,0,0,0,0,0,1,11.0,11.0,51.7%,BUF,12,2021
9,Baltimore Ravens,3,0,2,1,0,0,0,1,11.0,11.0,97.7%,BAL,12,2021
10,Cleveland Browns,2,4,0,0,0,0,0,1,11.0,11.0,97.8%,CLE,12,2021
11,Minnesota Vikings,2,1,0,0,0,0,1,1,9.0,9.0,33.7%,MIN,12,2021
12,Seattle Seahawks,1,1,0,0,0,0,0,1,8.0,8.0,32.1%,SEA,12,2021
13,New York Jets,5,1,0,0,0,0,0,1,8.0,8.0,94.9%,NYJ,12,2021
14,Houston Texans,4,1,0,1,0,0,0,1,6.0,6.0,36.0%,HOU,12,2021
15,Atlanta Falcons,1,1,1,2,0,0,0,1,6.0,6.0,11.4%,ATL,12,2021
16,San Francisco 49ers,1,1,1,2,0,0,0,1,5.0,5.0,99.0%,SF,12,2021
17,Philadelphia Eagles,1,0,0,0,0,0,0,1,5.0,5.0,43.3%,PHI,12,2021
18,New Orleans Saints,2,2,0,0,0,0,0,1,5.0,5.0,64.3%,NO,12,2021
19,Washington Commanders,2,0,1,1,0,0,0,1,5.0,5.0,1.0%,WAS,12,2021
20,Dallas Cowboys,3,0,0,1,0,0,1,1,5.0,5.0,98.7%,DAL,12,2021
21,Detroit Lions,1,1,0,0,0,0,0,1,4.0,4.0,40.6%,DET,12,2021
22,Chicago Bears,1,0,1,2,0,0,0,1,4.0,4.0,46.1%,CHI,12,2021
23,Carolina Panthers,2,0,1,1,0,0,0,1,4.0,4.0,1.0%,CAR,12,2021
24,Jacksonville Jaguars,1,1,0,0,0,0,0,1,3.0,3.0,19.9%,JAC,12,2021
25,Los Angeles Chargers,1,1,0,1,0,0,0,1,3.0,3.0,9.6%,LAC,12,2021
26,Indianapolis Colts,2,1,1,1,0,0,0,1,2.0,2.0,6.9%,IND,12,2021
27,Los Angeles Rams,1,0,1,1,0,0,0,1,2.0,2.0,1.4%,LAR,12,2021
28,Las Vegas Raiders,1,0,0,0,0,0,0,1,0.0,0.0,6.5%,LV,12,2021
29,Pittsburgh Steelers,2,1,0,0,0,0,0,1,0.0,0.0,91.3%,PIT,12,2021
30,Tennessee Titans,2,0,0,0,0,0,0,1,-2.0,-2.0,1.1%,TEN,12,2021
