Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Miami Dolphins,8,2,0,0,1,0,0,1,25.0,25.0,77.9%,MIA,16,2021
2,Dallas Cowboys,5,2,0,1,1,0,1,1,24.0,24.0,98.7%,DAL,16,2021
3,Tampa Bay Buccaneers,7,1,0,1,0,0,0,1,16.0,16.0,6.5%,TB,16,2021
4,Philadelphia Eagles,2,2,0,1,1,0,0,1,16.0,16.0,43.3%,PHI,16,2021
5,Green Bay Packers,5,4,0,0,0,0,0,1,13.0,13.0,10.2%,GB,16,2021
6,Kansas City Chiefs,2,1,2,1,0,0,0,1,12.0,12.0,79.3%,KC,16,2021
7,Houston Texans,1,2,1,1,1,0,0,1,12.0,12.0,36.0%,HOU,16,2021
8,Los Angeles Rams,3,1,0,1,0,0,1,1,11.0,11.0,1.4%,LAR,16,2021
9,New York Jets,1,0,1,2,0,0,1,1,9.0,9.0,94.9%,NYJ,16,2021
10,Denver Broncos,2,1,2,1,0,0,0,1,9.0,9.0,7.8%,DEN,16,2021
11,Tennessee Titans,2,2,0,2,0,0,0,1,7.0,7.0,1.1%,TEN,16,2021
12,Detroit Lions,3,0,1,1,0,0,0,1,6.0,6.0,40.6%,DET,16,2021
13,Las Vegas Raiders,2,0,0,0,0,0,0,1,6.0,6.0,6.5%,LV,16,2021
14,New Orleans Saints,3,1,0,1,0,0,0,1,6.0,6.0,64.3%,NO,16,2021
15,Buffalo Bills,1,2,0,0,0,0,0,1,5.0,5.0,51.7%,BUF,16,2021
16,San Francisco 49ers,4,0,0,0,0,0,0,1,5.0,5.0,99.0%,SF,16,2021
17,Minnesota Vikings,0,3,0,0,0,0,0,1,5.0,5.0,33.7%,MIN,16,2021
18,Seattle Seahawks,4,0,0,1,0,0,0,1,4.0,4.0,32.1%,SEA,16,2021
19,Cincinnati Bengals,1,1,0,1,0,0,0,1,3.0,3.0,58.3%,CIN,16,2021
20,Jacksonville Jaguars,1,0,0,0,1,0,0,1,3.0,3.0,19.9%,JAC,16,2021
21,Atlanta Falcons,0,1,0,0,0,0,0,1,3.0,3.0,11.4%,ATL,16,2021
22,Indianapolis Colts,0,0,0,0,0,1,0,1,3.0,3.0,6.9%,IND,16,2021
23,Arizona Cardinals,2,0,0,0,0,0,0,1,2.0,2.0,0.4%,ARI,16,2021
24,Chicago Bears,2,0,0,0,0,0,0,1,2.0,2.0,46.1%,CHI,16,2021
25,New York Giants,1,0,0,1,0,0,0,1,0.0,0.0,3.3%,NYG,16,2021
26,Cleveland Browns,0,0,0,0,0,0,0,1,0.0,0.0,97.8%,CLE,16,2021
27,New England Patriots,0,0,0,0,0,0,0,1,-1.0,-1.0,2.9%,NE,16,2021
28,Carolina Panthers,0,0,0,0,0,0,0,1,-1.0,-1.0,1.0%,CAR,16,2021
29,Baltimore Ravens,3,0,0,0,0,0,0,1,-1.0,-1.0,97.7%,BAL,16,2021
30,Washington Commanders,3,0,0,0,0,0,0,1,-1.0,-1.0,1.0%,WAS,16,2021
31,Pittsburgh Steelers,2,0,0,1,0,0,0,1,-2.0,-2.0,91.3%,PIT,16,2021
32,Los Angeles Chargers,1,0,0,0,0,0,0,1,-3.0,-3.0,9.6%,LAC,16,2021
